,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,IL,All Sectors,Ammonia,CAP,3689.030854388636,TON
1,IL,All Sectors,Carbon Monoxide,CAP,11080.10896899955,TON
2,IL,All Sectors,Nitrogen Oxides,CAP,15525.608623727678,TON
3,IL,All Sectors,PM10 Primary (Filt + Cond),CAP,23494.164506120524,TON
4,IL,All Sectors,PM2.5 Primary (Filt + Cond),CAP,8506.929581991639,TON
5,IL,All Sectors,Sulfur Dioxide,CAP,1094.3525494417129,TON
6,IL,All Sectors,Volatile Organic Compounds,CAP,9207.795919190343,TON
7,IL,All Sectors,Carbon Dioxide,GHG,607240.26402019,TON
8,IL,All Sectors,Methane,GHG,3592.981439137373,TON
9,IL,All Sectors,Nitrous Oxide,GHG,22.974965336738002,TON
10,IL,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,7075.128449202901,TON
11,IL,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,5020.818877881699,TON
12,IL,Agriculture - Fertilizer Application,Ammonia,CAP,104.20751000000001,TON
13,IL,Agriculture - Livestock Waste,Ammonia,CAP,3457.406865729,TON
14,IL,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,71.432842919,TON
15,IL,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,1543.712,TON
16,IL,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,3500.7379,TON
17,IL,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,4814.548000000001,TON
18,IL,Bulk Gasoline Terminals,PM10 Primary (Filt + Cond),CAP,0.0,TON
19,IL,Bulk Gasoline Terminals,Volatile Organic Compounds,CAP,9.950291,TON
20,IL,Commercial Cooking,Carbon Monoxide,CAP,3.7130538800000004,TON
21,IL,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,1.74187792,TON
22,IL,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,1585.3102240399999,TON
23,IL,Commercial Cooking,Volatile Organic Compounds,CAP,4.764491877,TON
24,IL,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,7374.906912,TON
25,IL,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,183.987748536,TON
26,IL,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,145.68697,TON
27,IL,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,41.912859000000005,TON
28,IL,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,6795.0509,TON
29,IL,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,193.27137000000002,TON
30,IL,Fires - Agricultural Field Burning,Ammonia,CAP,2.87319,TON
31,IL,Fires - Agricultural Field Burning,Carbon Monoxide,CAP,0.0,TON
32,IL,Fires - Agricultural Field Burning,Nitrogen Oxides,CAP,0.0,TON
33,IL,Fires - Agricultural Field Burning,PM10 Primary (Filt + Cond),CAP,2.8839300000000003,TON
34,IL,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,0.99173,TON
35,IL,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.23509999999999998,TON
36,IL,Fires - Agricultural Field Burning,Volatile Organic Compounds,CAP,1.8229100000000003,TON
37,IL,Fires - Prescribed Fires,Carbon Monoxide,CAP,1235.06231,TON
38,IL,Fires - Prescribed Fires,Nitrogen Oxides,CAP,28.633763000000002,TON
39,IL,Fires - Prescribed Fires,PM10 Primary (Filt + Cond),CAP,268.675227,TON
40,IL,Fires - Prescribed Fires,PM2.5 Primary (Filt + Cond),CAP,607.56441,TON
41,IL,Fires - Prescribed Fires,Sulfur Dioxide,CAP,39.227792,TON
42,IL,Fires - Prescribed Fires,Volatile Organic Compounds,CAP,563.5317699999999,TON
43,IL,Fires - Prescribed Fires,Carbon Dioxide,GHG,31582.6881,TON
44,IL,Fires - Prescribed Fires,Methane,GHG,138.376129,TON
45,IL,Fires - Wildfires,Ammonia,CAP,0.23144399999999998,TON
46,IL,Fires - Wildfires,Carbon Monoxide,CAP,55.91696399999999,TON
47,IL,Fires - Wildfires,Nitrogen Oxides,CAP,0.036444,TON
48,IL,Fires - Wildfires,PM10 Primary (Filt + Cond),CAP,13.545069999999999,TON
49,IL,Fires - Wildfires,PM2.5 Primary (Filt + Cond),CAP,3.701359,TON
50,IL,Fires - Wildfires,Volatile Organic Compounds,CAP,33.488522,TON
51,IL,Fires - Wildfires,Carbon Dioxide,GHG,3309.469277,TON
52,IL,Fires - Wildfires,Methane,GHG,0.07345,TON
53,IL,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
54,IL,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.0,TON
55,IL,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.0,TON
56,IL,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.0,TON
