,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,IL,2.73,2.74,2.73,2.73,2.73,2.7,2.71,2.71,2.68,2.7
1,Avg household size of renter-occupied unit,IL,2.44,2.47,2.45,2.43,2.45,2.46,2.36,2.39,2.33,2.25
2,House Heating Fuel: Electric,IL,663759,691344,699492,734516,725859,749605,796090,801287,841843,828297
3,House Heating Fuel: Fuel Oil,IL,10714,11401,9842,8689,7180,7685,6534,7702,5481,7096
4,House Heating Fuel: Gas,IL,3817215,3775580,3807461,3757212,3765279,3764432,3737533,3728718,3738735,3750774
5,House Heating Fuel: Propane,IL,201279,192536,189025,204784,198181,191916,198339,195290,201831,205926
6,House Heating Fuel: Wood,IL,22983,24902,23615,25245,22827,22839,22615,19892,19248,19263
25,Median Number of Rooms,IL,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6
26,Number of Rooms: 1,IL,122041,122747,111227,119501,111649,151018,149715,150624,132616,130968
27,Number of Rooms: 2,IL,111333,115147,118099,119563,115809,113755,121604,131638,137098,131543
28,Number of Rooms: 3,IL,427167,445286,442728,429039,455150,421977,442292,429450,443618,460043
29,Number of Rooms: 4,IL,862982,854525,851324,853057,849366,847035,842573,835233,854228,843774
30,Number of Rooms: 5,IL,1085305,1082819,1082503,1073793,1068308,1065871,1052607,1057605,1032851,1046119
31,Number of Rooms: 6,IL,974409,961129,957787,961815,955603,953009,938987,941335,951046,949775
32,Number of Rooms: 7,IL,634539,648616,637133,635952,640232,638074,642796,651613,642946,645924
33,Number of Rooms: 8,IL,468085,467525,473381,472981,479647,468478,488123,479602,488151,482273
34,Number of Rooms: 9+,IL,611216,598415,615967,623952,631744,658401,648468,682316,693622,697791
35,Owner-Occupied,IL,8802103,8754174,8681013,8622905,8543845,8465517,8539219,8620205,8595617,8657866
36,Renter-Occupied,IL,3739290,3813373,3895269,3959751,4036325,4094784,3961501,3881043,3848684,3717148
37,Total Housing Units,IL,5297077,5296209,5290149,5289653,5307508,5317618,5327165,5359416,5376176,5388210
38,Total Population,IL,12843166,12869259,12875255,12882135,12880580,12859995,12801539,12802023,12741080,12671821
39,Units in Structure: 1 ATTACHED,IL,313903,312577,314689,307241,301064,308730,302044,300920,310106,313725
40,Units in Structure: 1 DETACHED,IL,3088708,3091053,3097154,3095060,3112920,3110917,3141508,3162927,3139808,3149162
41,Units in Structure: 10-19,IL,207942,207823,214314,221537,207722,202371,203027,200939,208127,199540
42,Units in Structure: 2,IL,311786,302526,298874,302317,307845,305049,298734,302686,312337,305868
43,Units in Structure: 20-49,IL,190747,192392,185087,189600,188148,200308,187603,199057,195272,196466
44,Units in Structure: 3-4,IL,357096,374815,369926,352164,354607,354088,343654,347719,346724,341228
45,Units in Structure: 5-9,IL,336841,317635,316724,340648,342125,344041,348189,338175,347987,338789
46,Units in Structure: 50+,IL,345844,357281,353481,344322,359180,355538,368824,373789,386854,410464
47,"Units in Structure: Boat,RV,Van,Etc.",IL,919,1293,1368,1305,1306,1538,1353,1946,1972,1797
48,Units in Structure: Mobile Home,IL,143291,138814,138532,135459,132591,135038,132229,131258,126989,131171
49,Year Built: 1940-1949,IL,362701,341787,321041,334234,337334,345717,333580,342356,324594,327574
50,Year Built: 1950-1959,IL,708857,704873,690000,696082,683745,674511,686277,697553,660454,652796
51,Year Built: 1960-1969,IL,614725,615880,640531,637697,623117,629049,637818,615381,614398,616680
52,Year Built: 1970-1979,IL,757226,752385,746469,775783,769782,771526,764438,759484,793143,802435
53,Year Built: 1980-1989,IL,454400,465517,468845,470009,473429,470134,482049,469985,489922,489496
54,Year Built: 1990-1999,IL,557112,554730,576283,587470,573982,585709,576743,597871,603565,598869
55,Year Built: 2000-2009,IL,364849,357754,609496,581868,586525,597397,584332,587201,579074,569942
56,Year Built: 2010-2013,IL,250882,282537,23482,38808,57699,62738,81960,79571,77540,74917
57,Year Built: 2014 or later,IL,,,,,,14135.0,35845.0,60189.0,88075.0,118501.0
58,Year Built: before 1940,IL,1226325,1220746,1214002,1167702,1201895,1166702,1144123,1149825,1145411,1137000
