,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, Illinois (million metric tons CO2)",79.005451,74.563134,72.958363,79.510152,78.074442,76.052438,75.44374,73.470719,69.962168,67.707129,71.038283,72.03318,66.421548,76.996663,78.19061,78.413017,87.244562,92.448485,90.104145,91.131543,96.676379,93.585163,94.033729,96.364501,102.105897,100.062954,99.711258,104.111904,105.254477,96.85771,101.965646,100.317507,92.387926,97.895761,97.055531,81.10575,66.980892,65.310465,67.183056,,
"Total carbon dioxide emissions from all sectors, natural gas, Illinois (million metric tons CO2)",59.088679,57.470663,53.908279,51.826176,56.987423,53.084256,50.069205,47.036592,52.142129,53.981922,50.944481,53.400527,53.665757,55.873127,55.531283,58.344984,60.511924,58.352465,51.9073,54.457999,55.885648,51.499454,56.42741,53.771234,51.281921,52.217788,48.191317,51.999619,53.826466,51.385169,51.69884,52.936016,50.441397,56.969012,59.374973,54.243067,56.024232,55.567733,60.525825,,
"Total carbon dioxide emissions from all sectors, petroleum, Illinois (million metric tons CO2)",95.316534,84.391142,77.901412,79.452356,71.496646,69.897681,71.815297,74.487716,78.015135,70.368253,69.941066,66.420089,67.468137,71.178269,70.463047,71.49449,74.342569,74.607656,73.536672,79.908611,80.231482,79.01699,76.116184,80.123202,84.121772,91.511273,87.675266,87.114851,82.603835,78.340983,77.936241,77.161837,74.655653,76.178271,77.661192,81.048973,81.831852,82.30157,82.705069,,
"Residential carbon dioxide emissions, all fuels, Illinois (million metric tons CO2)",28.563956,27.542517,27.222496,25.979344,28.554231,26.843166,25.602718,23.851361,26.871876,28.96454,25.495824,26.827508,27.113057,28.215741,26.996094,28.456164,30.784658,28.629847,23.587489,26.181328,26.910738,24.335397,26.213723,26.813871,25.098008,24.762211,22.714351,24.705556,26.879504,25.271136,23.908738,23.855532,20.526915,26.010513,27.367409,23.134226,22.349262,21.784762,25.347551,,
"Commercial carbon dioxide emissions, all fuels, Illinois (million metric tons CO2)",15.42509,15.447416,14.871001,15.07538,16.69932,14.534105,13.240356,12.333118,13.579999,12.303415,12.521071,11.982623,12.21928,12.559687,12.285503,12.501416,13.316827,12.899732,11.042253,11.571815,12.384884,11.763007,12.405191,12.887975,12.211047,11.843038,11.594033,11.839393,13.234655,13.226731,11.606455,12.516501,10.999241,13.579436,14.423718,13.564366,13.435388,13.637877,15.039141,,
"Industrial carbon dioxide emissions, all fuels, Illinois (million metric tons CO2)",56.944783,49.208736,42.7678,43.640197,45.661964,43.034764,45.075181,48.552957,50.980261,42.245936,42.125673,42.411527,42.048741,43.375196,44.530136,44.692209,45.700602,46.216862,43.139853,42.936479,40.572809,37.157026,36.578239,36.073223,36.328552,36.576254,35.96815,36.458514,35.602584,30.064584,35.530813,36.860771,36.790306,37.762708,38.392758,34.488726,33.674906,34.244093,34.180783,,
"Transportation carbon dioxide emissions, all fuels, Illinois (million metric tons CO2)",57.93112,55.230545,53.787044,55.321493,49.089042,50.521732,49.727188,50.168652,53.731392,54.669873,53.986436,51.770159,52.601859,55.511439,53.608328,55.144692,57.144306,57.461026,58.586882,64.689373,66.397762,64.187388,62.129983,65.009844,68.610391,76.084728,72.420988,72.324869,68.157291,66.615494,65.425006,64.924964,62.859054,63.657567,65.054285,67.887665,68.220665,68.426483,68.864079,,
"Electric power carbon dioxide emissions, natural gas, Illinois (million metric tons CO2)",1.041237,0.71462,0.564311,0.652332,0.326192,0.320462,0.330278,0.172487,0.309108,0.378559,0.500059,0.703372,0.509928,0.872039,1.880487,2.11643,1.396451,2.409197,3.058452,2.914721,2.553034,2.538178,4.3941,1.732035,1.665077,3.162071,2.318046,3.394937,1.869982,1.795491,2.471167,2.567094,4.792609,2.811791,2.28913,4.537459,7.896636,7.71688,7.577871,,
"Residential carbon dioxide emissions, natural gas, Illinois (million metric tons CO2)",25.944551,25.293546,24.86506,23.78663,26.463551,24.642965,23.676378,21.96424,24.971226,27.110842,23.975565,25.246113,25.67428,26.832507,25.664252,27.105431,29.126731,26.941698,22.225278,24.141898,25.328138,23.113712,24.694005,25.496806,23.846796,23.556682,21.459883,23.308536,25.062165,23.646985,22.271119,22.421111,19.357141,24.40039,26.032837,21.906779,21.179638,20.628963,23.930679,,
"Commercial carbon dioxide emissions, natural gas, Illinois (million metric tons CO2)",12.372231,12.090925,11.861295,11.315024,12.811487,11.783143,11.10354,10.287953,11.626148,10.637066,10.859161,10.479912,10.638074,11.005597,10.70137,11.030746,11.78882,10.991166,9.473798,10.222481,10.941823,10.235798,10.996206,11.401241,10.973286,10.86834,10.581515,10.946174,11.961891,11.970486,10.587617,11.560888,10.089097,12.443858,13.3715,11.761071,11.641004,11.79975,13.215673,,
"Industrial carbon dioxide emissions, natural gas, Illinois (million metric tons CO2)",18.940965,18.713882,15.855879,15.544861,16.769674,15.720319,14.508982,14.248421,14.544424,15.121734,14.952695,16.372279,16.228602,16.529805,16.532192,17.37192,17.414684,17.212113,16.434356,16.550815,16.329409,15.008245,15.617813,14.558219,14.17377,14.029191,13.231537,13.722895,14.205816,12.635604,15.29125,15.202327,14.861597,15.84532,15.995152,14.564639,13.989982,14.183426,14.360901,,
