,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Illinois (Million cubic feet)",478489,467398,458572,430606,479572,446567,437081,407875,462339,499984,442163,466970,475360,495311,473788,500796,538749,497230,409812,445217,467052,427146,459400,473451,443410,437572,398231,433048,465927,440065,416570,418143,360891,452602,479465,400876,386590,377511,438218,438021,
"Natural gas consumed by (delivered to) the commercial sector, Illinois (Million cubic feet)",228178,223427,218751,204834,232170,213528,204979,191047,215257,196171,200267,193844,196964,203157,197558,203802,218054,202850,174687,188520,201768,189160,204570,211710,204039,201882,196361,203368,222382,222768,198036,215605,188099,230820,246273,215218,212482,215915,241974,247280,
"Natural gas consumed by the industrial sector, Illinois (Million cubic feet)",349324,345813,292421,281406,303900,284875,267845,264593,269288,278878,275761,302833,300473,305130,305201,320961,322114,317663,303033,305225,301115,277356,290549,270332,263549,260596,245537,254956,264098,235145,286015,283516,277077,293914,294594,266521,255358,259583,263010,268101,
"Natural gas consumed by the electric power sector, Illinois (Million cubic feet)",19165,13166,10387,11948,5963,5881,6067,3172,5706,6967,9211,12987,9415,16142,34670,39238,25813,44712,56555,53775,47189,46801,81867,32168,30624,58418,42729,62567,34586,33214,45900,47510,89300,52266,42538,83976,145716,142141,139048,170447,
"Total energy consumption per capita in the residential sector, Illinois (Million Btu)",79.4,76.3,76.7,77.3,79.9,76.8,74.9,73.4,80.7,83.5,78,82.8,78.6,80.9,78.6,83,85,80.5,74.6,77.6,78.2,76,80.4,79.5,77.4,80.3,75,79,80.7,76.2,77.6,76.1,71,78.3,80,71.9,72.1,69.8,77.8,76.6,
"Electricity consumed by (i.e., sold to) the residential sector, Illinois (Million kilowatthours)",29930,28380,28600,30740,30431,29976,30965,31995,33980,32378,32871,35964,32367,35226,35706,38386,37554,37264,39707,39631,40146,41820,45030,43161,43443,48593,46381,48036,46780,44324,48583,47057,46902,46372,46009,44646,45990,43717,47226,45220,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Illinois (Kilowatthours)",2617,2480,2504,2694,2667,2629,2719,2809,2983,2838,2870,3109,2768,2983,2997,3197,3103,3058,3236,3207,3229,3349,3595,3438,3451,3854,3668,3784,3670,3464,3784,3657,3641,3596,3571,3472,3587,3421,3711,3570,
"Distillate fuel oil consumed by the residential sector, Illinois (Billion Btu)",20458,15248,15536,11223,13785,13654,13464,12228,13014,10727,8120,7133,5774,4332,4279,4429,4342,4121,2431,2955,2397,1860,1536,1475,1768,1233,1043,895,1173,674,675,635,378,444,488,411,426,424,490,372,
"Propane consumed by the residential sector, Illinois (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25390,22357,18429,25409,20909,19242,18300,18122,22286,27805,
"Distillate fuel oil consumed by the commercial sector, Illinois (Billion Btu)",12231,23651,18231,27503,33781,24039,12171,10566,12001,9565,10478,9817,10411,11652,11737,10885,10580,12833,10835,8531,9324,10563,9546,8327,4869,4846,5354,4301,7082,4908,5145,5400,5821,7391,7588,6880,6630,6163,5849,6844,
"Electricity consumed by (i.e., sold to) the commercial sector, Illinois (Million kilowatthours)",31579,32850,33059,33712,34080,32578,33609,35811,37698,38019,38999,40771,38844,41901,43615,45201,45586,46426,48191,50642,53152,52976,53654,49561,47358,49977,50631,52043,51770,50329,51437,50468,50808,50473,50619,50320,50910,49988,50763,49279,
"Total energy consumption per capita in the commercial sector, Illinois (Million Btu)",55.4,56.1,56,56.5,58.8,54.5,53.2,53.7,57.8,57.3,60.4,60.9,58.3,61.2,61.7,63.2,64.2,63.8,62.4,65.3,67.5,66.2,66.2,63.1,60.4,61.8,61.8,63,64.3,62.6,60.9,61.3,59.4,62.4,63.7,61.7,62.3,62.3,64.7,63.9,
