,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Illinois (Million cubic feet)",439152,462644,487845,445723,461746,478602,507935,519973,520525,495570,478489,467398,458572,430606,479572,446567,437081,407875,462339,499984,442163,466970,475360,495311,473788,500796,538749,497230,409812,445217,467052,427146,459400,473451,443410,437572,398231,433048,465927,440065,416570,418143,360891,452602,479465,400876,386590,377511,438218,438021,
"Natural gas consumed by (delivered to) the commercial sector, Illinois (Million cubic feet)",193434,210424,224488,218530,216114,215718,246659,243686,251895,237199,228178,223427,218751,204834,232170,213528,204979,191047,215257,196171,200267,193844,196964,203157,197558,203802,218054,202850,174687,188520,201768,189160,204570,211710,204039,201882,196361,203368,222382,222768,198036,215605,188099,230820,246273,215218,212482,215915,241974,247280,
"Natural gas consumed by the industrial sector, Illinois (Million cubic feet)",380937,407123,398926,425047,409675,352324,373535,369839,366681,359913,349324,345813,292421,281406,303900,284875,267845,264593,269288,278878,275761,302833,300473,305130,305201,320961,322114,317663,303033,305225,301115,277356,290549,270332,263549,260596,245537,254956,264098,235145,286015,283516,277077,293914,294594,266521,255358,259583,263010,268101,
"Natural gas consumed by the electric power sector, Illinois (Million cubic feet)",132382,125834,72795,39595,42792,34245,30548,14430,22566,31547,19165,13166,10387,11948,5963,5881,6067,3172,5706,6967,9211,12987,9415,16142,34670,39238,25813,44712,56555,53775,47189,46801,81867,32168,30624,58418,42729,62567,34586,33214,45900,47510,89300,52266,42538,83976,145716,142141,139048,170447,
"Residential carbon dioxide emissions, natural gas, Illinois (million metric tons CO2)",,,,,,,,,,,25.944551,25.293546,24.86506,23.78663,26.463551,24.642965,23.676378,21.96424,24.971226,27.110842,23.975565,25.246113,25.67428,26.832507,25.664252,27.105431,29.126731,26.941698,22.225278,24.141898,25.328138,23.113712,24.694005,25.496806,23.846796,23.556682,21.459883,23.308536,25.062165,23.646985,22.271119,22.421111,19.357141,24.40039,26.032837,21.906779,21.179638,20.628963,23.930679,,
"Commercial carbon dioxide emissions, natural gas, Illinois (million metric tons CO2)",,,,,,,,,,,12.372231,12.090925,11.861295,11.315024,12.811487,11.783143,11.10354,10.287953,11.626148,10.637066,10.859161,10.479912,10.638074,11.005597,10.70137,11.030746,11.78882,10.991166,9.473798,10.222481,10.941823,10.235798,10.996206,11.401241,10.973286,10.86834,10.581515,10.946174,11.961891,11.970486,10.587617,11.560888,10.089097,12.443858,13.3715,11.761071,11.641004,11.79975,13.215673,,
"Industrial carbon dioxide emissions, natural gas, Illinois (million metric tons CO2)",,,,,,,,,,,18.940965,18.713882,15.855879,15.544861,16.769674,15.720319,14.508982,14.248421,14.544424,15.121734,14.952695,16.372279,16.228602,16.529805,16.532192,17.37192,17.414684,17.212113,16.434356,16.550815,16.329409,15.008245,15.617813,14.558219,14.17377,14.029191,13.231537,13.722895,14.205816,12.635604,15.29125,15.202327,14.861597,15.84532,15.995152,14.564639,13.989982,14.183426,14.360901,,
"Natural Gas Citygate Price in Illinois, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.44,3.43,3.02,2.81,2.74,2.99,3.09,2.91,3.2,3.3,3.02,2.59,3.27,3.28,2.77,3,5.01,5.54,3.68,5.97,6.38,8.38,8.26,7.87,8.48,5.71,5.52,5.09,4.11,4.43,6.28,3.82,3.38,3.76,3.69,3.18,
"Illinois Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.05,1.07,1.13,1.21,1.35,1.61,1.9,2.21,2.5,3.01,3.61,4.05,4.73,5.46,5.37,5.55,5.07,4.81,4.6,4.92,5.06,4.95,5.09,5.52,5.5,4.66,5.28,5.95,5.47,5.5,7.33,9.04,6.41,8.65,9.41,11.62,11.18,10.76,12.07,8.97,9.39,8.78,8.26,8.2,9.59,7.97,7.88,8.83,8.15,8.04,7.94
"Illinois Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.75,0.78,0.84,0.89,1.02,1.31,1.64,1.99,2.27,2.81,3.34,3.74,4.44,4.97,4.86,5.03,4.56,4.39,4.19,4.55,4.64,4.56,4.65,5.1,5.12,4.42,4.92,5.43,5.07,5.2,6.9,8.55,7.47,8.27,9.1,11.2,10.91,10.4,11.7,8.66,8.76,8.27,7.78,7.57,8.86,7.29,7.14,7.78,7.24,7.02,6.85
