,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,IN,Adams,All Sectors,Ammonia,CAP,3585.4327564602827,TON
1,IN,Adams,All Sectors,Carbon Monoxide,CAP,23065.27792707158,TON
2,IN,Adams,All Sectors,Nitrogen Oxides,CAP,2199.0378293650742,TON
3,IN,Adams,All Sectors,PM10 Primary (Filt + Cond),CAP,7137.613313695429,TON
4,IN,Adams,All Sectors,PM2.5 Primary (Filt + Cond),CAP,6707.996381164119,TON
5,IN,Adams,All Sectors,Sulfur Dioxide,CAP,3962.5393338896165,TON
6,IN,Adams,All Sectors,Volatile Organic Compounds,CAP,12010.074837242317,TON
7,IN,Allen,All Sectors,Ammonia,CAP,3585.4327564602827,TON
8,IN,Allen,All Sectors,Carbon Monoxide,CAP,23065.27792707158,TON
9,IN,Allen,All Sectors,Nitrogen Oxides,CAP,2199.0378293650742,TON
10,IN,Allen,All Sectors,PM10 Primary (Filt + Cond),CAP,7137.613313695429,TON
11,IN,Allen,All Sectors,PM2.5 Primary (Filt + Cond),CAP,6707.996381164119,TON
12,IN,Allen,All Sectors,Sulfur Dioxide,CAP,3962.5393338896165,TON
13,IN,Allen,All Sectors,Volatile Organic Compounds,CAP,12010.074837242317,TON
14,IN,Bartholomew,All Sectors,Ammonia,CAP,3585.4327564602827,TON
15,IN,Bartholomew,All Sectors,Carbon Monoxide,CAP,23065.27792707158,TON
16,IN,Bartholomew,All Sectors,Nitrogen Oxides,CAP,2199.0378293650742,TON
17,IN,Bartholomew,All Sectors,PM10 Primary (Filt + Cond),CAP,7137.613313695429,TON
18,IN,Bartholomew,All Sectors,PM2.5 Primary (Filt + Cond),CAP,6707.996381164119,TON
19,IN,Bartholomew,All Sectors,Sulfur Dioxide,CAP,3962.5393338896165,TON
20,IN,Bartholomew,All Sectors,Volatile Organic Compounds,CAP,12010.074837242317,TON
21,IN,Benton,All Sectors,Ammonia,CAP,3585.4327564602827,TON
22,IN,Benton,All Sectors,Carbon Monoxide,CAP,23065.27792707158,TON
23,IN,Benton,All Sectors,Nitrogen Oxides,CAP,2199.0378293650742,TON
24,IN,Benton,All Sectors,PM10 Primary (Filt + Cond),CAP,7137.613313695429,TON
