,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,IN,2.63,2.65,2.64,2.64,2.64,2.64,2.63,2.62,2.61,2.63
1,Avg household size of renter-occupied unit,IN,2.37,2.37,2.39,2.37,2.38,2.39,2.37,2.33,2.27,2.26
2,House Heating Fuel: Electric,IN,659543,667930,690543,717335,710158,726852,740225,764022,777784,772790
3,House Heating Fuel: Fuel Oil,IN,29396,24780,23066,21055,18946,18388,16749,16008,16551,16238
4,House Heating Fuel: Gas,IN,1527016,1521983,1510771,1504232,1515413,1517830,1521013,1525035,1548536,1552483
5,House Heating Fuel: Propane,IN,179701,174851,176520,176348,181828,177999,177100,179223,184265,184697
6,House Heating Fuel: Wood,IN,53848,54510,57554,55561,54170,51692,56087,48935,47601,44677
25,Median Number of Rooms,IN,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8,5.8
26,Number of Rooms: 1,IN,30102,35416,37570,38037,37451,37594,39766,35991,43416,39333
27,Number of Rooms: 2,IN,37404,41997,41819,42977,41603,43828,42800,47116,51435,46350
28,Number of Rooms: 3,IN,189840,177223,186030,182186,197290,194279,179617,188337,189662,194416
29,Number of Rooms: 4,IN,404318,411073,399056,408808,396811,408371,416921,403031,405935,396412
30,Number of Rooms: 5,IN,623279,622645,602578,596079,605425,610233,593623,601043,599875,599961
31,Number of Rooms: 6,IN,564652,568821,567028,552237,561545,542397,560237,568695,555165,565616
32,Number of Rooms: 7,IN,383689,374685,383739,383489,390745,389054,383621,390624,385759,402228
33,Number of Rooms: 8,IN,248501,258009,262653,261791,254844,264475,267155,280989,282501,288935
34,Number of Rooms: 9+,IN,315387,310930,327957,344036,343916,351219,370855,369516,389828,387864
35,Owner-Occupied,IN,4566532,4561710,4537611,4518699,4532275,4520296,4546414,4630959,4672196,4743732
36,Renter-Occupied,IN,1737166,1768285,1811349,1863609,1875498,1910879,1899587,1848595,1832030,1798408
37,Total Housing Units,IN,2797172,2800799,2808430,2809640,2829630,2841450,2854595,2885342,2903576,2921115
38,Total Population,IN,6490621,6516922,6537334,6570902,6596855,6619680,6633053,6666818,6691878,6732219
39,Units in Structure: 1 ATTACHED,IN,91285,98307,110646,109392,104365,101177,110402,110107,108916,111048
40,Units in Structure: 1 DETACHED,IN,2039207,2035677,2038045,2032883,2051614,2054629,2076116,2105224,2101210,2136742
41,Units in Structure: 10-19,IN,106158,107913,107502,111522,106628,105340,96654,104851,104550,103823
42,Units in Structure: 2,IN,73756,79539,73444,70783,72178,75026,69059,73367,71369,69639
43,Units in Structure: 20-49,IN,62445,59231,52355,57895,62777,62792,61779,64260,60936,55846
44,Units in Structure: 3-4,IN,96974,102992,104636,100046,98581,104369,102898,99374,102756,97942
45,Units in Structure: 5-9,IN,129829,122141,124606,129160,135416,133983,138834,128198,142058,148108
46,Units in Structure: 50+,IN,51910,51367,52244,54017,56946,62730,63021,62492,67916,65640
47,"Units in Structure: Boat,RV,Van,Etc.",IN,324,550,658,713,951,745,595,713,992,792
48,Units in Structure: Mobile Home,IN,145284,143082,144294,143229,140174,140659,135237,136756,142873,131535
49,Year Built: 1940-1949,IN,169083,175566,172087,174878,171766,166292,166571,170189,160531,163880
50,Year Built: 1950-1959,IN,324060,326261,332303,312373,311701,311492,312771,310588,322016,325594
51,Year Built: 1960-1969,IN,327995,317694,328270,318488,319595,315436,314844,313115,322237,313662
52,Year Built: 1970-1979,IN,395504,398926,392132,396986,400929,399426,398193,400940,402319,392048
53,Year Built: 1980-1989,IN,280008,278750,279858,279144,288518,285266,289436,282798,282794,292555
54,Year Built: 1990-1999,IN,399708,402646,406787,417011,423590,426000,414314,416840,424104,423063
55,Year Built: 2000-2009,IN,228484,232473,361639,369702,364022,360593,354527,359679,350098,333485
56,Year Built: 2010-2013,IN,138240,156635,25941,42271,56686,63090,75679,72922,68738,67608
57,Year Built: 2014 or later,IN,,,,,,12747.0,32442.0,57709.0,89343.0,116388.0
58,Year Built: before 1940,IN,534090,511848,509413,498787,492823,501108,495818,500562,481396,492832
