,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Indiana, Annual (Dollars per Thousand Cubic Feet)",4.03,4.5,3.58,6.19,6.78,8.83,8.31,7.83,8.94,5.59,5.52,4.97,4.23,4.38,5.63,4.03,3.58,3.85,3.87,3.43
"Indiana Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",6.42,9.57,7.68,9.4,9.98,12.13,13.05,11.29,12.65,10.81,8.63,9.46,8.94,8.43,9.02,8.92,7.92,8.94,8.72,8.68
"Indiana Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",5.74,8.64,6.83,8.42,8.56,11.12,11.53,10.2,11.14,9.18,7.55,8.04,7.69,7.59,8.19,7.61,6.55,7.52,7.37,6.97
"Electricity price in the residential sector, Indiana (Dollars per million Btu)",20.12,20.29,20.26,20.62,21.39,21.98,24.1,24.21,26.01,27.85,28.01,29.47,30.85,32.22,33.58,33.91,34.54,36.03,35.94,36.87
"Electricity price in the commercial sector, Indiana (Dollars per million Btu)",17.67,15.78,17.81,17.95,18.49,19.24,21.14,21.37,22.91,24.38,24.55,25.72,26.79,28.14,29.19,28.66,29.34,30.91,31.06,32.33
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),2.714357977414699,3.1162904405581004,2.518741653725949,4.45510125052317,5.009901076850261,6.744327702002324,6.551642186870485,6.350418418715995,7.527276269005252,4.691587229565075,4.708646172741958,4.372596097053428,3.7986989395782573,3.9910728995943723,5.212946650342457,3.7359939449175257,3.3608754835656143,3.6916194998689633,3.80110829913985,3.43
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),4.324113700993143,6.627311003586893,5.403334050451197,6.765420315818708,7.3744561573695595,9.264857873758572,10.288679968551122,9.15660586811029,10.651011722921304,9.072640062897756,7.361524722964331,8.322889150528257,8.028455914853337,7.681448525931634,8.35182571688969,8.269247143589162,7.435232913363035,8.57222813735806,8.564771154651032,8.68
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),3.8661078884268916,5.983277645871553,4.8053087974715725,6.060089261616332,6.325184840389121,8.49342288179681,9.090304983708386,8.272575717867579,9.379626133861132,7.704610155171268,6.4402678630800345,7.073575979941561,6.90590894689286,6.916037284913536,7.583309603251282,7.054817350079992,6.1490878260767525,7.210643802341455,7.238803143323176,6.97
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),13.551583748283807,14.051007341983079,14.254107794549643,14.8407411608704,15.80557286634618,16.7882585379401,19.000550746519696,19.635201777409225,21.89982726586428,23.37400793262743,23.892967264221426,25.92764727971117,27.704459169264595,29.358988316194218,31.092495296358738,31.436117784653415,32.42587687216657,34.547805345526946,35.30021505712821,36.87
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),11.90141574712599,10.927791811557071,12.530387947726018,12.91907390095168,13.662694824625564,14.695454698360669,16.666873144457526,17.331857165767662,19.289697910840083,20.461698865258768,20.94153325014766,22.628404751753354,24.058426617328962,25.64127657410631,27.027693201331495,26.569128154177736,27.54415829268579,29.638430841805103,30.50708624580975,32.33
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
