,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,IA,Adair,2.32,2.29,2.28,2.26,2.27,2.24,2.23,2.22,2.26,2.25
1,Avg household size of renter-occupied unit,IA,Adair,2.17,2.22,2.31,2.24,2.28,2.27,2.18,2.1,2.09,1.95
36,Owner-Occupied,IA,Adair,5986,5838,5805,5749,5622,5576,5544,5456,5436,5349
37,Renter-Occupied,IA,Adair,1792,1731,1683,1689,1757,1692,1630,1576,1531,1600
0,Avg household size of owner-occupied unit,IA,Adams,2.32,2.39,2.32,2.23,2.23,2.22,2.21,2.23,2.22,2.2
1,Avg household size of renter-occupied unit,IA,Adams,1.91,2.04,2.05,2.08,2.05,2.07,2.11,2.1,2.08,2.24
36,Owner-Occupied,IA,Adams,3235,3318,3124,3055,2921,2786,2751,2872,2813,2878
37,Renter-Occupied,IA,Adams,709,644,774,781,872,962,926,769,774,655
0,Avg household size of owner-occupied unit,IA,Allamakee,2.43,2.4,2.42,2.38,2.35,2.28,2.3,2.27,2.31,2.31
1,Avg household size of renter-occupied unit,IA,Allamakee,2.14,2.26,2.28,2.27,2.29,2.22,2.13,2.19,2.13,2.11
36,Owner-Occupied,IA,Allamakee,11235,11279,11230,11109,10743,10659,10848,10472,10718,10902
37,Renter-Occupied,IA,Allamakee,2527,2607,2641,2739,3034,3039,2796,3110,2822,2593
0,Avg household size of owner-occupied unit,IA,Appanoose,2.4,2.39,2.38,2.4,2.47,2.41,2.39,2.34,2.34,2.31
1,Avg household size of renter-occupied unit,IA,Appanoose,2.09,2.15,2.14,1.97,1.88,1.95,2.02,2.14,2.11,2.27
36,Owner-Occupied,IA,Appanoose,9982,9383,9307,9621,9761,9557,9601,9619,9304,8792
37,Renter-Occupied,IA,Appanoose,2972,3334,3349,3003,2813,2947,2838,2773,3051,3518
0,Avg household size of owner-occupied unit,IA,Audubon,2.25,2.22,2.2,2.16,2.11,2.15,2.14,2.12,2.1,2.06
1,Avg household size of renter-occupied unit,IA,Audubon,2.12,2.32,2.2,2.26,2.26,2.16,2.04,1.94,1.91,2.07
36,Owner-Occupied,IA,Audubon,4847,4723,4709,4662,4717,4714,4601,4455,4372,4181
37,Renter-Occupied,IA,Audubon,1149,1267,1214,1187,1067,1013,1056,1121,1139,1272
0,Avg household size of owner-occupied unit,IA,Benton,2.67,2.63,2.6,2.61,2.6,2.58,2.6,2.57,2.56,2.54
1,Avg household size of renter-occupied unit,IA,Benton,2.04,2.03,2.14,2.3,2.2,2.21,2.09,2.12,2.08,2.06
36,Owner-Occupied,IA,Benton,21992,21896,21597,21123,21268,21264,21244,21358,21531,21661
37,Renter-Occupied,IA,Benton,3972,3904,4152,4539,4301,4205,4136,3945,3749,3634
0,Avg household size of owner-occupied unit,IA,Black Hawk,2.43,2.43,2.45,2.46,2.46,2.49,2.49,2.47,2.45,2.46
1,Avg household size of renter-occupied unit,IA,Black Hawk,2.28,2.27,2.25,2.26,2.28,2.28,2.28,2.3,2.33,2.3
36,Owner-Occupied,IA,Black Hawk,86653,86664,87211,87339,86804,87895,87280,86120,85398,85322
37,Renter-Occupied,IA,Black Hawk,36693,37068,37306,37926,39144,38810,39856,41358,42389,42069
0,Avg household size of owner-occupied unit,IA,Boone,2.49,2.54,2.49,2.51,2.45,2.41,2.39,2.38,2.39,2.39
1,Avg household size of renter-occupied unit,IA,Boone,2.06,2.03,2.09,2.07,2.23,2.24,2.16,2.16,2.22,2.2
36,Owner-Occupied,IA,Boone,20261,20561,20027,20087,19685,19573,19504,19731,20051,20467
37,Renter-Occupied,IA,Boone,5493,4992,5450,5345,5751,5924,6035,5830,5613,5260
0,Avg household size of owner-occupied unit,IA,Bremer,2.5,2.49,2.53,2.58,2.55,2.54,2.54,2.51,2.48,2.47
1,Avg household size of renter-occupied unit,IA,Bremer,2.24,2.06,2.08,1.95,2.05,2.05,2.16,2.21,2.2,2.18
36,Owner-Occupied,IA,Bremer,19297,19319,19203,19405,19167,19240,19157,19302,19464,19744
37,Renter-Occupied,IA,Bremer,3776,3423,3547,3380,3673,3699,3912,3881,3800,3650
0,Avg household size of owner-occupied unit,IA,Buchanan,2.53,2.58,2.58,2.55,2.54,2.58,2.57,2.59,2.64,2.65
1,Avg household size of renter-occupied unit,IA,Buchanan,2.3,2.35,2.46,2.4,2.29,2.17,2.26,2.3,2.41,2.38
36,Owner-Occupied,IA,Buchanan,16220,16625,16175,16333,16633,16993,16872,16902,16611,16863
37,Renter-Occupied,IA,Buchanan,4168,4085,4493,4295,3978,3668,3822,3872,4202,3961
0,Avg household size of owner-occupied unit,IA,Buena Vista,2.58,2.53,2.53,2.58,2.6,2.6,2.61,2.55,2.58,2.59
1,Avg household size of renter-occupied unit,IA,Buena Vista,2.37,2.35,2.43,2.42,2.41,2.43,2.53,2.56,2.48,2.43
36,Owner-Occupied,IA,Buena Vista,13528,13206,13040,13338,13927,13710,13323,12784,12972,12603
37,Renter-Occupied,IA,Buena Vista,5494,5685,6037,5902,5483,5773,6076,6547,6270,6458
0,Avg household size of owner-occupied unit,IA,Butler,2.4,2.43,2.44,2.44,2.47,2.48,2.43,2.39,2.39,2.35
1,Avg household size of renter-occupied unit,IA,Butler,2.39,2.4,2.26,2.11,1.94,1.93,1.98,2.05,2.04,2.12
36,Owner-Occupied,IA,Butler,11959,11858,11990,12000,12275,12315,12146,11845,11813,11454
37,Renter-Occupied,IA,Butler,2581,2791,2663,2662,2442,2407,2540,2724,2664,2928
0,Avg household size of owner-occupied unit,IA,Calhoun,2.2,2.24,2.15,2.22,2.24,2.23,2.19,2.19,2.19,2.21
1,Avg household size of renter-occupied unit,IA,Calhoun,1.77,1.84,1.98,1.86,1.96,2.03,2.05,1.9,1.97,1.96
36,Owner-Occupied,IA,Calhoun,7576,7495,7418,7651,7509,7311,7068,7149,7137,7224
37,Renter-Occupied,IA,Calhoun,1553,1568,1918,1695,1867,2006,2085,1839,1828,1722
0,Avg household size of owner-occupied unit,IA,Carroll,2.47,2.52,2.51,2.52,2.55,2.54,2.52,2.5,2.46,2.42
1,Avg household size of renter-occupied unit,IA,Carroll,1.76,1.8,1.89,1.81,1.8,1.83,1.81,1.72,1.75,1.83
36,Owner-Occupied,IA,Carroll,16036,16591,16307,16408,16463,16212,16280,16297,16448,16032
37,Renter-Occupied,IA,Carroll,3816,3744,3965,3840,3773,3971,3854,3715,3495,3857
