,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, Iowa (million metric tons CO2)",21.967461,23.637268,22.892817,23.819619,23.625097,25.258872,24.62262,26.998165,28.787284,29.87445,31.848669,33.248747,31.358389,32.64351,33.102875,35.369292,36.43601,37.183632,40.379887,41.095685,42.436319,42.238397,42.065834,42.40088,42.289073,41.041189,41.496592,44.36416,46.288946,42.410553,47.100529,44.1692,40.303684,38.374412,38.259868,33.217326,28.421697,28.640563,31.066543,,
"Total carbon dioxide emissions from all sectors, natural gas, Iowa (million metric tons CO2)",14.345992,13.475969,12.679747,11.863789,12.647012,12.117559,11.087252,10.860063,12.776098,12.108752,11.69353,12.511186,12.337214,13.200764,13.288148,13.927587,14.538057,13.624315,12.448208,12.47288,12.401306,11.950165,12.051132,12.248238,12.070445,12.881522,12.80337,15.715756,17.457182,16.839708,16.603659,16.430164,15.880656,17.805658,18.174986,17.756209,18.494387,21.914101,24.944327,,
"Total carbon dioxide emissions from all sectors, petroleum, Iowa (million metric tons CO2)",22.824281,21.084362,21.716163,20.407666,19.852238,19.899095,20.258702,19.610784,20.013304,19.730444,19.377879,19.155782,19.812594,21.765526,22.260821,22.889916,23.179061,22.636252,24.432871,24.809243,24.639474,24.215279,25.01247,24.176214,26.524585,26.941564,27.898526,27.315092,27.479215,27.018212,26.969577,27.0303,25.31145,26.637253,27.470599,26.859022,27.526542,26.148182,26.611216,,
"Residential carbon dioxide emissions, all fuels, Iowa (million metric tons CO2)",6.58089,6.036741,6.570684,5.811508,5.695257,5.788089,5.575798,4.877783,5.54545,5.635558,5.025189,5.547815,5.214046,5.832713,5.579581,5.759163,6.453166,6.036026,5.070503,5.541932,5.569289,4.910956,5.268225,5.378631,4.858937,4.845564,4.510976,4.842428,5.53418,5.162335,4.830776,4.802794,3.943966,5.095502,5.382548,4.493956,4.430947,4.354894,5.451457,,
"Commercial carbon dioxide emissions, all fuels, Iowa (million metric tons CO2)",3.42761,3.332145,3.591774,3.579815,3.729959,3.66039,3.246574,3.070598,3.510423,3.212498,3.193233,3.510168,3.129251,3.302587,2.919426,3.163662,3.753489,3.860989,3.362387,3.772832,3.547889,3.527269,3.643811,3.774318,3.472521,3.478107,3.83222,3.936174,4.407449,4.680321,4.45611,4.504519,4.08884,4.839832,4.894846,4.573985,3.743227,3.801798,4.274733,,
"Industrial carbon dioxide emissions, all fuels, Iowa (million metric tons CO2)",13.196666,12.632675,11.538514,10.36832,10.760776,11.072484,11.255839,11.318428,11.957664,12.089171,11.977456,12.837111,13.341692,14.437058,15.120651,15.634401,15.092154,14.603462,15.29016,15.619913,15.391801,15.037299,14.93823,13.97644,15.318122,15.390399,15.957822,17.095871,18.84745,18.363252,19.721405,19.901709,18.767134,20.054541,19.838359,19.746155,19.855303,22.477083,23.039061,,
"Transportation carbon dioxide emissions, all fuels, Iowa (million metric tons CO2)",16.691989,15.682035,15.752818,15.597257,15.537358,15.223377,14.975667,15.609383,16.081609,16.15635,16.184507,15.617584,15.427708,16.001696,16.956208,17.63042,18.897311,18.40651,19.034559,18.885734,18.570492,18.470956,19.07459,19.275562,20.330975,21.026535,21.554098,21.900194,21.035754,20.584924,20.559995,20.764832,19.877988,20.259307,20.897266,20.195087,21.328853,20.25917,20.478178,,
"Electric power carbon dioxide emissions, natural gas, Iowa (million metric tons CO2)",0.365507,0.17965,0.135241,0.17705,0.168508,0.113753,0.073643,0.17445,0.291652,0.128981,0.222785,0.239179,0.156358,0.245971,0.180923,0.248624,0.179544,0.22061,0.319507,0.280829,0.253399,0.309426,0.280404,0.227984,0.439203,1.133078,1.046012,1.387803,0.946,0.535872,0.672971,0.530885,0.89496,0.655993,0.582934,0.909657,1.171544,1.655315,2.695862,,
"Residential carbon dioxide emissions, natural gas, Iowa (million metric tons CO2)",4.520375,4.098309,4.53417,4.159165,4.294566,4.223788,3.976067,3.489484,4.066475,4.151843,3.813183,4.213495,3.988588,4.438668,4.185163,4.384762,4.701192,4.373567,3.695768,3.862791,3.937919,3.785116,3.807028,3.938715,3.636398,3.591512,3.322833,3.631357,4.042971,3.745748,3.648972,3.591724,3.003591,3.959884,4.224372,3.503968,3.431281,3.380293,3.983972,,
"Commercial carbon dioxide emissions, natural gas, Iowa (million metric tons CO2)",2.691724,2.490586,2.755869,2.520245,2.589855,2.555368,2.342133,2.03536,2.401875,2.47504,2.348023,2.492496,2.455356,2.678301,2.562743,2.683182,2.912758,2.686949,2.307912,2.42782,2.431799,2.444002,2.470212,2.558339,2.451961,2.41063,2.333114,2.485068,3.006085,3.029164,2.757673,2.77688,2.353594,3.090179,3.168756,2.746001,2.768338,2.783777,3.192844,,
"Industrial carbon dioxide emissions, natural gas, Iowa (million metric tons CO2)",6.093664,6.128788,4.780671,4.580753,5.027066,4.669517,4.306291,4.724961,5.450352,4.792556,4.820729,5.210483,5.366788,5.447116,5.784556,6.020977,6.068303,5.736115,5.652869,5.480329,5.335272,4.930874,4.907317,4.993906,4.997301,5.125698,5.428387,7.551184,8.706493,8.789208,8.934796,8.951986,9.082983,9.476398,9.496613,9.984999,10.623059,13.506636,14.382442,,
