,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,IA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,1.618,0.0,0.0,0.0,0.0,
2,IA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,3.646,0.0,0.0,0.0,0.0,
3,IA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,11.376,20866.05,1186.79,1055.36,0.0,10.75
4,IA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,26.277,42893.53,1708.63,189.81,598.84,5.82
5,IA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,0.143,0.0,0.0,0.0,0.0,
6,IA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,2.579,0.0,0.0,0.0,0.0,
7,IA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,0.161,0.0,0.0,0.0,0.0,
8,IA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,0.896,6869.41,185.25,132.04,0.0,4.62
9,IA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,29.558,49262.89,1843.15,478.98,0.0,4.71
10,IA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,6.458,52296.87,2270.41,0.0,0.0,4.34
11,IA,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.002,0.0,0.0,0.0,0.0,
12,IA,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.0,0.0,0.0,0.0,0.0,
13,IA,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.0,0.0,0.0,0.0,0.0,
14,IA,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.0,0.0,0.0,0.0,0.0,
15,IA,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.001,0.0,0.0,0.0,0.0,
16,IA,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.166,0.0,0.0,0.0,0.0,
17,IA,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.0,0.0,0.0,0.0,0.0,
18,IA,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
19,IA,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.069,0.0,0.0,0.0,0.0,
20,IA,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.292,0.0,0.0,0.0,0.0,
21,IA,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,71.145,9155.55,334.94,107.01,0.0,4.83
22,IA,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,68.046,17337.76,683.39,453.89,0.0,6.5600000000000005
