,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Iowa (Million cubic feet)",96219,92231,96463,91310,91936,94370,89676,86950,80877,95941,84955,77017,84791,77323,79767,78750,74202,65246,76111,77403,71380,78801,74879,83422,78260,82238,88078,81696,68901,71430,73857,71074,71545,74024,68321,67271,61844,67754,75449,70111,68376,67097,55855,72519,76574,62735,61247,60362,70950,71385,
"Natural gas consumed by (delivered to) the commercial sector, Iowa (Million cubic feet)",57266,59138,61623,63350,64052,66915,64734,60519,49200,58308,50588,46804,51536,46854,48104,47643,43709,38057,44955,46142,43953,46615,46095,50337,47922,50325,54571,50191,43027,44895,45609,45892,46423,48081,46068,45152,43424,46367,56099,56698,51674,51875,43767,56592,57439,49165,49414,49710,56854,57985,
"Natural gas consumed by the industrial sector, Iowa (Million cubic feet)",98968,102116,105523,131632,133224,121489,122343,112212,95044,118167,114523,115174,89401,85161,93373,87060,80364,88346,102013,89347,90240,97446,100752,102374,108168,112926,113691,107148,105388,101341,100065,92589,92223,93856,93890,96007,101032,140892,162478,164512,167423,167233,168907,173545,172142,178772,189618,241187,256030,249885,
"Natural gas consumed by the electric power sector, Iowa (Million cubic feet)",77910,71321,60638,61864,61201,46929,25804,13590,8177,8333,6834,3362,2501,3249,3069,2100,1365,3265,5459,2402,4141,4428,2928,4585,3366,4643,3367,4124,5947,5249,4735,5754,5250,4252,8290,21285,19629,25941,17645,10019,12560,9893,16509,12070,10497,16199,20886,29369,47070,45776,
"Residential carbon dioxide emissions, natural gas, Iowa (million metric tons CO2)",,,,,,,,,,,4.520375,4.098309,4.53417,4.159165,4.294566,4.223788,3.976067,3.489484,4.066475,4.151843,3.813183,4.213495,3.988588,4.438668,4.185163,4.384762,4.701192,4.373567,3.695768,3.862791,3.937919,3.785116,3.807028,3.938715,3.636398,3.591512,3.322833,3.631357,4.042971,3.745748,3.648972,3.591724,3.003591,3.959884,4.224372,3.503968,3.431281,3.380293,3.983972,,
"Commercial carbon dioxide emissions, natural gas, Iowa (million metric tons CO2)",,,,,,,,,,,2.691724,2.490586,2.755869,2.520245,2.589855,2.555368,2.342133,2.03536,2.401875,2.47504,2.348023,2.492496,2.455356,2.678301,2.562743,2.683182,2.912758,2.686949,2.307912,2.42782,2.431799,2.444002,2.470212,2.558339,2.451961,2.41063,2.333114,2.485068,3.006085,3.029164,2.757673,2.77688,2.353594,3.090179,3.168756,2.746001,2.768338,2.783777,3.192844,,
"Industrial carbon dioxide emissions, natural gas, Iowa (million metric tons CO2)",,,,,,,,,,,6.093664,6.128788,4.780671,4.580753,5.027066,4.669517,4.306291,4.724961,5.450352,4.792556,4.820729,5.210483,5.366788,5.447116,5.784556,6.020977,6.068303,5.736115,5.652869,5.480329,5.335272,4.930874,4.907317,4.993906,4.997301,5.125698,5.428387,7.551184,8.706493,8.789208,8.934796,8.951986,9.082983,9.476398,9.496613,9.984999,10.623059,13.506636,14.382442,,
"Natural Gas Citygate Price in Iowa, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.86,3.76,3.3,2.88,2.92,2.8,2.86,2.73,3.2,3.24,3.15,2.82,3.47,4.06,3.34,3.3,5.06,5.92,4.16,6.19,6.89,8.88,8.07,7.8,8.28,5.62,5.69,5.27,4.84,4.95,6.24,4.29,3.77,4.3,4.11,3.47,3.38
"Iowa Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.97,1.03,1.11,1.17,1.22,1.43,1.61,1.93,2.25,2.68,3.19,3.89,4.69,5.52,5.56,5.39,5.12,4.75,4.79,4.7,4.99,4.81,5.23,5.48,5.4,5.09,5.49,6.17,5.96,6.1,7.81,8.9,7.08,9.14,10.14,12.3,12.42,11.76,11.91,9.83,9.57,9.54,9.46,8.99,10.02,8.51,8.13,9.3,8.94,8.19,
"Iowa Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.69,0.73,0.83,0.9,0.94,1.06,1.29,1.65,1.98,2.39,2.85,3.51,4.31,5.04,5.05,4.86,4.45,3.87,4.03,3.9,4.03,3.99,4.27,4.52,4.51,4.14,4.59,5.18,4.67,4.79,6.69,7.24,5.51,7.71,8.51,10.63,10.38,9.97,10.25,7.88,7.81,7.55,7.13,6.97,8.15,6.51,5.99,6.87,6.84,6.03,5.8
