Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,IA,973818,51846,5620,3707,40734,126870,107046,154422,215184,152316,109533,6540
Statewide Total,,Cooperative,IA,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,IA,5,0,0,0,0,0,0,0,0,3,0,2
Statewide Total,,Investor Owned,IA,915773,46208,5620,2457,34768,114733,102863,149332,204976,146202,102743,5871
Statewide Total,,Municipal Owned,IA,58040,5638,0,1250,5966,12137,4183,5090,10208,6111,6790,667
TRAER MUNICIPAL UTILITIES,40188,Municipal Owned,IA,794,0,0,0,0,613,0,0,46,92,41,2
DOOLEY'S NATURAL GAS OF IOWA,40068,Privately Owned,IA,2,0,0,0,0,0,0,0,0,0,0,2
"QCCP INDUSTRIAL PARK UTILITIES, LLC",39170,Privately Owned,IA,3,0,0,0,0,0,0,0,0,3,0,0
LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP. D/B/A LIBERTY UTILITIES,38906,Investor Owned,IA,4606,0,0,0,0,5,724,2096,1225,308,211,37
CITY OF ALTON,32480,Municipal Owned,IA,513,0,0,0,225,45,55,31,71,44,42,0
CITY OF MAPLETON,32468,Municipal Owned,IA,549,0,0,0,0,0,0,0,501,0,48,0
JO-CARROLL ENERGY,32282,Cooperative,IA,0,0,0,0,0,0,0,0,0,0,0,0
ORANGE CITY MUNCIPAL UTILITIES,31935,Municipal Owned,IA,2103,0,0,0,568,243,171,282,422,224,169,24
CITY OF WALL LAKE,31416,Municipal Owned,IA,410,0,0,0,0,0,0,0,375,5,30,0
MIDAMERICAN ENERGY COMPANY,30750,Investor Owned,IA,532546,24279,3997,2106,28004,65186,64812,85716,112393,79883,61819,4351
WINFIELD MUNICIPAL GAS,30515,Municipal Owned,IA,505,0,0,0,0,468,0,0,21,11,3,2
EVERLY MUNICIPAL GAS,30039,Municipal Owned,IA,348,0,0,0,0,304,0,0,25,17,2,0
WOODBINE MUNICIPLE NATURAL GAS SYSTEM,22833,Municipal Owned,IA,679,0,0,0,0,314,117,64,118,11,47,8
"WHITTEMORE, TOWN OF",22588,Municipal Owned,IA,287,0,0,0,0,225,46,7,4,5,0,0
"WEST BEND, TOWN OF, GAS",22371,Municipal Owned,IA,412,48,0,0,0,260,40,20,20,21,3,0
WELLMAN MUNICIPAL GAS SYSTEM,22357,Municipal Owned,IA,695,0,0,0,0,0,0,547,76,38,26,8
WAYLAND MUNICIPAL GAS CO,22280,Municipal Owned,IA,500,0,0,0,0,307,68,0,37,37,48,3
WAUKEE MUNICIPAL GAS,22235,Municipal Owned,IA,6730,1230,0,0,0,0,0,0,603,1977,2518,402
TITONKA MUNICIPAL GAS SYSTEM,19476,Municipal Owned,IA,294,0,0,0,0,116,49,31,73,21,3,1
TIPTON MUNICIPAL UTILITIES,19470,Municipal Owned,IA,1520,0,0,0,0,759,180,180,230,86,73,12
SIOUX CENTER MUNICIPAL GAS UTILITY,18336,Municipal Owned,IA,2465,0,0,0,546,394,248,224,314,369,330,40
SANBORN MUNICIPAL GAS DISTRICT,18108,Municipal Owned,IA,630,67,0,0,453,24,20,0,0,8,52,6
SAC CITY MUNICIPAL GAS UTIL,18020,Municipal Owned,IA,1172,0,0,0,0,605,313,126,103,22,3,0
SABULA MUNICIPAL GAS,18016,Municipal Owned,IA,337,0,0,0,0,284,21,17,11,0,4,0
ROLFE MUNICIPAL GAS SYSTEM,17640,Municipal Owned,IA,382,0,0,0,0,345,20,0,5,7,5,0
ROCK RAPIDS MUNC UTIL,17583,Municipal Owned,IA,1228,0,0,0,926,0,0,42,134,52,62,12
"REMSEN MUNICIPAL UTILITIES, TOWN OF",17210,Municipal Owned,IA,760,0,0,592,0,0,45,55,40,8,20,0
PRESTON MUNICIPAL GAS UTILITIES,15848,Municipal Owned,IA,481,0,0,0,0,328,25,37,50,30,11,0
PRESCOTT MUNICIPAL GAS SYSTEM (CITY OF LENOX),15840,Municipal Owned,IA,113,0,0,0,0,111,0,0,0,0,2,0
BLACK HILLS ENERGY,15359,Investor Owned,IA,164057,20461,1,1,0,10735,16171,38315,43091,20759,13433,1090
"OSAGE MUNICIPAL GAS UTILITY, TOWN OF",14380,Municipal Owned,IA,2043,1672,0,0,0,0,0,0,0,151,213,7
