,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,KS,All Sectors,Ammonia,CAP,2567.678198038021,TON
1,KS,All Sectors,Carbon Monoxide,CAP,43715.18090927481,TON
2,KS,All Sectors,Nitrogen Oxides,CAP,15552.098886089785,TON
3,KS,All Sectors,PM10 Primary (Filt + Cond),CAP,17029.982208999034,TON
4,KS,All Sectors,PM2.5 Primary (Filt + Cond),CAP,5654.542685556928,TON
5,KS,All Sectors,Sulfur Dioxide,CAP,490.3022910599613,TON
6,KS,All Sectors,Volatile Organic Compounds,CAP,28468.406925150994,TON
7,KS,All Sectors,Carbon Dioxide,GHG,1209012.955380333,TON
8,KS,All Sectors,Methane,GHG,2358.444577849435,TON
9,KS,All Sectors,Nitrous Oxide,GHG,37.800720564714,TON
10,KS,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,10201.551179197,TON
11,KS,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,2937.87095606446,TON
12,KS,Agriculture - Fertilizer Application,Ammonia,CAP,980.0,TON
13,KS,Agriculture - Livestock Waste,Ammonia,CAP,1228.788730709,TON
14,KS,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,295.65814547,TON
15,KS,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,3343.1647,TON
16,KS,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,2814.6722,TON
17,KS,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,3791.8770000000004,TON
18,KS,Bulk Gasoline Terminals,Volatile Organic Compounds,CAP,6.83,TON
19,KS,Commercial Cooking,Carbon Monoxide,CAP,2.018642254,TON
20,KS,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,64.82275149,TON
21,KS,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,3.53637384,TON
22,KS,Commercial Cooking,Volatile Organic Compounds,CAP,12.9449143199,TON
23,KS,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,1.981583,TON
24,KS,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,1.68283419,TON
25,KS,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,64.97247,TON
26,KS,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,101.15068,TON
27,KS,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,5687.9169999999995,TON
28,KS,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,317.8937,TON
29,KS,Fires - Agricultural Field Burning,Ammonia,CAP,25.81,TON
30,KS,Fires - Agricultural Field Burning,Carbon Monoxide,CAP,366.6,TON
31,KS,Fires - Agricultural Field Burning,Nitrogen Oxides,CAP,10.657,TON
32,KS,Fires - Agricultural Field Burning,PM10 Primary (Filt + Cond),CAP,41.31,TON
33,KS,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,11.54,TON
34,KS,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,13.33,TON
35,KS,Fires - Agricultural Field Burning,Volatile Organic Compounds,CAP,27.880000000000003,TON
36,KS,Fires - Prescribed Fires,Ammonia,CAP,286.176654,TON
