,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,KS,Allen,2.44,2.41,2.37,2.36,2.38,2.4,2.37,2.36,2.39,2.34
1,Avg household size of renter-occupied unit,KS,Allen,2.09,2.08,2.21,2.34,2.37,2.36,2.36,2.22,2.12,2.06
2,FIPS Code,KS,Allen,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001
3,House Heating Fuel: Electric,KS,Allen,1075,1038,1018,1034,1155,1218,1270,1458,1461,1489
4,House Heating Fuel: Fuel Oil,KS,Allen,0,0,0,0,0,0,0,0,0,7
5,House Heating Fuel: Gas,KS,Allen,3554,3632,3635,3584,3409,3225,3143,3049,2998,3087
6,House Heating Fuel: Propane,KS,Allen,643,550,593,613,547,569,621,579,510,552
7,House Heating Fuel: Wood,KS,Allen,245,309,289,241,260,266,242,216,299,227
26,Median Number of Rooms,KS,Allen,5.7,5.7,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.9
27,Number of Rooms: 1,KS,Allen,25,25,49,45,164,179,148,147,162,92
28,Number of Rooms: 2,KS,Allen,105,135,121,116,104,156,124,130,140,122
29,Number of Rooms: 3,KS,Allen,151,205,247,274,286,287,241,257,221,208
30,Number of Rooms: 4,KS,Allen,1009,1027,1106,995,1004,890,772,627,554,541
31,Number of Rooms: 5,KS,Allen,1474,1426,1276,1468,1463,1440,1492,1579,1611,1598
32,Number of Rooms: 6,KS,Allen,1532,1507,1545,1481,1469,1494,1502,1578,1659,1667
33,Number of Rooms: 7,KS,Allen,898,873,877,801,786,772,837,905,913,992
34,Number of Rooms: 8,KS,Allen,596,571,488,475,433,381,432,431,464,566
35,Number of Rooms: 9+,KS,Allen,479,476,526,591,540,648,720,655,590,532
36,Owner-Occupied,KS,Allen,10614,10455,10148,9713,9286,9242,9059,9041,8985,8906
37,Renter-Occupied,KS,Allen,2562,2613,2863,3237,3546,3446,3490,3304,3238,3241
38,Total Housing Units,KS,Allen,6269,6245,6235,6246,6249,6247,6268,6309,6314,6318
39,Total Population,KS,Allen,13473,13411,13364,13318,13212,13081,12951,12752,12630,12556
40,Units in Structure: 1 ATTACHED,KS,Allen,51,64,59,72,82,63,45,50,56,59
41,Units in Structure: 1 DETACHED,KS,Allen,5109,4948,4923,4886,4828,4856,5015,4964,5074,5092
42,Units in Structure: 10-19,KS,Allen,70,64,8,7,13,17,41,52,42,78
43,Units in Structure: 2,KS,Allen,173,262,285,297,269,265,166,248,223,187
44,Units in Structure: 20-49,KS,Allen,44,54,77,82,127,173,159,164,143,164
45,Units in Structure: 3-4,KS,Allen,31,33,16,48,73,75,93,90,85,55
46,Units in Structure: 5-9,KS,Allen,60,80,68,57,126,87,74,78,113,128
47,Units in Structure: 50+,KS,Allen,69,69,104,89,68,52,51,26,27,26
48,"Units in Structure: Boat,RV,Van,Etc.",KS,Allen,20,19,18,17,0,5,6,6,6,7
49,Units in Structure: Mobile Home,KS,Allen,642,652,677,691,663,654,618,631,545,522
50,Year Built: 1940-1949,KS,Allen,411,407,314,279,266,799,806,777,542,522
51,Year Built: 1950-1959,KS,Allen,692,652,636,836,823,524,535,645,617,613
52,Year Built: 1960-1969,KS,Allen,558,509,506,590,544,1307,1223,1222,1174,1036
53,Year Built: 1970-1979,KS,Allen,1099,1140,1324,1243,1360,573,623,690,660,719
54,Year Built: 1980-1989,KS,Allen,629,574,597,540,484,548,627,640,722,758
55,Year Built: 1990-1999,KS,Allen,514,471,425,411,458,447,331,367,381,288
56,Year Built: 2000-2009,KS,Allen,98,147,330,347,446,74,111,102,104,94
57,Year Built: 2010-2013,KS,Allen,120,194,19,31,37,0,0,22,70,105
58,Year Built: before 1940,KS,Allen,2148,2151,2084,1969,1831,276,275,291,390,406
0,Avg household size of owner-occupied unit,KS,Anderson,2.49,2.47,2.43,2.34,2.4,2.45,2.45,2.44,2.44,2.41
1,Avg household size of renter-occupied unit,KS,Anderson,2.48,2.54,2.37,2.51,2.27,2.15,2.31,2.34,2.73,2.72
2,FIPS Code,KS,Anderson,20003,20003,20003,20003,20003,20003,20003,20003,20003,20003
3,House Heating Fuel: Electric,KS,Anderson,406,457,540,646,707,706,598,571,448,386
4,House Heating Fuel: Fuel Oil,KS,Anderson,25,38,34,27,17,0,0,0,0,0
5,House Heating Fuel: Gas,KS,Anderson,1670,1639,1583,1432,1488,1453,1549,1493,1579,1656
6,House Heating Fuel: Propane,KS,Anderson,775,738,728,800,802,841,754,850,810,814
7,House Heating Fuel: Wood,KS,Anderson,306,320,388,401,299,277,296,276,214,222
26,Median Number of Rooms,KS,Anderson,5.7,5.7,5.7,5.8,5.8,5.9,5.9,5.8,5.7,5.8
27,Number of Rooms: 1,KS,Anderson,16,16,0,0,0,0,0,13,14,26
28,Number of Rooms: 2,KS,Anderson,0,1,2,44,57,49,49,81,64,67
