,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,KS,5.8,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,6.0
26,Number of Rooms: 1,KS,21051,26622,20725,25230,21980,21350,25090,28835,29812,24084
27,Number of Rooms: 2,KS,20670,25714,26336,24912,22722,24050,25157,27041,29961,28820
28,Number of Rooms: 3,KS,93044,85911,84450,84948,89122,93107,88438,93298,85793,89255
29,Number of Rooms: 4,KS,175054,177835,171902,173601,174689,166872,181579,171492,173891,178065
30,Number of Rooms: 5,KS,242017,241018,244099,230270,238466,232905,231047,226757,224041,215699
31,Number of Rooms: 6,KS,219001,212177,215398,214975,210313,212397,217788,217169,222262,228998
32,Number of Rooms: 7,KS,162831,164434,167176,165004,164850,172440,173093,170969,168050,174176
33,Number of Rooms: 8,KS,127946,126205,128837,132264,135191,128684,130003,134482,134741,133913
34,Number of Rooms: 9+,KS,172423,177822,179780,188551,191528,202084,187675,203733,212002,215420
