,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,KS,56013,57675,58399,58523,56998,53737,58009,60761,56092,62357
40,Units in Structure: 1 DETACHED,KS,890150,893982,898690,895869,910937,910763,915910,925360,931250,927854
41,Units in Structure: 10-19,KS,40199,44380,47417,47047,45568,47307,45713,44136,49451,45877
42,Units in Structure: 2,KS,28580,33099,29400,28910,32482,31027,33509,32095,30531,33773
43,Units in Structure: 20-49,KS,31360,31536,30865,33882,31541,30563,30817,34121,32132,36499
44,Units in Structure: 3-4,KS,46219,42950,39888,39409,39623,48365,45429,46613,44433,46478
45,Units in Structure: 5-9,KS,50554,48718,46149,46932,49150,46024,48817,48115,52279,48484
46,Units in Structure: 50+,KS,25896,23907,26010,25061,24299,27033,27421,26893,28628,28778
47,"Units in Structure: Boat,RV,Van,Etc.",KS,523,284,256,566,414,918,763,565,972,567
48,Units in Structure: Mobile Home,KS,64543,61207,61629,63556,57849,58152,53482,55117,54785,57763
