,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Kansas, Annual (Dollars per Thousand Cubic Feet)",4.52,6.06,4.12,5.97,6.68,9.08,9.08,8.27,8.85,6.12,6.08,5.53,4.74,4.98,6.1,4.59,4.02,4.51,4.21,3.68
"Kansas Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",7.64,9.38,7.25,8.95,10.73,12.08,13.19,12.97,13.0,11.1,10.61,9.93,10.12,10.19,10.59,10.17,9.85,10.95,10.18,9.24
"Kansas Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",6.8,8.52,6.51,8.5,10.1,11.45,12.44,12.04,12.24,10.01,9.65,8.89,8.82,9.07,9.61,8.87,8.41,9.3,8.63,7.68
"Electricity price in the residential sector, Kansas (Dollars per million Btu)",22.43,22.46,22.47,22.58,22.7,23.14,24.19,24.01,26.07,27.94,29.38,31.2,32.95,34.13,35.67,36.18,38.27,39.02,39.13,37.26
"Electricity price in the commercial sector, Kansas (Dollars per million Btu)",18.47,18.43,18.65,18.81,18.91,19.35,20.41,20.01,21.81,23.08,24.17,25.73,27.07,28.37,29.69,29.59,30.69,31.05,31.23,30.16
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.0443915776462624,4.196604459951574,2.8986635791482986,4.296761626110392,4.936008730584033,6.935276957438403,7.158713725244765,6.707274626153419,7.4514983199884215,5.136406770114179,5.186334914904187,4.865282981228463,4.256698102506133,4.5377952146073,5.648130473728061,4.255139505501598,3.7739439787524494,4.324468556989356,4.135055798289088,3.68
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),5.145830011773771,6.495734296096663,5.100803628355623,6.441543811338025,7.92864875436627,9.226668022671356,10.3990566118919,10.519147751053186,10.945703746875648,9.316031886971794,9.050495632752206,8.736394214032302,9.088140252608028,9.28516731663622,9.805524871603307,9.428054198464325,9.247101539978017,10.499541174951984,9.998781003938932,9.24
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),4.58005812566252,5.900176567456669,4.5801698787027725,6.117667306857342,7.463126972889032,8.745475898972435,9.807753165423444,9.764883494424083,10.305801066289071,8.401214341314203,8.231600646188388,7.821404286278668,7.920691405929132,8.264618995278758,8.898120303692897,8.222894861394156,7.895241010275647,8.917418532151002,8.476373287229174,7.68
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),15.107456435089752,15.553751843318874,15.808973452296666,16.251403269275148,16.773562602433767,17.674263083163506,19.071507160095912,19.472994410392214,21.950345898542164,23.44954332630558,25.061598651296872,27.449697832609047,29.590338075438197,31.09938768565204,33.02767442588196,33.54051139630671,35.927571160909515,37.414803346723886,38.433428357969596,37.26
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),12.44024611485099,12.762940626552398,13.121377609494116,13.53803788729254,13.973042678943724,14.779472370752545,16.091337789894897,16.228847070051987,18.363522978412142,19.370632067685495,20.617387317966152,22.63720273182791,24.309877138152107,25.850853461527933,27.4906547155715,27.431280603004858,28.811527539281762,29.772671550891246,30.67405999538437,30.16
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
