,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Kansas (Million cubic feet)",85294,74701,81804,80538,79340,78350,70582,69653,76420,76033,71327,74825,71522,84896,74156,75846,85376,69415,70217,68146,70601,70182,70863,70369,65049,64923,57078,63091,70336,71068,67117,65491,50489,68036,71115,58384,54060,54445,67134,68123,
"Natural gas consumed by (delivered to) the commercial sector, Kansas (Million cubic feet)",58880,52036,55470,52535,57516,56522,55730,53609,61120,58554,56045,58571,53973,56023,52253,53122,57229,41482,41788,38952,40297,37560,38802,37781,36779,29616,27505,30546,33531,32512,31799,32117,25452,33198,36154,37047,34757,34612,40249,41320,
"Natural gas consumed by the industrial sector, Kansas (Million cubic feet)",190819,174644,160314,133864,158343,161304,138890,157895,154036,144253,157829,168131,174543,195688,230957,175470,158390,162398,144869,128185,138627,115877,137803,125356,115860,117713,132132,142555,128797,124864,124047,128383,134005,136077,134699,139742,139570,140582,144818,142528,
"Natural gas consumed by the electric power sector, Kansas (Million cubic feet)",101022,79117,61063,47226,32234,21181,15029,16074,18890,19152,27197,36122,13981,21636,27279,27945,23110,25822,36894,35890,33509,23267,21389,14488,10474,14105,22477,25560,26640,32040,27907,30501,32520,23268,18443,14624,20399,20589,28281,28232,
"Total energy consumption per capita in the residential sector, Kansas (Million Btu)",78.6,73.6,78.4,80.2,77.1,77.5,72.9,74.3,77.4,77.4,80.4,84.4,75.6,84.7,80.4,82.1,88.2,83.1,85.5,84.4,88.7,84.1,87.5,86.9,84.1,87.3,82.9,84.5,86.8,84.5,86.8,85.5,76.6,81.5,82.8,75.9,73.2,70.6,80.3,78.6,
"Electricity consumed by (i.e., sold to) the residential sector, Kansas (Million kilowatthours)",7189,7600,7746,8368,8269,8195,8346,8617,9121,8898,9515,9933,8873,9986,10131,10356,10672,10862,11832,11347,12528,12062,12745,12602,12417,13406,13503,13806,13502,13149,14334,14344,13797,13593,13685,13242,13509,13013,14187,13631,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Kansas (Kilowatthours)",3035,3187,3226,3464,3411,3376,3431,3524,3705,3598,3834,3975,3504,3906,3926,3981,4082,4122,4447,4237,4651,4464,4697,4628,4541,4883,4887,4960,4808,4642,5015,4998,4781,4696,4716,4549,4638,4471,4871,4680,
"Distillate fuel oil consumed by the residential sector, Kansas (Billion Btu)",872,110,1011,248,305,395,150,137,183,217,164,136,167,159,144,83,101,206,66,80,99,259,209,107,75,21,17,13,21,25,15,42,45,17,6,21,8,19,9,18,
"Propane consumed by the residential sector, Kansas (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8940,8248,6684,7769,8660,8170,6406,6116,8421,9375,
"Distillate fuel oil consumed by the commercial sector, Kansas (Billion Btu)",2095,1726,848,5354,6576,4223,2094,1739,2363,2263,1915,2108,2899,3767,2642,3273,3225,2754,2566,2758,3323,4694,3698,3812,3352,1422,1684,1542,1737,1783,1414,1609,2154,1890,1906,2335,2578,2974,2176,1858,
"Electricity consumed by (i.e., sold to) the commercial sector, Kansas (Million kilowatthours)",6806,7151,7210,7432,7928,8174,8361,8547,9000,9127,9547,9935,9746,10120,10482,10645,11388,12043,12546,12258,13171,13215,13773,13751,13831,14453,14786,15474,15496,15007,15436,15609,15456,15245,15383,15380,15887,15739,16169,15916,
"Total energy consumption per capita in the commercial sector, Kansas (Million Btu)",60.1,57.6,59.2,60.2,63.6,63.7,62.3,62.9,66.3,67.1,71.5,74.7,70.3,72.4,71.6,72.5,78.2,74.7,74.8,72.5,77,75.2,77.3,76.9,77,75.7,75.4,76.6,77.9,74.8,75.6,75.4,72.1,72.6,74,75.2,74.6,73.3,76.1,75.1,
