Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,KS,23483.424,34.12307692307692,6519,3641.0,948.0,581.0,1748.0,3255.0,2424.0,2258.0,2811.0,3099.0,2506.0,206.0
Statewide Total,,Cooperative,KS,3081.99,42.0,1797,6.0,0.0,293.0,166.0,982.0,410.0,247.0,306.0,347.0,312.0,8.0
Statewide Total,,Privately Owned,KS,121.085,5.0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0,19.0
Statewide Total,,Investor Owned,KS,19152.489999999998,17.5,4448,3520.0,942.0,285.0,1490.0,2105.0,1880.0,1855.0,2286.0,2559.0,2057.0,167.0
Statewide Total,,Municipal Owned,KS,1127.8590000000004,38.60377358490566,274,101.0,6.0,2.0,91.0,167.0,132.0,155.0,217.0,192.0,48.0,12.0
CITY OF CONCORDIA,39044,Municipal Owned,KS,3.43,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0
MID-CONTINENT MARKET CENTER,32363,Investor Owned,KS,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TEXAS KANSAS OKLAHOMA GAS, LLC",31981,Privately Owned,KS,119.25,5.0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.25,19.0
"AMERICAN ENERGIES GAS SERVICE,  LLC",31911,Privately Owned,KS,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,Privately Owned,KS,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HANSON ENGINEERING, L.C.",31539,Investor Owned,KS,492.6,15.0,6,0.0,0.0,0.0,0.0,0.0,43.0,0.0,140.0,43.0,253.8,12.8
CMF OF KANSAS LLC,31263,Privately Owned,KS,1.835,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.57,0.265,0.0
"KANSAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC.",31159,Investor Owned,KS,11559.59,41.0,3544,0.0,920.77,279.93,1269.75,1494.74,1464.91,1578.7,1732.49,1785.09,961.51,71.7
DCP MIDSTREAM,31130,Privately Owned,KS,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ONEOK FIELD SERVICES COMPANY, L.L.C.",30629,Investor Owned,KS,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAVENSVILLE GAS,30557,Municipal Owned,KS,4.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
MORLAND CITY OF,30556,Municipal Owned,KS,19.45,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.45,0.0,0.0,0.0
"BELLEVILLE, CITY OF, MUNICIPAL GAS DEPT",30058,Municipal Owned,KS,29.27,19.0,0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.82,0.69,0.32
WINONA GAS,30007,Municipal Owned,KS,22.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
"WINFIELD GAS DEPT, CITY OF",22725,Municipal Owned,KS,93.575,25.0,1,0.0,0.0,0.0,0.0,0.0,8.0,16.0,34.0,33.0,2.5,0.0
"WETMORE GAS DEPT, CITY OF",22532,Municipal Owned,KS,5.0,56.0,5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
"WALTON, CITY OF",22120,Municipal Owned,KS,11.0,52.0,9,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0
"UNIONTOWN GAS DEPT, CITY OF",20180,Municipal Owned,KS,12.0,48.0,9,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0
"SYLVIA MUNICIPAL GAS DEPT, CITY OF",18800,Municipal Owned,KS,11.0,43.0,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"SPEARVILLE GAS SYSTEM, CITY OF",18572,Municipal Owned,KS,13.5,50.0,11,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.4
"SHARON GAS DEPT, CITY OF",18228,Municipal Owned,KS,5.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"SAWYER GAS DEPT, CITY OF",18132,Municipal Owned,KS,3.057,55.0,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.057,0.0
"ROZEL MUNICIPAL GAS SYSTEM, CITY OF",17730,Municipal Owned,KS,16.0,56.0,16,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
"READING, CITY OF",17110,Municipal Owned,KS,4.0,56.0,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
BLACK HILLS ENERGY,15359,Investor Owned,KS,2980.0,34.0,876,276.0,17.0,5.0,217.0,598.0,344.0,222.0,331.0,499.0,421.0,50.0
PARTRIDGE GAS DISTRIBUTION SYSTEM,15147,Municipal Owned,KS,6.0,51.0,5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
"PALMER MUNICIPAL SYSTEM, CITY OF",15070,Municipal Owned,KS,9.25,55.0,9,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.3,0.0,0.0
OSAGE CITY MUNICIPAL GAS SYSTEM,14370,Municipal Owned,KS,35.0,42.0,11,0.0,0.0,0.0,10.0,1.0,1.0,15.0,6.0,2.0,0.0,0.0
"NEODESHA GAS DEPT, CITY OF",13210,Municipal Owned,KS,25.75,27.0,2,0.0,1.0,0.0,2.0,0.0,1.0,4.0,8.0,5.0,0.25,4.5
"MULBERRY, CITY OF",12897,Municipal Owned,KS,17.075,45.0,2,0.0,0.0,0.0,0.0,0.0,16.984,0.0,0.0,0.008,0.083,0.0
"MOUNDRIDGE GAS DEPT, CITY OF",12846,Municipal Owned,KS,18.562,31.0,2,0.0,0.0,0.0,0.0,2.166,3.026,2.642,7.617,1.626,1.485,0.0
MIDWEST ENERGY INC,12479,Cooperative,KS,3081.99,42.0,1797,6.81,0.0,293.54,166.24,982.37,410.95,247.98,306.31,347.68,312.58,8.04
"MC LOUTH MUNICIPAL SYSTEM, CITY OF",12306,Municipal Owned,KS,8.37,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,5.0,1.45,1.47,0.0
MCFARLAND MUNICIPAL SYSTEMS INC,12276,Municipal Owned,KS,8.2,54.0,5,0.0,0.0,0.0,5.99,0.0,0.0,0.0,2.0,0.2,0.01,0.0
"LYONS GAS DEPT, CITY OF",11944,Municipal Owned,KS,34.069,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.744,0.325,0.0
"LOUISBURG NATURAL GAS UTILITIES, CITY OF",11784,Municipal Owned,KS,42.36,25.0,1,0.0,0.0,0.0,0.0,0.0,9.77,2.0,11.3,16.37,2.67,0.27
"LITTLE RIVER MUNICIPAL SYSTEM, CITY OF",11560,Municipal Owned,KS,4.86,44.0,2,0.04,0.0,0.0,0.0,2.5,1.5,0.0,0.0,0.07,0.75,0.0
