,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,KY,Adair,All Sectors,Ammonia,CAP,433.83581209121724,TON
1,KY,Adair,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
2,KY,Adair,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
3,KY,Adair,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
4,KY,Adair,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
5,KY,Adair,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
6,KY,Adair,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
7,KY,Adair,All Sectors,Carbon Dioxide,GHG,3757235.755342263,TON
8,KY,Adair,All Sectors,Methane,GHG,11626.786326122101,TON
9,KY,Adair,All Sectors,Nitrous Oxide,GHG,23.17861074168,TON
10,KY,Allen,All Sectors,Ammonia,CAP,433.83581209121724,TON
11,KY,Allen,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
12,KY,Allen,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
13,KY,Allen,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
14,KY,Allen,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
15,KY,Allen,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
16,KY,Allen,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
17,KY,Allen,All Sectors,Carbon Dioxide,GHG,3757235.755342263,TON
18,KY,Allen,All Sectors,Methane,GHG,11626.786326122101,TON
19,KY,Allen,All Sectors,Nitrous Oxide,GHG,23.17861074168,TON
20,KY,Anderson,All Sectors,Ammonia,CAP,433.83581209121724,TON
21,KY,Anderson,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
22,KY,Anderson,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
23,KY,Anderson,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
24,KY,Anderson,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
25,KY,Anderson,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
26,KY,Anderson,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
27,KY,Ballard,All Sectors,Ammonia,CAP,433.83581209121724,TON
28,KY,Ballard,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
29,KY,Ballard,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
30,KY,Ballard,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
31,KY,Ballard,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
32,KY,Ballard,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
33,KY,Ballard,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
34,KY,Barren,All Sectors,Ammonia,CAP,433.83581209121724,TON
35,KY,Barren,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
36,KY,Barren,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
37,KY,Barren,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
38,KY,Barren,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
39,KY,Barren,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
40,KY,Barren,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
41,KY,Bath,All Sectors,Ammonia,CAP,433.83581209121724,TON
42,KY,Bath,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
43,KY,Bath,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
44,KY,Bath,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
45,KY,Bath,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
46,KY,Bath,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
47,KY,Bath,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
48,KY,Bath,All Sectors,Carbon Dioxide,GHG,3757235.755342263,TON
49,KY,Bath,All Sectors,Methane,GHG,11626.786326122101,TON
50,KY,Bath,All Sectors,Nitrous Oxide,GHG,23.17861074168,TON
51,KY,Bell,All Sectors,Ammonia,CAP,433.83581209121724,TON
52,KY,Bell,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
53,KY,Bell,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
54,KY,Bell,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
55,KY,Bell,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
56,KY,Bell,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
57,KY,Bell,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
58,KY,Boone,All Sectors,Ammonia,CAP,433.83581209121724,TON
59,KY,Boone,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
60,KY,Boone,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
61,KY,Boone,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
62,KY,Boone,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
63,KY,Boone,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
64,KY,Boone,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
65,KY,Boone,All Sectors,Carbon Dioxide,GHG,3757235.755342263,TON
66,KY,Boone,All Sectors,Methane,GHG,11626.786326122101,TON
67,KY,Boone,All Sectors,Nitrous Oxide,GHG,23.17861074168,TON
68,KY,Bourbon,All Sectors,Ammonia,CAP,433.83581209121724,TON
69,KY,Bourbon,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
70,KY,Bourbon,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
71,KY,Bourbon,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
72,KY,Bourbon,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
73,KY,Bourbon,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
74,KY,Bourbon,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
75,KY,Bourbon,All Sectors,Carbon Dioxide,GHG,3757235.755342263,TON
76,KY,Bourbon,All Sectors,Methane,GHG,11626.786326122101,TON
77,KY,Bourbon,All Sectors,Nitrous Oxide,GHG,23.17861074168,TON
78,KY,Boyd,All Sectors,Ammonia,CAP,433.83581209121724,TON
79,KY,Boyd,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
80,KY,Boyd,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
81,KY,Boyd,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
82,KY,Boyd,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
83,KY,Boyd,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
84,KY,Boyd,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
85,KY,Boyd,All Sectors,Carbon Dioxide,GHG,3757235.755342263,TON
86,KY,Boyd,All Sectors,Methane,GHG,11626.786326122101,TON
87,KY,Boyd,All Sectors,Nitrous Oxide,GHG,23.17861074168,TON
88,KY,Boyle,All Sectors,Ammonia,CAP,433.83581209121724,TON
89,KY,Boyle,All Sectors,Carbon Monoxide,CAP,15636.985592543788,TON
90,KY,Boyle,All Sectors,Nitrogen Oxides,CAP,4302.868315436729,TON
91,KY,Boyle,All Sectors,PM10 Primary (Filt + Cond),CAP,4906.72986279124,TON
92,KY,Boyle,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1880.3944438636806,TON
93,KY,Boyle,All Sectors,Sulfur Dioxide,CAP,431.43859973668026,TON
94,KY,Boyle,All Sectors,Volatile Organic Compounds,CAP,24877.843856531177,TON
95,KY,Boyle,All Sectors,Carbon Dioxide,GHG,3757235.755342263,TON
96,KY,Boyle,All Sectors,Methane,GHG,11626.786326122101,TON
