,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,KY,Adair,2.45,2.57,2.55,2.52,2.58,2.61,2.57,2.6,2.61,2.63
1,Avg household size of renter-occupied unit,KY,Adair,2.3,2.17,2.13,2.19,2.3,2.2,2.32,2.32,2.37,2.33
2,FIPS Code,KY,Adair,21001,21001,21001,21001,21001,21001,21001,21001,21001,21001
3,House Heating Fuel: Electric,KY,Adair,4747,4985,5085,5154,5168,5368,5215,5189,5025,4932
4,House Heating Fuel: Fuel Oil,KY,Adair,270,184,162,167,109,113,108,69,72,78
5,House Heating Fuel: Gas,KY,Adair,977,957,1036,950,904,644,644,666,764,791
6,House Heating Fuel: Propane,KY,Adair,648,528,504,468,425,405,491,410,467,458
7,House Heating Fuel: Wood,KY,Adair,614,539,449,502,518,518,668,760,686,687
26,Median Number of Rooms,KY,Adair,5.3,5.3,5.4,5.4,5.4,5.4,5.5,5.4,5.4,5.4
27,Number of Rooms: 1,KY,Adair,78,181,200,204,247,278,205,180,237,257
28,Number of Rooms: 2,KY,Adair,45,76,80,65,36,71,66,103,139,142
29,Number of Rooms: 3,KY,Adair,428,415,419,345,327,413,445,558,709,705
30,Number of Rooms: 4,KY,Adair,1637,1489,1503,1436,1461,1508,1512,1534,1435,1404
31,Number of Rooms: 5,KY,Adair,2477,2495,2323,2389,2368,2295,2096,2148,2068,2047
32,Number of Rooms: 6,KY,Adair,1516,1619,1721,1640,1626,1591,1713,1646,1607,1504
33,Number of Rooms: 7,KY,Adair,878,798,830,986,1034,1016,998,1004,933,1130
34,Number of Rooms: 8,KY,Adair,771,691,640,694,709,598,624,604,589,611
35,Number of Rooms: 9+,KY,Adair,622,751,809,759,721,756,846,800,874,809
36,Owner-Occupied,KY,Adair,13329,13596,13593,13644,13632,13524,13840,14052,13959,13955
37,Renter-Occupied,KY,Adair,4221,4124,4075,4005,4214,4085,4047,3953,3959,3876
38,Total Housing Units,KY,Adair,8452,8515,8525,8518,8529,8526,8505,8577,8591,8609
39,Total Population,KY,Adair,18542,18613,18651,18696,19032,18852,19156,19304,19241,19222
40,Units in Structure: 1 ATTACHED,KY,Adair,126,146,94,38,21,29,40,28,17,30
41,Units in Structure: 1 DETACHED,KY,Adair,6122,5962,5906,6125,6158,5899,6019,6065,5983,5995
42,Units in Structure: 10-19,KY,Adair,109,186,186,141,131,177,75,60,76,60
43,Units in Structure: 2,KY,Adair,166,55,116,93,137,131,128,94,147,101
44,Units in Structure: 20-49,KY,Adair,15,14,13,28,37,44,64,81,71,65
45,Units in Structure: 3-4,KY,Adair,57,71,23,34,75,140,185,266,285,339
46,Units in Structure: 5-9,KY,Adair,161,237,274,246,243,169,170,154,123,97
47,Units in Structure: 50+,KY,Adair,0,33,64,40,67,71,55,37,34,11
48,"Units in Structure: Boat,RV,Van,Etc.",KY,Adair,24,30,36,0,0,0,5,4,8,21
49,Units in Structure: Mobile Home,KY,Adair,1672,1781,1813,1773,1660,1866,1764,1788,1847,1890
50,Year Built: 1940-1949,KY,Adair,650,606,587,521,489,796,765,678,475,559
51,Year Built: 1950-1959,KY,Adair,947,944,961,959,780,974,945,860,915,808
52,Year Built: 1960-1969,KY,Adair,891,964,992,814,811,1407,1417,1542,1664,1651
53,Year Built: 1970-1979,KY,Adair,1276,1341,1369,1317,1350,1236,1199,1255,1161,1203
54,Year Built: 1980-1989,KY,Adair,1401,1378,1246,1250,1228,1607,1547,1554,1374,1435
55,Year Built: 1990-1999,KY,Adair,1702,1566,1538,1705,1689,1459,1475,1419,1587,1452
56,Year Built: 2000-2009,KY,Adair,711,743,1196,1315,1454,97,135,164,213,233
57,Year Built: 2010-2013,KY,Adair,195,317,47,32,67,14,39,73,150,306
58,Year Built: before 1940,KY,Adair,679,656,589,605,661,326,364,405,407,327
0,Avg household size of owner-occupied unit,KY,Allen,2.52,2.53,2.51,2.49,2.49,2.56,2.58,2.57,2.59,2.71
1,Avg household size of renter-occupied unit,KY,Allen,2.31,2.4,2.37,2.38,2.45,2.67,2.73,2.84,2.89,2.76
2,FIPS Code,KY,Allen,21003,21003,21003,21003,21003,21003,21003,21003,21003,21003
3,House Heating Fuel: Electric,KY,Allen,4767,4969,5175,5196,5290,5154,5270,5458,5502,5662
4,House Heating Fuel: Fuel Oil,KY,Allen,96,99,96,88,38,13,0,23,22,36
5,House Heating Fuel: Gas,KY,Allen,1173,1069,980,973,977,900,861,850,899,816
6,House Heating Fuel: Propane,KY,Allen,1373,1304,1168,1220,1180,1143,1028,972,958,817
7,House Heating Fuel: Wood,KY,Allen,395,390,522,542,530,542,514,385,303,249
26,Median Number of Rooms,KY,Allen,5.5,5.5,5.6,5.7,5.6,5.5,5.5,5.6,5.6,5.6
27,Number of Rooms: 1,KY,Allen,12,33,39,62,93,97,88,100,62,43
28,Number of Rooms: 2,KY,Allen,42,70,51,69,114,86,88,129,114,71
29,Number of Rooms: 3,KY,Allen,425,454,550,576,612,617,688,718,585,703
30,Number of Rooms: 4,KY,Allen,1854,1489,1304,1231,1305,1360,1573,1423,1499,1265
31,Number of Rooms: 5,KY,Allen,2289,2517,2499,2378,2358,2431,2217,2180,2357,2358
32,Number of Rooms: 6,KY,Allen,1975,1902,1977,1825,1939,1767,1765,1933,2015,2100
33,Number of Rooms: 7,KY,Allen,1226,1337,1361,1413,1310,1195,1237,1250,1141,1171
34,Number of Rooms: 8,KY,Allen,646,778,781,849,796,915,847,804,872,945
35,Number of Rooms: 9+,KY,Allen,667,654,701,860,776,855,823,885,805,826
36,Owner-Occupied,KY,Allen,14719,15011,14792,14823,14338,14504,13929,14262,14383,15464
37,Renter-Occupied,KY,Allen,4555,4569,4934,5040,5643,5636,6279,6150,6191,5258
38,Total Housing Units,KY,Allen,9136,9234,9263,9263,9303,9323,9326,9422,9450,9482
39,Total Population,KY,Allen,19688,19866,20007,20123,20219,20355,20421,20628,20794,20944
40,Units in Structure: 1 ATTACHED,KY,Allen,103,87,60,34,46,46,42,43,28,37
41,Units in Structure: 1 DETACHED,KY,Allen,6396,6608,6661,6787,6854,6924,6637,6609,6725,6906
42,Units in Structure: 10-19,KY,Allen,6,0,0,23,29,36,66,78,38,40
43,Units in Structure: 2,KY,Allen,207,199,177,137,151,142,143,164,211,119
44,Units in Structure: 20-49,KY,Allen,0,47,45,53,63,79,58,69,34,29
45,Units in Structure: 3-4,KY,Allen,135,150,124,142,104,82,170,169,218,207
46,Units in Structure: 5-9,KY,Allen,229,231,255,189,212,129,130,82,134,116
47,Units in Structure: 50+,KY,Allen,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",KY,Allen,13,11,7,5,0,4,5,10,12,14
49,Units in Structure: Mobile Home,KY,Allen,2047,1901,1934,1893,1844,1881,2075,2198,2050,2014
50,Year Built: 1940-1949,KY,Allen,561,413,396,366,337,454,538,535,568,492
51,Year Built: 1950-1959,KY,Allen,600,528,533,506,406,966,887,975,897,987
52,Year Built: 1960-1969,KY,Allen,855,952,927,778,926,1575,1404,1361,1348,1305
53,Year Built: 1970-1979,KY,Allen,1244,1466,1722,1713,1702,1303,1263,1319,1442,1256
54,Year Built: 1980-1989,KY,Allen,1382,1355,1212,1230,1152,1998,2237,2200,2169,2103
55,Year Built: 1990-1999,KY,Allen,2189,2036,1966,1860,2020,1739,1682,1665,1534,1617
56,Year Built: 2000-2009,KY,Allen,803,722,1538,1869,1927,147,155,275,315,355
57,Year Built: 2010-2013,KY,Allen,484,726,10,36,59,0,24,48,94,172
58,Year Built: before 1940,KY,Allen,1018,1036,959,905,774,373,421,355,344,297
0,Avg household size of owner-occupied unit,KY,Anderson,2.51,2.53,2.57,2.57,2.62,2.64,2.61,2.62,2.63,2.61
1,Avg household size of renter-occupied unit,KY,Anderson,2.51,2.51,2.46,2.6,2.47,2.3,2.36,2.3,2.34,2.41
2,FIPS Code,KY,Anderson,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005
3,House Heating Fuel: Electric,KY,Anderson,5505,5499,5725,5652,5824,5861,5937,5998,5974,5802
4,House Heating Fuel: Fuel Oil,KY,Anderson,48,40,42,19,18,21,17,36,45,38
5,House Heating Fuel: Gas,KY,Anderson,2000,2099,1940,1999,1819,1927,1869,1812,1801,1989
6,House Heating Fuel: Propane,KY,Anderson,499,451,388,389,418,382,470,463,477,491
7,House Heating Fuel: Wood,KY,Anderson,256,274,268,260,261,237,249,281,302,331
26,Median Number of Rooms,KY,Anderson,5.8,5.8,5.9,6.0,5.9,5.8,5.8,5.7,5.7,5.6
