,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,KY,Adair,126,146,94,38,21,29,40,28,17,30
41,Units in Structure: 1 DETACHED,KY,Adair,6122,5962,5906,6125,6158,5899,6019,6065,5983,5995
42,Units in Structure: 10-19,KY,Adair,109,186,186,141,131,177,75,60,76,60
43,Units in Structure: 2,KY,Adair,166,55,116,93,137,131,128,94,147,101
44,Units in Structure: 20-49,KY,Adair,15,14,13,28,37,44,64,81,71,65
45,Units in Structure: 3-4,KY,Adair,57,71,23,34,75,140,185,266,285,339
46,Units in Structure: 5-9,KY,Adair,161,237,274,246,243,169,170,154,123,97
47,Units in Structure: 50+,KY,Adair,0,33,64,40,67,71,55,37,34,11
48,"Units in Structure: Boat,RV,Van,Etc.",KY,Adair,24,30,36,0,0,0,5,4,8,21
49,Units in Structure: Mobile Home,KY,Adair,1672,1781,1813,1773,1660,1866,1764,1788,1847,1890
40,Units in Structure: 1 ATTACHED,KY,Allen,103,87,60,34,46,46,42,43,28,37
41,Units in Structure: 1 DETACHED,KY,Allen,6396,6608,6661,6787,6854,6924,6637,6609,6725,6906
42,Units in Structure: 10-19,KY,Allen,6,0,0,23,29,36,66,78,38,40
43,Units in Structure: 2,KY,Allen,207,199,177,137,151,142,143,164,211,119
44,Units in Structure: 20-49,KY,Allen,0,47,45,53,63,79,58,69,34,29
45,Units in Structure: 3-4,KY,Allen,135,150,124,142,104,82,170,169,218,207
46,Units in Structure: 5-9,KY,Allen,229,231,255,189,212,129,130,82,134,116
47,Units in Structure: 50+,KY,Allen,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",KY,Allen,13,11,7,5,0,4,5,10,12,14
49,Units in Structure: Mobile Home,KY,Allen,2047,1901,1934,1893,1844,1881,2075,2198,2050,2014
40,Units in Structure: 1 ATTACHED,KY,Anderson,111,131,135,132,127,127,121,135,116,83
41,Units in Structure: 1 DETACHED,KY,Anderson,7291,7202,7184,7376,7377,7429,7541,7631,7586,7462
42,Units in Structure: 10-19,KY,Anderson,0,0,18,18,19,35,49,112,134,157
43,Units in Structure: 2,KY,Anderson,549,611,718,695,733,746,680,548,544,604
44,Units in Structure: 20-49,KY,Anderson,32,42,46,25,32,41,16,16,17,30
45,Units in Structure: 3-4,KY,Anderson,213,253,246,202,172,112,93,94,192,330
46,Units in Structure: 5-9,KY,Anderson,164,161,91,96,110,93,89,105,103,87
47,Units in Structure: 50+,KY,Anderson,0,0,0,0,0,0,0,0,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",KY,Anderson,7,8,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,KY,Anderson,657,676,700,611,616,639,665,676,676,657
40,Units in Structure: 1 ATTACHED,KY,Ballard,14,21,48,34,53,58,69,51,57,27
41,Units in Structure: 1 DETACHED,KY,Ballard,3014,2954,2995,3013,2981,2963,2979,2896,2874,2907
42,Units in Structure: 10-19,KY,Ballard,88,88,56,70,52,26,26,30,18,25
43,Units in Structure: 2,KY,Ballard,25,37,48,46,23,30,31,55,63,67
44,Units in Structure: 20-49,KY,Ballard,5,8,10,11,12,5,9,18,18,15
45,Units in Structure: 3-4,KY,Ballard,56,50,60,68,69,71,62,88,77,50
46,Units in Structure: 5-9,KY,Ballard,59,64,80,55,70,75,65,100,126,154
47,Units in Structure: 50+,KY,Ballard,0,0,2,2,2,4,5,6,7,6
48,"Units in Structure: Boat,RV,Van,Etc.",KY,Ballard,20,22,18,9,8,0,0,0,0,0
49,Units in Structure: Mobile Home,KY,Ballard,627,649,579,576,618,657,636,663,673,666
40,Units in Structure: 1 ATTACHED,KY,Barren,133,164,193,251,297,283,251,173,177,205
41,Units in Structure: 1 DETACHED,KY,Barren,13473,13413,13374,13634,13986,13867,14060,14171,14108,14117
42,Units in Structure: 10-19,KY,Barren,51,62,50,91,105,117,158,159,128,160
43,Units in Structure: 2,KY,Barren,937,991,917,935,935,966,927,1072,1136,982
44,Units in Structure: 20-49,KY,Barren,18,38,52,74,95,92,134,124,190,173
45,Units in Structure: 3-4,KY,Barren,898,1055,1185,1039,924,1090,949,946,1032,986
46,Units in Structure: 5-9,KY,Barren,407,382,471,478,401,512,501,421,403,371
47,Units in Structure: 50+,KY,Barren,123,111,98,98,114,71,126,120,129,140
