Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,KY,862668,27768,4268,8114,54817,96504,85324,84229,185805,178880,121073,15886
Statewide Total,,Cooperative,KY,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,KY,51527,8323,0,0,4,1220,1291,6835,14925,8677,8744,1508
Statewide Total,,Investor Owned,KY,723177,3685,153,7612,47852,81797,72731,68146,157945,163837,105827,13592
Statewide Total,,Municipal Owned,KY,87964,15760,4115,502,6961,13487,11302,9248,12935,6366,6502,786
"CITIPOWER, LLC",40137,Privately Owned,KY,492,0,0,0,0,0,0,0,430,0,38,24
HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,39995,Municipal Owned,KY,11,0,0,0,0,0,0,0,0,0,1,10
LAKE CUMBERLAND NATURAL GAS AUTHORITY,39783,Municipal Owned,KY,445,0,0,0,0,0,0,0,0,293,141,11
"VALLEY GAS, INC.",39515,Privately Owned,KY,492,0,0,0,0,380,0,0,0,80,32,0
IRVINGTON GAS,38939,Privately Owned,KY,477,0,0,0,0,0,0,0,0,0,431,46
NAVITAS UTILITY COPORATION,32647,Privately Owned,KY,158,0,0,0,0,0,0,71,50,0,37,0
NATURAL ENERGY UTILITY CORPORATION,32622,Investor Owned,KY,1212,0,0,0,0,0,0,325,456,178,242,11
"KENTUCKY FRONTIER GAS,LLC",32601,Privately Owned,KY,6290,0,0,0,0,509,8,3520,1183,452,552,66
WEST LIBERTY GAS SERVICE,32519,Municipal Owned,KY,352,0,0,0,0,0,9,205,50,15,71,2
SENTRA CORPORATION,31831,Privately Owned,KY,214,0,0,0,0,0,0,0,50,142,17,5
CITY OF WHITE PLAINS,31653,Municipal Owned,KY,132,0,0,0,0,0,0,0,0,0,0,132
GUTHRIE NATURAL GAS,31412,Municipal Owned,KY,214,0,0,0,0,0,0,0,148,44,22,0
MILLENNIUM ENERGY INC,31360,Privately Owned,KY,75,0,0,0,0,0,0,0,19,37,17,2
"BLUEGRASS GAS SALES, INC.",30894,Privately Owned,KY,858,0,0,0,0,0,0,0,471,274,102,11
CITY OF PIKEVILLE,30568,Municipal Owned,KY,1605,0,1538,0,0,0,0,0,10,27,30,0
WHEELWRIGHT UTILITY COMMISSION,30524,Municipal Owned,KY,251,0,0,0,0,0,0,0,0,0,251,0
WICKLIFFE NATURAL GAS SYSTEM,22602,Municipal Owned,KY,629,0,0,0,0,611,2,1,5,8,0,2
ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),22476,Investor Owned,KY,183532,0,0,7489,21366,29622,36310,21110,22289,12099,27689,5558
WESTERN LEWIS RECTORVILLE GAS & WATER DISTRICT,22468,Municipal Owned,KY,553,553,0,0,0,0,0,0,0,0,0,0
VANCEBURG UTILITIES GAS DEPT,21120,Municipal Owned,KY,578,0,0,0,277,100,99,73,0,0,29,0
DUKE ENERGY KENTUCKY,20110,Investor Owned,KY,100445,589,47,64,392,2344,4003,7462,26040,43804,14780,920
"TOMPKINSVILLE, CITY OF",19530,Municipal Owned,KY,1255,901,0,0,0,0,0,0,0,0,351,3
STURGIS NATURAL GAS SYSTEM,18676,Municipal Owned,KY,1137,1012,0,0,0,0,20,10,38,39,18,0
SOMERSET GAS SERVICE,18388,Municipal Owned,KY,4856,4687,0,0,0,0,0,0,0,0,144,25
SCOTTSVILLE GAS CO,18144,Municipal Owned,KY,1510,1497,0,0,0,0,0,0,0,3,5,5
RICHMOND NATURAL GAS & SEWAGE WKS,17390,Municipal Owned,KY,3900,0,0,0,345,770,846,438,721,551,214,15
"PROVIDENCE, CITY OF",15903,Municipal Owned,KY,1695,1661,0,0,0,0,0,0,0,0,34,0
PRESTONSBURG CITY UTILITIES,15854,Municipal Owned,KY,1068,0,0,0,0,0,0,840,53,116,50,9
PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,KY,3104,2942,0,0,0,0,0,0,0,0,141,21
PARIS - HENRY COUNTY PUBLIC UTIL DIST,15126,Municipal Owned,KY,176,0,0,0,0,0,0,150,10,6,10,0
PAINTSVILLE CITY GAS SYSTEM,15035,Municipal Owned,KY,2471,0,0,0,0,0,2295,41,0,58,71,6
OLIVE HILL NATURAL GAS SYSTEM,14280,Municipal Owned,KY,645,645,0,0,0,0,0,0,0,0,0,0
MURRAY NATURAL GAS SYSTEM,12918,Municipal Owned,KY,8760,0,0,0,920,1345,783,1301,2361,962,1039,49
MORGANTOWN NATURAL GAS SYSTEM,12780,Municipal Owned,KY,1496,0,0,0,0,412,216,388,209,133,105,33
"MORGANFIELD GAS SYSTEM, CITY OF",12778,Municipal Owned,KY,2329,0,0,0,1263,270,133,352,187,25,99,0
MOREHEAD MUNICIPAL UTILITIES PLANT BOARD,12774,Municipal Owned,KY,1712,0,0,0,0,15,13,1557,12,16,81,18
MARTIN GAS INC,12208,Privately Owned,KY,572,0,0,0,0,0,0,421,76,27,0,48
LOUISVILLE GAS & ELECTRIC CO,11824,Investor Owned,KY,299575,154,105,56,18799,35941,22683,21243,73090,84272,39898,3334
"LIBERTY GAS SYSTEM, CITY OF",11472,Municipal Owned,KY,650,0,0,0,550,98,0,0,0,2,0,0
LEWISPORT NATURAL GAS SYSTEM,11410,Municipal Owned,KY,1275,0,0,0,0,500,112,250,200,110,83,20
LEITCHFIELD GAS SYSTEM UTILITIES,11368,Municipal Owned,KY,2852,1419,0,0,0,0,0,196,673,133,360,71
LA CENTER NATURAL GAS SYSTEM,11016,Municipal Owned,KY,549,0,0,0,0,500,13,13,6,9,4,4
"KUTTAWA NATURAL GAS, CITY OF",10350,Municipal Owned,KY,836,0,0,0,0,574,36,26,62,76,62,0
KEVIL NATURAL GAS SYSTEM,10210,Municipal Owned,KY,474,0,0,0,0,350,43,18,25,27,6,5
JOHNSON COUNTY GAS CO INC,9260,Privately Owned,KY,278,0,0,0,0,0,0,0,0,0,0,278
"HICKMAN GAS DEPT, CITY OF",7255,Municipal Owned,KY,925,0,0,0,840,50,14,10,10,0,1,0
HENDERSON MUNICIPAL GAS,7220,Municipal Owned,KY,9213,534,2577,0,799,703,1117,474,728,985,1145,151
"HAZARD GAS CO, CITY OF",7185,Municipal Owned,KY,1578,0,0,0,0,0,1550,0,0,0,20,8
HARDIN NATURAL GAS SYSTEM,7075,Municipal Owned,KY,707,0,0,0,0,326,0,0,324,0,46,11
"GRAYSON UTILITIES COMMISSION, CITY OF",6620,Municipal Owned,KY,1248,0,0,0,150,25,20,12,941,21,79,0
FULTON GAS SYSTEM,5680,Municipal Owned,KY,1136,1110,0,0,0,0,0,20,6,0,0,0
FLEMINGSBURG UTILITIES SYSTEM,5230,Municipal Owned,KY,1012,0,0,0,0,0,678,200,55,14,63,2
ELIZABETHTOWN NATURAL GAS,4360,Municipal Owned,KY,8883,0,0,0,1352,2516,1277,960,1552,897,309,20
EDMONTON GAS CO,4260,Municipal Owned,KY,1197,104,0,0,165,8,40,27,740,18,79,16
DRAKESBORO NATURAL GAS CO,3538,Municipal Owned,KY,769,0,0,0,0,575,0,0,0,194,0,0
DELTA NATURAL GAS CO INC,3260,Privately Owned,KY,40836,8323,0,0,4,331,1283,2774,12309,7554,7232,1026
COLUMBIA UTILITIES COMMISSION,2624,Municipal Owned,KY,1215,1192,0,0,0,0,0,0,0,0,12,11
COLUMBIA GAS OF KENTUCKY INC,2585,Investor Owned,KY,135309,0,1,3,7295,13890,9735,18006,36070,23484,23077,3748
"CLINTON GAS SYSTEM, CITY OF",2508,Municipal Owned,KY,876,0,0,0,0,800,20,21,17,15,0,3
"CLAY NATURAL GAS SYSTEM, CITY OF",2472,Municipal Owned,KY,684,7,0,502,0,0,53,0,63,22,37,0
"CARROLLTON GAS DISTRICT SYSTEM, CITY OF",2116,Municipal Owned,KY,3213,0,0,0,0,485,1223,189,513,454,318,31
"CARLISLE GAS SYSTEM, CITY OF",2096,Municipal Owned,KY,709,0,0,0,0,1,0,693,0,10,5,0
B & H GAS CO,1985,Privately Owned,KY,255,0,0,0,0,0,0,0,0,0,255,0
"BROOKSVILLE UTILITIES, TOWN OF",1816,Municipal Owned,KY,743,0,0,0,0,163,123,30,211,125,83,8
"BENTON GAS SYSTEM, CITY OF",1328,Municipal Owned,KY,7238,0,0,0,300,700,538,739,2957,894,1009,101
BARLOW NATURAL GAS SYSTEM,1128,Municipal Owned,KY,392,0,0,0,0,350,9,10,10,10,0,3
"BARDWELL GAS SYSTEM, CITY OF",1120,Municipal Owned,KY,888,0,0,0,0,830,0,0,8,36,13,1
"BURKESVILLE GAS CO, INC.",976,Privately Owned,KY,530,0,0,0,0,0,0,49,337,111,31,2
"AUGUSTA, CITY OF",864,Municipal Owned,KY,440,438,0,0,0,0,0,0,0,0,2,0
"ARLINGTON GAS SYSTEM, CITY OF",648,Municipal Owned,KY,482,0,0,0,0,410,20,4,30,18,0,0
