Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,KY,3034,3553,3079,3265,3811,2893,2908,3433,3491,3125,2215
,Statewide Total,Cooperative,KY,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,KY,258,230,214,191,218,241,280,269,237,184,154
,Statewide Total,Investor Owned,KY,2637,3240,2725,2941,3465,2560,2482,3031,3136,2867,1986
,Statewide Total,Municipal Owned,KY,139,83,140,133,128,92,146,133,118,74,75
40137,"CITIPOWER, LLC",Privately Owned,KY,0,0,0,0,0,0,0,0,0,0,0
39995,HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,Municipal Owned,KY,0,0,0,0,0,0,0,0,0,0,0
39783,LAKE CUMBERLAND NATURAL GAS AUTHORITY,Municipal Owned,KY,0,0,0,0,0,0,0,0,0,0,0
39515,"VALLEY GAS, INC.",Privately Owned,KY,0,0,0,0,0,0,0,0,0,0,0
38939,IRVINGTON GAS,Privately Owned,KY,0,0,0,0,0,1,0,0,0,0,0
32622,NATURAL ENERGY UTILITY CORPORATION,Investor Owned,KY,0,0,0,0,0,0,0,0,0,0,0
32601,"KENTUCKY FRONTIER GAS,LLC",Privately Owned,KY,0,0,0,0,0,0,45,52,54,60,21
32519,WEST LIBERTY GAS SERVICE,Municipal Owned,KY,7,2,12,0,0,0,0,0,10,0,0
31831,SENTRA CORPORATION,Privately Owned,KY,0,0,0,0,0,0,0,0,0,0,0
31653,CITY OF WHITE PLAINS,Municipal Owned,KY,0,0,0,0,0,0,0,0,0,0,0
31412,GUTHRIE NATURAL GAS,Municipal Owned,KY,0,0,0,0,0,1,0,0,0,0,0
31360,MILLENNIUM ENERGY INC,Privately Owned,KY,0,0,0,0,0,0,0,0,0,0,0
30894,"BLUEGRASS GAS SALES, INC.",Privately Owned,KY,0,0,0,0,0,3,6,4,2,1,0
30568,CITY OF PIKEVILLE,Municipal Owned,KY,0,0,0,0,0,0,0,0,0,0,0
30524,WHEELWRIGHT UTILITY COMMISSION,Municipal Owned,KY,0,0,0,0,0,0,0,0,0,0,0
22602,WICKLIFFE NATURAL GAS SYSTEM,Municipal Owned,KY,0,0,0,0,0,0,0,0,0,0,0
