,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,KY,19258.442999999996,31.771428571428572,4859,1675.0,171.0,142.0,1458.0,2904.0,1489.0,2347.0,4044.0,2710.0,2016.0,296.0
1,Statewide Total,,Cooperative,KY,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Statewide Total,,Privately Owned,KY,2710.8149999999996,21.692307692307693,117,309.0,0.0,0.0,0.0,106.0,81.0,548.0,963.0,349.0,279.0,72.0
3,Statewide Total,,Investor Owned,KY,12867.084,26.833333333333332,3860,780.0,76.0,110.0,1169.0,2316.0,1033.0,1380.0,2468.0,1903.0,1456.0,171.0
4,Statewide Total,,Municipal Owned,KY,3680.5440000000003,34.92156862745098,882,585.0,94.0,32.0,288.0,482.0,374.0,418.0,612.0,458.0,280.0,52.0
5,"CITIPOWER, LLC",40137,Privately Owned,KY,183.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,35.0,0.0,0.0
6,HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,39995,Municipal Owned,KY,7.56,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.232,1.328
7,LAKE CUMBERLAND NATURAL GAS AUTHORITY,39783,Municipal Owned,KY,153.37,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,13.37,0.0
8,"VALLEY GAS, INC.",39515,Privately Owned,KY,12.0,43.0,9,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0
9,IRVINGTON GAS,38939,Privately Owned,KY,15.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
10,NAVITAS UTILITY COPORATION,32647,Privately Owned,KY,33.971,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.971,0.0,9.0,0.0
11,NATURAL ENERGY UTILITY CORPORATION,32622,Investor Owned,KY,185.51,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.31,41.0,18.9,38.78,2.37
12,"KENTUCKY FRONTIER GAS,LLC",32601,Privately Owned,KY,357.1,30.0,15,0.0,0.0,0.0,0.0,15.1,5.8,192.0,84.0,40.7,18.4,1.1
13,WEST LIBERTY GAS SERVICE,32519,Municipal Owned,KY,23.954,32.0,0,0.0,0.0,0.0,0.0,0.0,3.048,12.477,7.23,0.03,0.96,0.011
14,SENTRA CORPORATION,31831,Privately Owned,KY,38.5,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,18.0,0.5
15,CITY OF WHITE PLAINS,31653,Municipal Owned,KY,15.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
16,GUTHRIE NATURAL GAS,31412,Municipal Owned,KY,18.3,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.3,0.0
17,MILLENNIUM ENERGY INC,31360,Privately Owned,KY,10.87,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.52,1.35
18,"BLUEGRASS GAS SALES, INC.",30894,Privately Owned,KY,49.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,0.0,0.0
19,CITY OF PIKEVILLE,30568,Municipal Owned,KY,69.0,91.0,0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
20,WHEELWRIGHT UTILITY COMMISSION,30524,Municipal Owned,KY,7.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
21,WICKLIFFE NATURAL GAS SYSTEM,22602,Municipal Owned,KY,24.0,56.0,24,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),22476,Investor Owned,KY,4161.0,36.0,1405,503.1,3.9,69.2,387.2,817.3,414.2,434.2,582.5,284.8,570.2,94.4
23,WESTERN LEWIS RECTORVILLE GAS & WATER DISTRICT,22468,Municipal Owned,KY,28.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,VANCEBURG UTILITIES GAS DEPT,21120,Municipal Owned,KY,18.0,53.0,10,0.0,0.0,0.0,10.8,0.0,0.0,7.0,0.0,0.0,0.2,0.0
25,DUKE ENERGY KENTUCKY,20110,Investor Owned,KY,1506.834,28.0,275,0.162,0.234,0.24,25.851,235.219,95.849,157.169,357.446,486.687,126.915,21.06
26,"TOMPKINSVILLE, CITY OF",19530,Municipal Owned,KY,91.0,0.0,0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,STURGIS NATURAL GAS SYSTEM,18676,Municipal Owned,KY,45.0,62.0,41,0.0,0.0,0.0,41.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
28,SOMERSET GAS SERVICE,18388,Municipal Owned,KY,158.89,4.0,0,153.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,1.66
29,SCOTTSVILLE GAS CO,18144,Municipal Owned,KY,35.0,36.0,4,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,0.0
30,RICHMOND NATURAL GAS & SEWAGE WKS,17390,Municipal Owned,KY,94.0,37.0,29,0.0,0.0,0.0,17.0,12.0,6.0,15.0,27.0,14.0,2.0,1.0
31,"PROVIDENCE, CITY OF",15903,Municipal Owned,KY,51.0,6.0,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
32,PRESTONSBURG CITY UTILITIES,15854,Municipal Owned,KY,58.5,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,10.5,2.0,0.0
