,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,LA,Acadia,2.77,2.77,2.76,2.74,2.71,2.76,2.76,2.75,2.76,2.76
1,Avg household size of renter-occupied unit,LA,Acadia,2.69,2.67,2.68,2.6,2.6,2.56,2.58,2.62,2.65,2.75
2,FIPS Code,LA,Acadia,22001,22001,22001,22001,22001,22001,22001,22001,22001,22001
3,House Heating Fuel: Electric,LA,Acadia,12704,12885,13364,14066,14785,14900,15280,15550,15300,15431
4,House Heating Fuel: Fuel Oil,LA,Acadia,11,0,0,41,38,26,24,30,0,0
5,House Heating Fuel: Gas,LA,Acadia,8185,8166,7696,7449,7080,6772,6557,6380,6624,6131
6,House Heating Fuel: Propane,LA,Acadia,860,813,855,713,637,628,612,581,537,570
7,House Heating Fuel: Wood,LA,Acadia,127,106,115,80,63,93,78,44,52,59
26,Median Number of Rooms,LA,Acadia,5.2,5.2,5.3,5.3,5.2,5.3,5.3,5.3,5.4,5.4
27,Number of Rooms: 1,LA,Acadia,341,362,315,267,320,156,141,225,168,159
28,Number of Rooms: 2,LA,Acadia,219,227,340,515,470,401,389,342,313,365
29,Number of Rooms: 3,LA,Acadia,1619,1763,1913,1760,1945,1946,1761,1690,1712,1437
30,Number of Rooms: 4,LA,Acadia,5052,4678,4211,4342,4687,4454,4421,4621,4654,4227
31,Number of Rooms: 5,LA,Acadia,7743,7505,7413,7366,7536,7653,7910,7866,7238,7746
32,Number of Rooms: 6,LA,Acadia,5171,5400,5504,5453,5183,5533,5357,5119,5464,5719
33,Number of Rooms: 7,LA,Acadia,2568,2786,2857,2715,2624,2442,2454,2666,3000,2834
34,Number of Rooms: 8,LA,Acadia,1507,1527,1679,1876,1713,1825,2024,1909,1788,1878
35,Number of Rooms: 9+,LA,Acadia,844,1013,1137,1143,1156,1327,1410,1665,1895,2070
36,Owner-Occupied,LA,Acadia,42551,42240,42432,43438,42978,44067,44390,44539,44002,43676
37,Renter-Occupied,LA,Acadia,17894,18275,18236,17431,18043,17027,16923,16997,17496,17707
38,Total Housing Units,LA,Acadia,25064,25261,25369,25437,25634,25737,25867,26103,26232,26435
39,Total Population,LA,Acadia,61139,61430,61611,61847,62031,62163,62372,62607,62568,62457
40,Units in Structure: 1 ATTACHED,LA,Acadia,234,291,325,254,194,206,154,208,203,213
41,Units in Structure: 1 DETACHED,LA,Acadia,18415,18656,18752,18958,18857,18826,18997,18832,19107,19690
42,Units in Structure: 10-19,LA,Acadia,153,95,134,134,193,334,302,308,321,253
43,Units in Structure: 2,LA,Acadia,748,728,546,604,717,598,668,751,746,742
44,Units in Structure: 20-49,LA,Acadia,81,146,135,162,177,137,81,153,182,183
45,Units in Structure: 3-4,LA,Acadia,209,225,302,316,351,341,406,399,319,227
46,Units in Structure: 5-9,LA,Acadia,593,546,428,323,232,290,297,362,399,454
47,Units in Structure: 50+,LA,Acadia,0,0,125,178,176,185,174,112,78,72
48,"Units in Structure: Boat,RV,Van,Etc.",LA,Acadia,95,93,79,80,27,29,42,49,38,22
49,Units in Structure: Mobile Home,LA,Acadia,4536,4481,4543,4428,4710,4791,4746,4929,4839,4579
50,Year Built: 1940-1949,LA,Acadia,1998,1980,2101,1854,1810,3029,3056,2993,2929,2783
51,Year Built: 1950-1959,LA,Acadia,3223,3146,3118,3163,3172,3170,3182,3049,2976,3409
52,Year Built: 1960-1969,LA,Acadia,3291,3306,3340,3609,3344,4359,4055,4298,4204,4444
53,Year Built: 1970-1979,LA,Acadia,4938,4901,4854,4575,4674,3242,3519,3311,3709,3797
54,Year Built: 1980-1989,LA,Acadia,3468,3139,3299,3267,3171,3421,3241,3223,3128,3198
55,Year Built: 1990-1999,LA,Acadia,2763,2900,3039,3031,3227,3659,3437,3819,3791,3446
56,Year Built: 2000-2009,LA,Acadia,1726,1891,3550,3740,3653,515,729,1016,1084,1108
57,Year Built: 2010-2013,LA,Acadia,1278,1822,18,134,308,23,71,124,373,702
58,Year Built: before 1940,LA,Acadia,2379,2176,2050,2064,2275,1784,2054,1823,1641,1544
0,Avg household size of owner-occupied unit,LA,Allen,2.65,2.64,2.59,2.68,2.7,2.71,2.78,2.75,2.61,2.61
1,Avg household size of renter-occupied unit,LA,Allen,2.36,2.58,2.65,2.61,2.53,2.52,2.45,2.59,2.91,2.9
2,FIPS Code,LA,Allen,22003,22003,22003,22003,22003,22003,22003,22003,22003,22003
3,House Heating Fuel: Electric,LA,Allen,4799,4751,4870,4953,5172,5225,5446,5551,5463,5335
4,House Heating Fuel: Fuel Oil,LA,Allen,5,6,0,0,0,0,0,0,0,0
5,House Heating Fuel: Gas,LA,Allen,2884,2805,2807,2591,2433,2306,1910,1705,1765,1931
6,House Heating Fuel: Propane,LA,Allen,525,536,499,422,366,335,295,334,353,295
7,House Heating Fuel: Wood,LA,Allen,172,149,110,109,111,121,189,205,277,283
26,Median Number of Rooms,LA,Allen,5.3,5.4,5.5,5.5,5.6,5.5,5.3,5.4,5.4,5.3
27,Number of Rooms: 1,LA,Allen,53,63,63,159,181,196,178,173,58,20
28,Number of Rooms: 2,LA,Allen,153,120,125,119,106,111,70,63,77,118
29,Number of Rooms: 3,LA,Allen,607,593,550,475,447,413,559,546,489,644
30,Number of Rooms: 4,LA,Allen,1939,1823,1602,1782,1797,2078,2125,1917,1830,1693
31,Number of Rooms: 5,LA,Allen,2728,2539,2499,2331,2186,2084,2307,2475,2718,3128
32,Number of Rooms: 6,LA,Allen,1852,1870,2083,2260,2475,2327,2179,2223,2052,1835
33,Number of Rooms: 7,LA,Allen,1284,1519,1616,1603,1565,1628,1339,1384,1360,1098
34,Number of Rooms: 8,LA,Allen,615,699,700,604,563,506,542,581,697,788
35,Number of Rooms: 9+,LA,Allen,428,479,487,400,460,438,483,508,600,628
36,Owner-Occupied,LA,Allen,15990,16060,15672,15675,15894,16186,16163,16361,15319,15438
37,Renter-Occupied,LA,Allen,5532,5594,5952,5852,5588,5145,5070,4891,5968,5846
38,Total Housing Units,LA,Allen,9659,9705,9725,9733,9780,9781,9782,9870,9881,9952
39,Total Population,LA,Allen,25816,25830,25740,25674,25691,25653,25619,25667,25661,25618
40,Units in Structure: 1 ATTACHED,LA,Allen,50,42,21,25,56,60,97,106,83,65
41,Units in Structure: 1 DETACHED,LA,Allen,6900,7011,7111,6995,6932,6762,6757,6824,7063,7139
42,Units in Structure: 10-19,LA,Allen,0,0,3,6,6,23,17,11,7,10
43,Units in Structure: 2,LA,Allen,459,449,390,400,408,423,437,401,375,484
44,Units in Structure: 20-49,LA,Allen,28,8,5,8,15,3,3,3,4,0
45,Units in Structure: 3-4,LA,Allen,138,136,145,144,209,212,185,168,145,97
46,Units in Structure: 5-9,LA,Allen,164,153,101,115,129,121,189,188,170,239
47,Units in Structure: 50+,LA,Allen,13,2,3,6,7,7,7,6,0,0
48,"Units in Structure: Boat,RV,Van,Etc.",LA,Allen,3,3,2,3,4,3,3,0,13,27
49,Units in Structure: Mobile Home,LA,Allen,1904,1901,1944,2031,2014,2167,2087,2163,2021,1891
50,Year Built: 1940-1949,LA,Allen,751,801,692,663,750,1175,1204,1197,1271,1188
51,Year Built: 1950-1959,LA,Allen,1371,1236,1315,1272,1213,1330,1273,1365,1270,1360
52,Year Built: 1960-1969,LA,Allen,1096,1116,1024,1135,1150,1728,1749,1522,1433,1563
53,Year Built: 1970-1979,LA,Allen,2047,1992,2028,1972,1962,1670,1797,1582,1449,1407
54,Year Built: 1980-1989,LA,Allen,1469,1443,1630,1631,1540,1294,1314,1461,1304,1114
55,Year Built: 1990-1999,LA,Allen,1098,1000,925,1023,1205,1357,1285,1339,1601,1467
56,Year Built: 2000-2009,LA,Allen,826,900,1514,1430,1291,207,202,216,184,158
57,Year Built: 2010-2013,LA,Allen,339,554,15,89,138,0,11,84,164,232
58,Year Built: before 1940,LA,Allen,662,663,582,518,531,583,544,614,683,843
0,Avg household size of owner-occupied unit,LA,Ascension,2.88,2.87,2.87,2.85,2.84,2.84,2.86,2.83,2.83,2.88
1,Avg household size of renter-occupied unit,LA,Ascension,2.72,2.81,2.81,2.84,2.78,2.85,2.85,2.8,2.79,2.67
2,FIPS Code,LA,Ascension,22005,22005,22005,22005,22005,22005,22005,22005,22005,22005
3,House Heating Fuel: Electric,LA,Ascension,21349,22265,22756,23374,24595,24455,24140,25544,26812,26921
4,House Heating Fuel: Fuel Oil,LA,Ascension,74,21,21,10,7,0,0,0,0,0
5,House Heating Fuel: Gas,LA,Ascension,13653,13696,14037,14413,14256,15071,15889,15599,15054,15284
6,House Heating Fuel: Propane,LA,Ascension,271,329,336,253,282,280,236,297,389,415
7,House Heating Fuel: Wood,LA,Ascension,134,153,115,149,194,161,179,207,186,178
26,Median Number of Rooms,LA,Ascension,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.5,5.6
27,Number of Rooms: 1,LA,Ascension,129,149,254,243,237,253,391,364,435,389
28,Number of Rooms: 2,LA,Ascension,476,269,141,185,149,180,213,318,329,401
29,Number of Rooms: 3,LA,Ascension,2402,2719,2471,2403,2258,2121,1855,2031,2261,2467
30,Number of Rooms: 4,LA,Ascension,5660,5855,6360,6058,6047,5649,5592,5736,6315,6004
31,Number of Rooms: 5,LA,Ascension,11049,10973,10592,11031,11758,12624,13218,13637,13670,13556
32,Number of Rooms: 6,LA,Ascension,8533,8770,8693,8813,8840,9088,9264,9133,8956,9179
33,Number of Rooms: 7,LA,Ascension,4887,5049,5512,5583,5862,5971,5672,5638,5785,5973
34,Number of Rooms: 8,LA,Ascension,3313,3300,3515,3625,3561,3610,3987,4504,4707,4968
35,Number of Rooms: 9+,LA,Ascension,2801,3162,3441,3671,3759,3759,3935,4137,4078,4454
36,Owner-Occupied,LA,Ascension,82882,86344,87682,89152,89651,91558,93666,95056,96630,101006
37,Renter-Occupied,LA,Ascension,18606,18140,19202,19958,21802,22399,22522,23226,23681,21226
38,Total Housing Units,LA,Ascension,39250,40246,40979,41612,42471,43255,44127,45498,46536,47391
39,Total Population,LA,Ascension,102501,105208,107647,109920,112308,114738,117009,119129,121176,123114
40,Units in Structure: 1 ATTACHED,LA,Ascension,357,328,354,419,444,471,482,486,581,557
41,Units in Structure: 1 DETACHED,LA,Ascension,28729,29517,29588,30092,30252,31281,31794,32882,33659,34588
42,Units in Structure: 10-19,LA,Ascension,327,360,406,528,718,673,665,639,515,433
43,Units in Structure: 2,LA,Ascension,451,537,471,342,313,281,247,363,605,679
44,Units in Structure: 20-49,LA,Ascension,176,130,181,129,146,197,234,197,232,258
45,Units in Structure: 3-4,LA,Ascension,824,974,938,892,868,883,792,838,934,921
46,Units in Structure: 5-9,LA,Ascension,439,518,650,736,620,595,629,578,501,530
47,Units in Structure: 50+,LA,Ascension,40,47,53,70,96,80,133,134,246,263
48,"Units in Structure: Boat,RV,Van,Etc.",LA,Ascension,8,9,72,59,129,127,156,90,152,137
49,Units in Structure: Mobile Home,LA,Ascension,7899,7826,8266,8345,8885,8667,8995,9291,9111,9025
50,Year Built: 1940-1949,LA,Ascension,1198,1101,1106,1131,889,1947,2049,2029,2132,2265
51,Year Built: 1950-1959,LA,Ascension,1954,1871,1901,1861,1778,2311,2376,2348,2506,2249
52,Year Built: 1960-1969,LA,Ascension,3248,3191,2737,2583,2471,4974,5196,5184,5245,5047
53,Year Built: 1970-1979,LA,Ascension,6053,5607,5397,5140,4566,5503,5263,5351,5180,5222
54,Year Built: 1980-1989,LA,Ascension,6051,5962,5662,5673,6035,8311,8141,7899,8046,8266
55,Year Built: 1990-1999,LA,Ascension,8462,9012,9148,9028,8684,15976,16055,16609,15669,15286
56,Year Built: 2000-2009,LA,Ascension,6801,6826,13547,14422,15622,1887,2259,2524,3230,3331
57,Year Built: 2010-2013,LA,Ascension,4375,5712,498,866,1329,319,568,1281,2198,3393
58,Year Built: before 1940,LA,Ascension,1108,964,983,908,1097,761,713,765,840,890
0,Avg household size of owner-occupied unit,LA,Assumption,2.73,2.7,2.7,2.76,2.7,2.71,2.68,2.61,2.57,2.65
1,Avg household size of renter-occupied unit,LA,Assumption,2.87,2.62,2.43,2.32,2.29,2.33,2.41,2.56,2.51,2.44
2,FIPS Code,LA,Assumption,22007,22007,22007,22007,22007,22007,22007,22007,22007,22007
3,House Heating Fuel: Electric,LA,Assumption,5370,5681,5756,5481,5459,5570,5746,5983,6452,6256
4,House Heating Fuel: Fuel Oil,LA,Assumption,0,0,0,0,0,0,7,10,12,9
5,House Heating Fuel: Gas,LA,Assumption,2860,2685,2702,2835,3042,2875,2713,2481,2125,2039
6,House Heating Fuel: Propane,LA,Assumption,181,172,132,133,100,114,108,116,133,150
7,House Heating Fuel: Wood,LA,Assumption,22,24,20,84,74,77,90,82,35,48
26,Median Number of Rooms,LA,Assumption,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.3,5.3,5.3
27,Number of Rooms: 1,LA,Assumption,73,96,78,88,45,60,52,53,51,46
28,Number of Rooms: 2,LA,Assumption,81,67,93,126,152,134,148,188,125,168
29,Number of Rooms: 3,LA,Assumption,820,847,703,547,534,449,347,473,555,576
30,Number of Rooms: 4,LA,Assumption,2247,2200,2263,2335,2316,2128,1990,1830,2051,2139
31,Number of Rooms: 5,LA,Assumption,3005,2822,2786,2685,2667,2820,3133,3335,3240,3204
32,Number of Rooms: 6,LA,Assumption,2103,2160,2145,2211,2153,2299,2256,1989,2044,2048
33,Number of Rooms: 7,LA,Assumption,1104,1192,1285,1295,1258,1056,1041,1218,1220,1364
34,Number of Rooms: 8,LA,Assumption,542,605,634,701,781,886,836,857,706,634
35,Number of Rooms: 9+,LA,Assumption,314,337,375,366,529,638,699,704,735,626
36,Owner-Occupied,LA,Assumption,19472,18992,19325,19378,19065,18860,18558,18019,17494,17711
37,Renter-Occupied,LA,Assumption,3837,4088,3669,3584,3825,3978,4195,4638,5003,4553
38,Total Housing Units,LA,Assumption,10289,10326,10362,10354,10435,10470,10502,10647,10727,10805
39,Total Population,LA,Assumption,23487,23421,23321,23268,23170,23057,22973,22881,22714,22478
40,Units in Structure: 1 ATTACHED,LA,Assumption,56,57,28,38,26,27,44,51,14,17
41,Units in Structure: 1 DETACHED,LA,Assumption,6789,6613,6598,6744,6982,7014,7047,7097,6964,6923
42,Units in Structure: 10-19,LA,Assumption,67,73,62,97,62,43,34,35,0,24
43,Units in Structure: 2,LA,Assumption,102,95,84,44,118,113,113,175,213,187
44,Units in Structure: 20-49,LA,Assumption,0,0,0,0,0,0,0,0,0,0
45,Units in Structure: 3-4,LA,Assumption,108,150,145,100,132,68,61,97,113,61
46,Units in Structure: 5-9,LA,Assumption,32,80,81,92,87,58,45,46,77,80
47,Units in Structure: 50+,LA,Assumption,0,0,0,0,0,6,6,8,6,10
48,"Units in Structure: Boat,RV,Van,Etc.",LA,Assumption,19,20,22,23,0,0,33,32,30,32
49,Units in Structure: Mobile Home,LA,Assumption,3116,3238,3342,3216,3028,3141,3119,3106,3310,3471
50,Year Built: 1940-1949,LA,Assumption,411,335,360,424,473,937,777,802,865,917
51,Year Built: 1950-1959,LA,Assumption,1257,1287,1034,1088,994,1383,1364,1374,1283,1194
52,Year Built: 1960-1969,LA,Assumption,1161,1145,1138,1210,1358,2132,2257,2205,2363,2354
53,Year Built: 1970-1979,LA,Assumption,2142,2059,2186,2238,2044,1364,1404,1588,2021,2059
54,Year Built: 1980-1989,LA,Assumption,1649,1697,1574,1458,1460,1324,1458,1629,1533,1473
55,Year Built: 1990-1999,LA,Assumption,1558,1586,1681,1425,1354,1860,1707,1627,1364,1320
56,Year Built: 2000-2009,LA,Assumption,806,856,1492,1679,1848,130,168,180,194,235
57,Year Built: 2010-2013,LA,Assumption,293,468,11,20,95,12,62,54,108,171
58,Year Built: before 1940,LA,Assumption,1012,893,886,812,809,562,517,542,377,402
0,Avg household size of owner-occupied unit,LA,Avoyelles,2.4,2.41,2.46,2.44,2.46,2.47,2.44,2.44,2.46,2.47
1,Avg household size of renter-occupied unit,LA,Avoyelles,2.6,2.51,2.5,2.61,2.65,2.66,2.64,2.63,2.5,2.35
2,FIPS Code,LA,Avoyelles,22009,22009,22009,22009,22009,22009,22009,22009,22009,22009
3,House Heating Fuel: Electric,LA,Avoyelles,6807,6799,7132,7041,7302,7291,7523,7603,7869,7755
4,House Heating Fuel: Fuel Oil,LA,Avoyelles,38,26,27,12,0,0,0,0,12,14
5,House Heating Fuel: Gas,LA,Avoyelles,7709,7843,7366,7076,6668,6495,6406,6329,6299,6447
6,House Heating Fuel: Propane,LA,Avoyelles,744,758,728,831,801,855,846,767,644,613
7,House Heating Fuel: Wood,LA,Avoyelles,408,318,266,293,255,224,203,187,218,292
26,Median Number of Rooms,LA,Avoyelles,5.2,5.3,5.3,5.4,5.3,5.3,5.3,5.3,5.3,5.4
27,Number of Rooms: 1,LA,Avoyelles,145,96,159,140,168,221,249,269,329,329
28,Number of Rooms: 2,LA,Avoyelles,321,292,324,293,265,252,290,269,257,305
29,Number of Rooms: 3,LA,Avoyelles,1527,1497,1154,1059,1066,957,908,887,942,1053
30,Number of Rooms: 4,LA,Avoyelles,3410,3186,3358,3356,3424,3280,3418,3222,3189,3103
31,Number of Rooms: 5,LA,Avoyelles,5210,5091,4899,4857,5021,5280,5224,5556,5356,4985
32,Number of Rooms: 6,LA,Avoyelles,3451,3650,3829,3962,4009,4391,4366,4309,3926,4166
33,Number of Rooms: 7,LA,Avoyelles,1959,2261,2433,2388,2186,2091,2101,1999,2187,2164
