,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,LA,Acadia,2.77,2.77,2.76,2.74,2.71,2.76,2.76,2.75,2.76,2.76
1,Avg household size of renter-occupied unit,LA,Acadia,2.69,2.67,2.68,2.6,2.6,2.56,2.58,2.62,2.65,2.75
36,Owner-Occupied,LA,Acadia,42551,42240,42432,43438,42978,44067,44390,44539,44002,43676
37,Renter-Occupied,LA,Acadia,17894,18275,18236,17431,18043,17027,16923,16997,17496,17707
0,Avg household size of owner-occupied unit,LA,Allen,2.65,2.64,2.59,2.68,2.7,2.71,2.78,2.75,2.61,2.61
1,Avg household size of renter-occupied unit,LA,Allen,2.36,2.58,2.65,2.61,2.53,2.52,2.45,2.59,2.91,2.9
36,Owner-Occupied,LA,Allen,15990,16060,15672,15675,15894,16186,16163,16361,15319,15438
37,Renter-Occupied,LA,Allen,5532,5594,5952,5852,5588,5145,5070,4891,5968,5846
0,Avg household size of owner-occupied unit,LA,Ascension,2.88,2.87,2.87,2.85,2.84,2.84,2.86,2.83,2.83,2.88
1,Avg household size of renter-occupied unit,LA,Ascension,2.72,2.81,2.81,2.84,2.78,2.85,2.85,2.8,2.79,2.67
36,Owner-Occupied,LA,Ascension,82882,86344,87682,89152,89651,91558,93666,95056,96630,101006
37,Renter-Occupied,LA,Ascension,18606,18140,19202,19958,21802,22399,22522,23226,23681,21226
0,Avg household size of owner-occupied unit,LA,Assumption,2.73,2.7,2.7,2.76,2.7,2.71,2.68,2.61,2.57,2.65
1,Avg household size of renter-occupied unit,LA,Assumption,2.87,2.62,2.43,2.32,2.29,2.33,2.41,2.56,2.51,2.44
36,Owner-Occupied,LA,Assumption,19472,18992,19325,19378,19065,18860,18558,18019,17494,17711
37,Renter-Occupied,LA,Assumption,3837,4088,3669,3584,3825,3978,4195,4638,5003,4553
0,Avg household size of owner-occupied unit,LA,Avoyelles,2.4,2.41,2.46,2.44,2.46,2.47,2.44,2.44,2.46,2.47
1,Avg household size of renter-occupied unit,LA,Avoyelles,2.6,2.51,2.5,2.61,2.65,2.66,2.64,2.63,2.5,2.35
36,Owner-Occupied,LA,Avoyelles,26305,26454,26628,26250,25976,25745,25359,25479,26119,26010
37,Renter-Occupied,LA,Avoyelles,12559,12144,11879,11978,12003,11967,12204,11908,11202,10890
0,Avg household size of owner-occupied unit,LA,Beauregard,2.68,2.67,2.66,2.69,2.66,2.67,2.7,2.71,2.75,2.72
1,Avg household size of renter-occupied unit,LA,Beauregard,2.53,2.48,2.53,2.6,2.7,2.76,2.84,2.73,2.76,2.67
36,Owner-Occupied,LA,Beauregard,26577,27001,26781,26730,26796,26811,26857,27632,28238,28481
37,Renter-Occupied,LA,Beauregard,7269,6813,7361,7832,8180,8549,8955,8564,8122,8141
0,Avg household size of owner-occupied unit,LA,Bienville,2.48,2.61,2.46,2.42,2.33,2.3,2.31,2.27,2.24,2.23
1,Avg household size of renter-occupied unit,LA,Bienville,2.52,2.3,2.48,2.53,2.37,2.46,2.51,2.41,2.32,2.41
36,Owner-Occupied,LA,Bienville,10478,11122,10174,9821,9872,9457,9492,9547,9660,9467
37,Renter-Occupied,LA,Bienville,3691,3018,3810,4082,3926,4188,4101,3930,3678,3766
0,Avg household size of owner-occupied unit,LA,Bossier,2.6,2.63,2.65,2.63,2.58,2.56,2.57,2.57,2.55,2.56
1,Avg household size of renter-occupied unit,LA,Bossier,2.55,2.52,2.44,2.46,2.59,2.57,2.55,2.48,2.44,2.4
36,Owner-Occupied,LA,Bossier,75664,77843,80286,80654,78787,78568,78491,77909,78055,80199
37,Renter-Occupied,LA,Bossier,35899,36042,35622,37191,40869,42324,43166,44268,44843,43301
0,Avg household size of owner-occupied unit,LA,Caddo,2.56,2.55,2.58,2.56,2.56,2.56,2.54,2.52,2.55,2.55
1,Avg household size of renter-occupied unit,LA,Caddo,2.47,2.47,2.45,2.5,2.5,2.52,2.55,2.55,2.49,2.45
36,Owner-Occupied,LA,Caddo,157968,158083,158509,156549,155481,153764,149344,147023,145731,146410
37,Renter-Occupied,LA,Caddo,87786,89450,90243,93146,94539,95751,98652,99050,97643,94405
0,Avg household size of owner-occupied unit,LA,Calcasieu,2.66,2.66,2.66,2.64,2.62,2.61,2.59,2.61,2.62,2.62
1,Avg household size of renter-occupied unit,LA,Calcasieu,2.43,2.43,2.4,2.39,2.41,2.43,2.42,2.37,2.38,2.39
36,Owner-Occupied,LA,Calcasieu,136975,136039,138143,137530,136379,134638,134206,135839,136031,137692
37,Renter-Occupied,LA,Calcasieu,48908,50552,49977,51962,54689,57543,59336,59301,60583,60432
0,Avg household size of owner-occupied unit,LA,Caldwell,2.72,2.5,2.38,2.42,2.49,2.49,2.73,2.61,2.6,2.65
1,Avg household size of renter-occupied unit,LA,Caldwell,2.58,2.63,2.64,2.55,2.49,2.43,2.25,2.45,2.56,2.45
36,Owner-Occupied,LA,Caldwell,7304,6957,6977,7078,6950,7149,7582,7066,7073,7423
37,Renter-Occupied,LA,Caldwell,2502,2759,2717,2587,2637,2352,1929,2368,2411,2111
0,Avg household size of owner-occupied unit,LA,Cameron,2.87,2.93,2.82,2.7,2.65,2.6,2.5,2.53,2.54,2.53
1,Avg household size of renter-occupied unit,LA,Cameron,1.84,2.2,2.34,2.4,2.14,2.3,2.88,2.48,2.35,2.52
36,Owner-Occupied,LA,Cameron,6448,6451,6375,6151,6139,6151,5954,6114,6015,5830
37,Renter-Occupied,LA,Cameron,760,572,514,606,551,549,773,674,831,1072
0,Avg household size of owner-occupied unit,LA,Catahoula,2.58,2.57,2.62,2.52,2.5,2.48,2.45,2.42,2.45,2.58
1,Avg household size of renter-occupied unit,LA,Catahoula,2.54,2.61,2.41,2.52,2.39,2.45,2.51,2.38,2.37,2.29
36,Owner-Occupied,LA,Catahoula,7663,7579,7810,7333,7141,6940,6800,6819,6848,6964
37,Renter-Occupied,LA,Catahoula,2106,2082,1847,2173,2217,2344,2390,2198,1885,1524
0,Avg household size of owner-occupied unit,LA,Claiborne,2.69,2.8,2.73,2.62,2.58,2.5,2.51,2.49,2.5,2.39
1,Avg household size of renter-occupied unit,LA,Claiborne,2.56,2.59,2.78,2.78,2.82,2.55,2.44,2.2,2.23,2.24
36,Owner-Occupied,LA,Claiborne,11600,11814,11341,10511,10460,10187,9716,9904,9670,9326
37,Renter-Occupied,LA,Claiborne,4038,3816,4137,4770,4556,4521,4771,4409,4492,4523
0,Avg household size of owner-occupied unit,LA,Concordia,2.61,2.58,2.51,2.51,2.42,2.34,2.43,2.46,2.5,2.47
1,Avg household size of renter-occupied unit,LA,Concordia,2.62,2.51,2.48,2.5,2.44,2.31,2.35,2.41,2.36,2.5
36,Owner-Occupied,LA,Concordia,13971,13392,12631,11917,11457,11031,11208,11599,12082,11704
37,Renter-Occupied,LA,Concordia,5792,6317,6773,7239,7405,7358,6969,6544,5982,6053
0,Avg household size of owner-occupied unit,LA,De Soto,2.55,2.52,2.62,2.59,2.6,2.59,2.57,2.54,2.47,2.45
1,Avg household size of renter-occupied unit,LA,De Soto,2.67,2.58,2.44,2.53,2.69,2.67,2.73,2.79,2.83,2.62
36,Owner-Occupied,LA,De Soto,19789,20061,20703,20067,19720,19573,19189,19097,19129,18923
37,Renter-Occupied,LA,De Soto,6324,6138,5616,6408,6949,7145,7610,7822,7843,8130
0,Avg household size of owner-occupied unit,LA,East Baton Rouge,2.66,2.64,2.65,2.67,2.66,2.65,2.67,2.7,2.7,2.72
1,Avg household size of renter-occupied unit,LA,East Baton Rouge,2.37,2.39,2.42,2.43,2.44,2.46,2.46,2.48,2.5,2.52
36,Owner-Occupied,LA,East Baton Rouge,272696,273247,273392,272911,268755,267272,265391,264993,263958,267431
37,Renter-Occupied,LA,East Baton Rouge,151949,152208,154850,158193,164582,167414,169968,171319,170367,166596
0,Avg household size of owner-occupied unit,LA,East Carroll,2.48,2.5,2.43,2.21,2.13,2.09,2.14,2.04,2.08,2.12
1,Avg household size of renter-occupied unit,LA,East Carroll,2.77,2.93,3.27,3.15,2.83,2.43,2.16,2.08,2.21,2.23
36,Owner-Occupied,LA,East Carroll,3345,3637,3348,3085,2873,2669,2310,2231,2182,2224
37,Renter-Occupied,LA,East Carroll,2985,3139,3258,3430,3514,3395,3187,2760,2438,2198
0,Avg household size of owner-occupied unit,LA,East Feliciana,2.84,2.65,2.67,2.62,2.56,2.46,2.46,2.41,2.37,2.31
1,Avg household size of renter-occupied unit,LA,East Feliciana,2.38,2.24,2.41,2.2,2.28,2.27,2.22,2.06,2.12,1.93
36,Owner-Occupied,LA,East Feliciana,15417,15074,14213,14642,13992,13942,13656,13275,13105,12954
37,Renter-Occupied,LA,East Feliciana,2920,2898,3680,3081,3287,2900,2809,2710,2622,2607
0,Avg household size of owner-occupied unit,LA,Evangeline,2.67,2.71,2.73,2.74,2.71,2.68,2.7,2.69,2.62,2.59
1,Avg household size of renter-occupied unit,LA,Evangeline,2.58,2.54,2.42,2.42,2.46,2.59,2.61,2.71,2.76,2.69
36,Owner-Occupied,LA,Evangeline,22692,22427,22646,22080,21545,21132,21389,21321,20781,20674
37,Renter-Occupied,LA,Evangeline,9805,9852,9078,9461,10081,10522,10296,10845,11373,11298
0,Avg household size of owner-occupied unit,LA,Franklin,2.49,2.45,2.47,2.47,2.44,2.49,2.47,2.48,2.48,2.51
1,Avg household size of renter-occupied unit,LA,Franklin,2.54,2.44,2.55,2.54,2.54,2.67,2.63,2.49,2.54,2.64
36,Owner-Occupied,LA,Franklin,14198,14292,13783,13263,13339,13082,12775,12843,13334,13553
37,Renter-Occupied,LA,Franklin,5463,5212,5577,5912,5770,5899,6182,6078,5690,5350
0,Avg household size of owner-occupied unit,LA,Grant,2.66,2.71,2.62,2.53,2.57,2.55,2.52,2.6,2.77,2.82
1,Avg household size of renter-occupied unit,LA,Grant,2.69,2.68,2.67,2.86,2.85,2.85,2.78,2.6,2.65,2.59
36,Owner-Occupied,LA,Grant,15388,15449,15318,14492,14092,13555,13318,12598,12902,13524
37,Renter-Occupied,LA,Grant,4363,4106,4098,4609,4885,5340,5581,6288,6191,5656
0,Avg household size of owner-occupied unit,LA,Iberia,2.71,2.69,2.69,2.72,2.78,2.83,2.84,2.82,2.83,2.77
1,Avg household size of renter-occupied unit,LA,Iberia,2.81,2.74,2.75,2.68,2.69,2.63,2.65,2.58,2.61,2.6
36,Owner-Occupied,LA,Iberia,49698,50067,50807,51561,51260,52573,51969,50039,49100,49151
37,Renter-Occupied,LA,Iberia,22051,21336,20799,20274,21408,20474,20959,22442,22755,21895
0,Avg household size of owner-occupied unit,LA,Iberville,2.66,2.68,2.66,2.67,2.65,2.64,2.62,2.65,2.68,2.74
1,Avg household size of renter-occupied unit,LA,Iberville,2.49,2.55,2.69,2.53,2.52,2.54,2.67,2.65,2.74,2.58
36,Owner-Occupied,LA,Iberville,22440,22524,22443,23067,22545,22016,22178,22342,21719,21919
37,Renter-Occupied,LA,Iberville,6679,6768,6813,6464,6914,7216,7228,7143,7750,7486
0,Avg household size of owner-occupied unit,LA,Jackson,2.66,2.57,2.5,2.52,2.46,2.39,2.39,2.36,2.36,2.36
1,Avg household size of renter-occupied unit,LA,Jackson,2.67,2.72,2.75,2.6,2.51,2.69,2.58,2.62,2.68,2.66
36,Owner-Occupied,LA,Jackson,10819,10767,10316,10209,10178,9828,10039,10058,10013,9991
37,Renter-Occupied,LA,Jackson,5051,5009,5353,5272,5105,5190,4779,4640,4656,4610
0,Avg household size of owner-occupied unit,LA,Jefferson,2.71,2.68,2.65,2.64,2.64,2.64,2.63,2.63,2.62,2.6
1,Avg household size of renter-occupied unit,LA,Jefferson,2.43,2.44,2.45,2.46,2.45,2.45,2.43,2.47,2.45,2.46
36,Owner-Occupied,LA,Jefferson,286130,282969,279571,275781,276783,274565,273211,274306,272310,269474
37,Renter-Occupied,LA,Jefferson,139786,145479,149407,154051,154204,157096,158518,159199,159422,161769
0,Avg household size of owner-occupied unit,LA,Jefferson Davis,2.67,2.64,2.64,2.72,2.74,2.69,2.72,2.73,2.77,2.73
1,Avg household size of renter-occupied unit,LA,Jefferson Davis,2.6,2.53,2.52,2.52,2.5,2.53,2.55,2.63,2.51,2.38
36,Owner-Occupied,LA,Jefferson Davis,23906,23881,24004,23392,23602,23225,22384,22317,22774,23380
37,Renter-Occupied,LA,Jefferson Davis,7358,7208,7049,7614,7381,7668,8501,8583,8189,7557
0,Avg household size of owner-occupied unit,LA,Lafayette,2.64,2.65,2.65,2.64,2.64,2.64,2.64,2.66,2.65,2.65
1,Avg household size of renter-occupied unit,LA,Lafayette,2.27,2.3,2.31,2.35,2.38,2.39,2.46,2.49,2.5,2.48
36,Owner-Occupied,LA,Lafayette,143714,145303,147058,149653,149133,150951,152974,156261,156377,157207
37,Renter-Occupied,LA,Lafayette,66872,68479,69645,70038,73985,75836,77007,77025,78763,79725
0,Avg household size of owner-occupied unit,LA,Lafourche,2.8,2.78,2.74,2.74,2.7,2.73,2.69,2.69,2.69,2.65
1,Avg household size of renter-occupied unit,LA,Lafourche,2.55,2.54,2.55,2.55,2.66,2.52,2.55,2.55,2.5,2.45
36,Owner-Occupied,LA,Lafourche,73490,74765,75020,74780,73020,73672,72864,73176,73920,74869
37,Renter-Occupied,LA,Lafourche,20015,19241,19448,19937,22154,21745,22760,22907,22313,21235
0,Avg household size of owner-occupied unit,LA,La Salle,2.66,2.51,,,,,,,,
1,Avg household size of renter-occupied unit,LA,La Salle,2.68,2.46,,,,,,,,
36,Owner-Occupied,LA,La Salle,11765,11708,,,,,,,,
37,Renter-Occupied,LA,La Salle,2193,2155,,,,,,,,
0,Avg household size of owner-occupied unit,LA,Lincoln,2.58,2.58,2.57,2.58,2.57,2.57,2.61,2.58,2.59,2.52
1,Avg household size of renter-occupied unit,LA,Lincoln,2.54,2.46,2.56,2.54,2.55,2.55,2.53,2.5,2.44,2.45
36,Owner-Occupied,LA,Lincoln,24533,23773,23767,23805,23556,23757,24227,24385,23423,22945
37,Renter-Occupied,LA,Lincoln,17103,18144,18834,19384,20142,20259,19920,19792,20717,21077
0,Avg household size of owner-occupied unit,LA,Livingston,2.9,2.9,2.85,2.81,2.8,2.79,2.8,2.79,2.81,2.85
1,Avg household size of renter-occupied unit,LA,Livingston,2.63,2.57,2.63,2.74,2.78,2.82,2.86,2.81,2.78,2.83
36,Owner-Occupied,LA,Livingston,100022,102939,102467,103576,105645,106222,106829,109088,111394,113046
37,Renter-Occupied,LA,Livingston,22208,22138,24985,25778,25584,26717,28086,26987,25705,24886
0,Avg household size of owner-occupied unit,LA,Madison,2.5,2.73,2.67,2.59,2.55,2.56,2.47,2.37,2.4,2.34
1,Avg household size of renter-occupied unit,LA,Madison,2.78,2.78,2.62,2.57,2.68,2.53,2.49,2.5,2.51,2.53
36,Owner-Occupied,LA,Madison,5885,6555,6108,5682,5669,5502,5400,5428,5340,4765
37,Renter-Occupied,LA,Madison,4520,4275,4606,4818,4853,4849,4725,4461,4305,4540
0,Avg household size of owner-occupied unit,LA,Morehouse,2.61,2.56,2.52,2.49,2.46,2.43,2.39,2.46,2.56,2.62
1,Avg household size of renter-occupied unit,LA,Morehouse,2.83,2.84,2.79,2.66,2.69,2.65,2.75,2.66,2.61,2.39
36,Owner-Occupied,LA,Morehouse,19156,18124,17678,17388,16554,16621,15957,16337,16720,17006
37,Renter-Occupied,LA,Morehouse,8323,8994,9267,9292,9873,9524,9920,9092,8416,7744
0,Avg household size of owner-occupied unit,LA,Natchitoches,2.58,2.53,2.58,2.63,2.74,2.82,2.86,2.81,2.91,2.9
1,Avg household size of renter-occupied unit,LA,Natchitoches,2.57,2.51,2.44,2.47,2.45,2.43,2.42,2.44,2.37,2.34
36,Owner-Occupied,LA,Natchitoches,23558,23295,23469,24356,24608,23653,22802,20445,19145,18626
37,Renter-Occupied,LA,Natchitoches,14723,14663,14729,13947,13793,14761,15575,17765,19074,19259
0,Avg household size of owner-occupied unit,LA,Orleans,2.55,2.44,2.42,2.47,2.53,2.56,2.57,2.61,2.63,2.67
1,Avg household size of renter-occupied unit,LA,Orleans,2.32,2.17,2.16,2.19,2.22,2.22,2.23,2.25,2.26,2.24
36,Owner-Occupied,LA,Orleans,147013,158348,165747,173582,178491,181634,184539,190385,192339,198127
37,Renter-Occupied,LA,Orleans,137039,151016,163123,170931,177467,182421,185101,184309,182782,178468
0,Avg household size of owner-occupied unit,LA,Ouachita,2.66,2.66,2.59,2.61,2.54,2.54,2.61,2.63,2.62,2.66
1,Avg household size of renter-occupied unit,LA,Ouachita,2.56,2.57,2.57,2.51,2.56,2.57,2.61,2.6,2.62,2.58
36,Owner-Occupied,LA,Ouachita,94397,92481,90012,90589,88002,87538,88332,88552,87485,87836
37,Renter-Occupied,LA,Ouachita,52997,55576,58006,57257,59159,59749,59924,59954,61008,60757
0,Avg household size of owner-occupied unit,LA,Plaquemines,2.86,2.82,2.74,2.67,2.65,2.72,2.68,2.61,2.55,2.5
1,Avg household size of renter-occupied unit,LA,Plaquemines,2.8,2.62,2.63,2.72,2.65,2.65,2.71,2.67,2.71,2.73
36,Owner-Occupied,LA,Plaquemines,15746,16567,17713,17134,16394,16162,16198,15761,15176,15322
37,Renter-Occupied,LA,Plaquemines,6170,6092,5249,5970,6833,7083,7034,7250,7794,7600
0,Avg household size of owner-occupied unit,LA,Pointe Coupee,2.59,2.56,2.51,2.53,2.5,2.58,2.51,2.53,2.5,2.46
