,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,LA,60113,67019,64809,57311,52996,53299,51785,56985,57015,52709
40,Units in Structure: 1 DETACHED,LA,1281526,1272327,1293320,1295622,1308347,1315435,1328833,1343687,1362202,1368361
41,Units in Structure: 10-19,LA,53230,60429,54671,56182,61261,63784,58150,57253,55324,59826
42,Units in Structure: 2,LA,77123,75180,71732,83264,86099,90469,86281,85737,87565,83877
43,Units in Structure: 20-49,LA,35044,38783,39309,43198,40885,39421,37939,39678,41207,40457
44,Units in Structure: 3-4,LA,86757,84750,84625,82891,85028,83602,89970,84349,83534,83878
45,Units in Structure: 5-9,LA,71916,62421,69147,64688,69063,65240,67743,65886,60419,64778
46,Units in Structure: 50+,LA,40006,43270,46761,39444,42482,48039,49797,54472,58508,57797
47,"Units in Structure: Boat,RV,Van,Etc.",LA,1591,1858,2582,2879,2371,2508,3220,2364,3051,2620
48,Units in Structure: Mobile Home,LA,260641,272937,260103,265488,262505,262940,263349,271171,267311,275521
