,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",LA,127060,130709,132995,117619,118616,113176,111597,113290,103020,98971
8,"Household Income: $100,000 to $124,999",LA,110875,116075,116697,124996,126388,128857,119432,134618,131968,140783
9,"Household Income: $125,000 to $149,999",LA,60440,60090,63724,66464,71115,73513,74537,72792,81551,85631
10,"Household Income: $15,000 to $19,999",LA,118730,117722,118013,114382,107365,113940,116369,108649,107839,97475
11,"Household Income: $150,000 to $199,999",LA,50498,54727,58402,62572,67751,74921,75391,74132,83523,90875
12,"Household Income: $20,000 to $24,999",LA,111755,103755,107165,109836,108033,109293,105727,108497,112377,99805
13,"Household Income: $200,000 or more",LA,44943,45412,53382,61999,61298,62891,65007,69662,77248,86549
14,"Household Income: $25,000 to $29,999",LA,91965,99814,94902,92408,95994,90990,91499,99756,94200,88474
15,"Household Income: $30,000 to $34,999",LA,93050,93632,96283,92078,93287,93235,89807,90523,92737,83914
16,"Household Income: $35,000 to $39,999",LA,85885,81199,78205,82806,80792,78660,84156,73505,83101,70704
17,"Household Income: $40,000 to $44,999",LA,82322,77024,82963,80780,83427,79058,81454,78271,71996,72587
18,"Household Income: $45,000 to $49,999",LA,74965,69883,70262,65652,72811,66643,69419,68796,66803,63870
19,"Household Income: $50,000 to $59,999",LA,127487,115789,125721,129021,124372,123620,124751,123816,123309,128702
20,"Household Income: $60,000 to $74,999",LA,160015,155298,157040,156407,152527,159380,155107,160887,152877,155489
21,"Household Income: $75,000 to $99,999",LA,184188,187525,186045,186847,177089,189912,178891,180683,192211,201402
22,"Household Income: Less than $10,000",LA,165644,193376,177674,184282,177329,179819,177657,179246,162460,175845
23,Household Income: Total:,LA,1689822,1702030,1719473,1728149,1718194,1737908,1720801,1737123,1737220,1741076
24,Median Household Income,LA,42505.0,41734.0,42944.0,44164.0,44555.0,45727.0,45146.0,46145.0,47905.0,51073.0
