State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LA,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,34557967,1179798,831738,2617597,1345682,653711,2897121,1898342,2100442,1897145,2390535,2692238,3131269,2315655,2277128,2438752,5280198,2273642
LA,Residential Total Volume (Mcf),52707864,47574373,45104062,49743523,49003091,49146619,47329691,42736153,41155080,33434964,37150047,37224577,36512415,45516207,39412455,31834077,38820138,44518009,36858337,31383203,29074199,37837540,36019179
LA,Residential Sales Volume (Mcf),52698820,47566927,45096618,49721082,49003091,49146619,47329691,42736153,41155080,33434964,37150047,37224577,36512415,45516207,39412455,31834077,38820138,44518009,36858337,31383203,29074199,37837540,36019179
LA,Residential Transported Volume (Mcf),9044,7446,7444,22441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Residential Sales Price (Dollars),6.93,7.09,6.94,7.91,10.9,9.64,10.98,12.12,15.34,17.22,15.79,16.74,15.05,13.79,13.16,13.02,13.22,13.95,13.69,13.63,14.7,14.34,15.18
LA,Residential Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
LA,Residential Sales Revenue (Dollars),377137709,317843590,308045706,414536030,512850263,396320478,487187405,478797666,545550700,490306649,527684407,576684965,480194242,533908138,447986181,367349264,419201171,484772670,397033723,356072104,379116215,440702777,414532691
LA,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Residential Total Customers,962768,962436,961925,964133,952753,957048,958795,940400,905857,868353,879612,886084,889570,893400,897513,963688,901635,903686,906518,896957,903409,908480,910369
LA,Residential Sales Customers,962586,962250,961735,963937,952753,957048,958795,940400,905857,868353,879612,886084,889570,893400,897513,963688,901635,903686,906518,896957,903409,908480,910369
LA,Residential Transported Customers,182,186,190,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Commercial Total Volume (Mcf),25612259,24042207,24558780,25687164,24603807,25539609,25160638,24699590,25085428,22240180,23862860,22869133,23672147,27009278,25924793,26293945,28874750,31277167,30269883,28930923,28321727,34847669,32979842
LA,Commercial Sales Volume (Mcf),24564440,22754869,23030312,24739012,23742969,25288410,24862003,24355353,24743846,21889805,23375716,22507164,21770003,22642304,21664977,20515794,22441202,24696299,23802000,22543067,22225605,24941035,24867211
LA,Commercial Transported Volume (Mcf),1047819,1287338,1528468,948152,860838,251199,298635,344237,341582,350375,487144,361969,1902144,4366974,4259816,5778151,6433548,6580868,6467883,6387856,6096122,9906634,8112631
LA,Commercial Sales Price (Dollars),6.52,6.44,6.55,7.39,9.92,8.74,9.95,10.9,14.09,15.48,14.39,15.93,13.13,12.21,12.09,10.86,11.71,12.26,11.47,11.08,11.7,11.63,12.31
LA,Commercial Transported Price (Dollars),,,,,,,,,,,,0.62,0.56,0.59,0.81,1.94,1.14,1.08,1.71,1.52,1.74,1.94,2.6
LA,Commercial Sales Revenue (Dollars),152725219,128393244,131888453,183254038,203803264,170325966,219012628,232898348,282443751,259201858,276444969,304393296,227797703,223691475,202856294,173113912,192720176,222521527,190586643,178564446,199866988,217201771,209129138
LA,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,313627,615964,1681801,2386732,2884175,3227077,3441794,4096562,3753564,4152472,5933215,8962971
LA,Commercial Total Customers,62269,63029,62911,62710,62241,62247,63512,60580,58409,57097,57127,57066,58396,58562,58749,63381,59147,58996,59544,59941,59554,59518,58893
LA,Commercial Sales Customers,62203,62959,62842,62643,62238,62245,63510,60577,58406,57093,57122,57062,58372,58501,58685,63256,58985,58823,59366,59765,59380,59310,58690
LA,Commercial Transported Customers,66,70,69,67,3,2,2,3,3,4,5,4,24,61,64,125,162,173,178,176,174,208,203
LA,Industrial Total Volume (Mcf),1004140423,916412731,875575281,906053690,753087287,794828637,770196750,819256578,769882834,822931973,838853204,792697261,761467600,864534260,886158295,955750135,932424740,960033268,949420516,1048751186,1092566957,1148070883,1145103885
LA,Industrial Sales Volume (Mcf),100842100,85238068,74111527,97534834,62327330,106183428,103180236,176937688,214936086,233755114,217370369,169737232,139194768,143770189,121611337,140617920,132053704,31196261,29841243,32879359,38789804,39360773,37533930
LA,Industrial Transported Volume (Mcf),903298323,831174663,801463754,808518856,690759957,688645209,667016514,642318890,554946748,589176859,621482835,622960029,622272832,720764071,764546958,815132215,800371036,928837007,919579273,1015871827,1053777153,1108710110,1107569955
LA,Industrial Sales Price (Dollars),4.48,4.54,6.65,5.55,7.53,5.95,6.91,8.03,10.61,9.91,10.0,11.76,8.39,7.91,7.33,6.32,7.49,11.47,6.84,6.51,8.36,6.82,6.4
LA,Industrial Transported Price (Dollars),,,,,,,,,,,,0.15,0.16,0.48,0.57,0.47,0.62,1.06,0.57,0.65,0.71,0.84,0.76
LA,Industrial Sales Revenue (Dollars),289465272,196945659,188358156,393045240,313822135,391479004,570085349,1164231112,1957679457,1734760630,1539555149,1581354887,600222313,672474004,516519412,416772945,509896403,157626290,99372604,102384353,141287207,138375130,126153715
LA,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,53125496,64873627,82462217,69268509,61064703,47862451,431361262,272313950,273892929,311129079,317979619,290634993
LA,Industrial Total Customers,1404,1374,1397,1318,1440,1357,1291,1460,1086,962,945,988,954,942,920,963,916,883,893,1052,1072,1094,1000
LA,Industrial Sales Customers,1024,974,981,961,1112,1032,971,1139,831,712,691,720,666,586,573,628,570,527,535,691,729,753,648
LA,Industrial Transported Customers,380,400,416,357,328,325,320,321,255,250,254,268,288,356,347,335,346,356,358,361,343,341,352
LA,Electric Total Volume (Mcf),202226808,253652689,254038906,282348528,207747472,259999831,175773018,173798278,180963731,150822286,182619303,189686013,175293771,223848085,234958378,257404366,189081467,196768490,319076163,284808496,217189438,242164353,294622352
LA,Electric Sales Volume (Mcf),16199297,21009137,16848396,34835364,7757260,12690051,24887586,35190988,26203273,20562268,44888869,41429705,15207369,13627220,3949875,28904490,18359875,24087152,19378916,1544128,588692,513957,915418
LA,Electric Transported Volume (Mcf),186027511,232643552,237190510,247513164,199990212,247309780,150885432,138607290,154760458,130260018,137730434,148256308,160086402,210220865,231008503,228499876,170721592,172681338,299697247,283264368,216600746,241650396,293706934
LA,Electric Sales Price (Dollars),2.68,2.21,2.01,3.79,4.64,3.21,6.27,5.91,9.82,7.14,7.19,9.98,4.27,6.09,5.32,4.2,4.21,7.78,5.75,2.84,1.88,2.56,2.08
LA,Electric Transported Price (Dollars),,,,,,,,,,,,0.67,0.2,0.15,0.09,0.1,0.06,0.14,0.11,0.12,0.1,0.1,0.14
LA,Electric Sales Revenue (Dollars),45716513,41674646,35880625,138111700,27501911,41096725,144599996,223855156,231071253,146007261,323100193,396571651,63947572,59794569,17243200,85969978,70295835,113159474,60389982,5227663,1893089,1889819,2569019
LA,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,13252809,7699628,8044768,3242475,2152376,2518281,9382393,10261857,9982265,8950516,10363984,25074384
LA,Electric Total Customers,83,56,70,78,84,49,48,54,55,53,49,48,41,46,43,39,42,40,40,45,43,41,39
LA,Electric Sales Customers,34,33,41,42,37,5,7,6,13,13,13,9,6,6,4,4,4,4,4,4,2,2,2
LA,Electric Transported Customers,49,23,29,36,47,44,41,48,42,40,36,39,35,40,39,35,38,36,36,41,41,39,37
LA,Vehicle Fuel Total Volume (Mcf),15868,6691,7730,13351,37265,6215,5196,6955,8394,5464,4671,3229,2387,3110,8761,8848,47071,94807,249769,349723,381683,415783,394257
LA,Vehicle Fuel Sales Volume (Mcf),13198,4450,7730,5206,7346,6215,5196,6955,8394,5464,4671,3229,2387,3110,8761,8848,47071,94807,224209,219866,240475,415783,394257
LA,Vehicle Fuel Transported Volume (Mcf),2670,2241,0,8145,29919,0,0,0,0,0,0,0,0,0,0,0,0,0,25560,129857,141208,0,0
LA,Vehicle Fuel Sales Price (Dollars),4.99,5.41,5.22,6.24,10.96,9.34,9.57,9.73,13.83,12.59,12.0,13.02,8.58,11.14,10.58,10.53,9.57,10.28,8.47,8.56,9.04,8.19,8.35
LA,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
LA,Vehicle Fuel Sales Revenue (Dollars),73500,21125,34519,29886,59586,34601,39712,67652,116086,68810,56036,42047,20472,34653,92727,93210,292357,788510,1194212,1001902,1270021,2113508,1875109
LA,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Vehicle Fuel Total Customers,11,11,11,11,10,9,11,6,6,6,34,66,40,60,60,86,117,164,163,25,24,23,23
LA,Vehicle Fuel Sales Customers,10,10,11,10,9,9,11,6,6,6,34,66,40,60,60,86,117,164,162,22,22,23,23
LA,Vehicle Fuel Transported Customers,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0
