Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,LA,27857.389,34.96190476190476,7496,4249.0,290.0,862.0,2261.0,2885.0,4315.0,3856.0,3197.0,2662.0,3039.0,236.0
Statewide Total,,Cooperative,LA,19.19,50.0,8,0.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0
Statewide Total,,Privately Owned,LA,8946.511,19.8,1491,4.0,28.0,58.0,672.0,359.0,2285.0,2047.0,1531.0,840.0,1042.0,75.0
Statewide Total,,Investor Owned,LA,12308.773,35.25,3863,2677.0,229.0,628.0,1147.0,1259.0,1342.0,1163.0,1025.0,1224.0,1521.0,88.0
Statewide Total,,Municipal Owned,LA,6582.915,35.604395604395606,2134,1568.0,32.0,176.0,434.0,1266.0,677.0,644.0,639.0,596.0,475.0,72.0
"SOUTHERN GAS SERVICES, INC.",39964,Privately Owned,LA,4.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
MAGNOLIA NATURAL GAS LLC,32470,Privately Owned,LA,14.511,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,8.761,0.0
"JPC ENERGY, LLC",32387,Investor Owned,LA,62.7,44.0,32,0.0,0.0,0.0,0.0,30.8,10.3,3.2,18.4,0.0,0.0,0.0
"FRENCH SETTLEMENT GAS, LLC",31989,Privately Owned,LA,99.0,16.0,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,89.0,4.0,2.0
TOWN OF FRANKLINTON,31860,Municipal Owned,LA,34.65,8.0,0,32.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.17,0.0
"MAMOU, TOWN OF",26310,Municipal Owned,LA,86.0,23.0,0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
WOODWORTH MUNICIPAL GAS DEPT,25049,Municipal Owned,LA,40.5,33.0,2,0.0,0.0,0.0,0.0,0.0,16.0,11.0,7.0,2.0,4.0,0.5
WASHINGTON PARISH UTILITY DIST #1,25048,Municipal Owned,LA,48.0,52.0,42,0.0,0.0,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0
RAPIDES PARISH GAS UTILITY DIST #2,25046,Municipal Owned,LA,32.393,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.5,0.675,0.218
"ZACHARY WATER & GAS DISTRIBUTION SYSTEM, CITY OF",25010,Municipal Owned,LA,140.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,9.0,16.0,10.0,0.0
"WHITE CASTLE, TOWN OF",22546,Municipal Owned,LA,11.0,51.0,8,0.0,0.0,3.0,0.0,2.0,2.7,2.0,1.0,0.3,0.0,0.0
