,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,ME,All Sectors,Ammonia,CAP,10.016399144,TON
1,ME,All Sectors,Carbon Monoxide,CAP,15547.41748244365,TON
2,ME,All Sectors,Nitrogen Oxides,CAP,3664.886073454801,TON
3,ME,All Sectors,PM10 Primary (Filt + Cond),CAP,2130.167478977774,TON
4,ME,All Sectors,PM2.5 Primary (Filt + Cond),CAP,384.32712756099994,TON
5,ME,All Sectors,Sulfur Dioxide,CAP,90.2626882469,TON
6,ME,All Sectors,Volatile Organic Compounds,CAP,51359.0420098752,TON
7,ME,All Sectors,Carbon Dioxide,GHG,601029.8429735301,TON
8,ME,All Sectors,Methane,GHG,25.268734017372005,TON
9,ME,All Sectors,Nitrous Oxide,GHG,18.274715009999998,TON
10,ME,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,1869.74858931,TON
11,ME,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,149.0885566478,TON
12,ME,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,50068.9,TON
13,ME,Bulk Gasoline Terminals,Nitrogen Oxides,CAP,0.0,TON
14,ME,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,47.8260149,TON
15,ME,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,102.895729,TON
16,ME,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,1.3576144,TON
17,ME,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,165.49900000000002,TON
18,ME,Fires - Prescribed Fires,PM2.5 Primary (Filt + Cond),CAP,7.633911,TON
19,ME,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.0,TON
20,ME,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.0,TON
21,ME,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.0,TON
22,ME,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
23,ME,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
24,ME,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
25,ME,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
26,ME,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
27,ME,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.1190089,TON
28,ME,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Dioxide,GHG,12.262686,TON
29,ME,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,174.4301356,TON
