,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,ME,Androscoggin,5.2,5.2,5.3,5.2,5.2,5.2,5.2,5.2,5.3,5.3
27,Number of Rooms: 1,ME,Androscoggin,845,883,1011,1236,1276,1306,1461,1524,1445,1333
28,Number of Rooms: 2,ME,Androscoggin,1262,1182,1219,1372,1518,1588,1633,1729,1804,1799
29,Number of Rooms: 3,ME,Androscoggin,4885,4830,4755,4992,5046,5049,4622,4512,4311,4410
30,Number of Rooms: 4,ME,Androscoggin,9645,9330,8945,8817,8364,7940,8074,7978,8116,8375
31,Number of Rooms: 5,ME,Androscoggin,11207,11271,11029,11170,11355,11823,11816,12349,12099,11913
32,Number of Rooms: 6,ME,Androscoggin,8397,8470,8725,8865,8686,8595,8876,8910,8802,8916
33,Number of Rooms: 7,ME,Androscoggin,5790,5729,6046,5432,5526,5458,5444,5367,5684,5401
34,Number of Rooms: 8,ME,Androscoggin,3296,3437,3251,3173,3398,3447,3290,3282,3250,3316
35,Number of Rooms: 9+,ME,Androscoggin,3524,3860,4127,3986,4018,3958,3918,3965,4224,4429
26,Median Number of Rooms,ME,Aroostook,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.3,5.3,5.4
27,Number of Rooms: 1,ME,Aroostook,1315,1492,1558,1578,1487,1216,1178,1220,1133,1081
28,Number of Rooms: 2,ME,Aroostook,1412,1517,1408,1486,1785,1801,1845,1807,1641,1418
29,Number of Rooms: 3,ME,Aroostook,4298,4331,4432,4516,4238,4115,3943,3995,3851,3909
30,Number of Rooms: 4,ME,Aroostook,7493,7200,7233,6934,7028,6986,6865,6662,6965,6433
31,Number of Rooms: 5,ME,Aroostook,8270,8090,8016,8149,8255,8287,8066,8119,7988,8254
32,Number of Rooms: 6,ME,Aroostook,6629,6459,6524,6238,6312,6722,6939,6798,6909,7218
33,Number of Rooms: 7,ME,Aroostook,4675,4803,4485,4539,4349,4249,4291,4942,4822,4869
34,Number of Rooms: 8,ME,Aroostook,2701,2850,2833,2901,2797,2794,2861,2890,2978,2989
35,Number of Rooms: 9+,ME,Aroostook,2689,2800,3030,3114,3239,3307,3439,3377,3589,3745
26,Median Number of Rooms,ME,Cumberland,5.5,5.5,5.5,5.6,5.6,5.5,5.6,5.5,5.6,5.5
27,Number of Rooms: 1,ME,Cumberland,2530,2813,2743,2680,2665,2647,2799,3045,3270,3457
28,Number of Rooms: 2,ME,Cumberland,4458,4247,4288,4416,4543,4652,4638,4753,4789,5069
29,Number of Rooms: 3,ME,Cumberland,13029,12779,12396,12315,12419,12765,12721,12659,12812,12640
30,Number of Rooms: 4,ME,Cumberland,23211,23338,22729,23022,23126,23116,23507,23585,22784,22630
31,Number of Rooms: 5,ME,Cumberland,24940,25703,26230,25457,25509,25738,25001,25985,26694,27197
32,Number of Rooms: 6,ME,Cumberland,24400,24638,25555,25665,25556,25842,25767,24819,25419,25664
33,Number of Rooms: 7,ME,Cumberland,18546,17668,17303,17654,17728,16842,17384,18056,18416,19168
34,Number of Rooms: 8,ME,Cumberland,12183,12781,12647,12595,12186,12083,11913,11968,11881,11907
35,Number of Rooms: 9+,ME,Cumberland,13654,14010,14554,14963,15590,16087,16620,17381,17264,16738
26,Median Number of Rooms,ME,Franklin,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.1,5.1,5.2
27,Number of Rooms: 1,ME,Franklin,794,853,795,750,786,929,984,1171,1354,1427
28,Number of Rooms: 2,ME,Franklin,997,935,924,981,941,858,939,1057,1174,1300
29,Number of Rooms: 3,ME,Franklin,2455,2404,2336,2217,2165,2179,2093,2073,2020,1756
30,Number of Rooms: 4,ME,Franklin,3992,4054,3940,4054,4093,3995,4116,4168,3763,3735
31,Number of Rooms: 5,ME,Franklin,4392,4275,4467,4554,4632,4419,4163,4069,4260,4200
32,Number of Rooms: 6,ME,Franklin,3421,3401,3381,3379,3614,3621,3779,3780,3835,3813
33,Number of Rooms: 7,ME,Franklin,2353,2450,2504,2422,2254,2322,2549,2586,2633,2817
34,Number of Rooms: 8,ME,Franklin,1613,1586,1625,1583,1546,1590,1439,1427,1402,1321
35,Number of Rooms: 9+,ME,Franklin,1374,1613,1710,1777,1788,1973,1757,1737,1670,1812
26,Median Number of Rooms,ME,Hancock,5.2,5.2,5.2,5.1,5.1,5.2,5.2,5.1,5.2,5.3
27,Number of Rooms: 1,ME,Hancock,1200,1267,1258,1312,1427,1622,1752,1864,1915,1857
28,Number of Rooms: 2,ME,Hancock,2146,2144,2109,2258,2369,2363,2347,2280,2275,2209
29,Number of Rooms: 3,ME,Hancock,4168,4064,4406,4573,4648,4406,4476,4756,4633,4662
30,Number of Rooms: 4,ME,Hancock,6679,6690,6853,6865,6812,6594,6617,6557,6056,5827
31,Number of Rooms: 5,ME,Hancock,8174,8507,8246,7841,7830,7548,7487,7767,7891,7877
32,Number of Rooms: 6,ME,Hancock,7000,7082,6774,6723,6864,6834,6931,6938,7041,7140
33,Number of Rooms: 7,ME,Hancock,3893,3936,4088,4298,4294,4644,4536,4497,4598,4661
34,Number of Rooms: 8,ME,Hancock,2612,2709,2705,2708,2705,2689,2618,2730,3058,3324
35,Number of Rooms: 9+,ME,Hancock,3498,3443,3625,3591,3368,3713,3705,3527,3581,3703
