,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,ME,Androscoggin,910,849,859,860,819,830,788,723,674,737
41,Units in Structure: 1 DETACHED,ME,Androscoggin,27990,28304,27911,27652,27906,28050,28196,29247,29217,29449
42,Units in Structure: 10-19,ME,Androscoggin,1418,1314,1374,1392,1237,1394,1421,1380,1379,1235
43,Units in Structure: 2,ME,Androscoggin,4384,4447,4521,4314,4202,4161,4318,4202,4313,4472
44,Units in Structure: 20-49,ME,Androscoggin,927,1021,1074,1245,1238,1208,1133,1195,1200,1283
45,Units in Structure: 3-4,ME,Androscoggin,3928,3779,3771,3766,3769,3829,3894,3770,3499,3413
46,Units in Structure: 5-9,ME,Androscoggin,3488,3569,3506,3716,3877,3605,3537,3606,3813,3674
47,Units in Structure: 50+,ME,Androscoggin,815,815,953,1038,1220,1187,1237,1216,1253,1243
48,"Units in Structure: Boat,RV,Van,Etc.",ME,Androscoggin,0,0,0,0,0,0,0,0,9,8
49,Units in Structure: Mobile Home,ME,Androscoggin,4991,4894,5139,5060,4919,4900,4610,4277,4378,4378
40,Units in Structure: 1 ATTACHED,ME,Aroostook,227,308,381,383,363,390,310,278,295,307
41,Units in Structure: 1 DETACHED,ME,Aroostook,28255,28364,28268,28319,28244,28007,28423,28535,28435,28843
42,Units in Structure: 10-19,ME,Aroostook,444,495,569,561,659,785,729,881,859,739
43,Units in Structure: 2,ME,Aroostook,1937,1894,1925,1732,1790,1559,1522,1520,1470,1326
44,Units in Structure: 20-49,ME,Aroostook,689,750,737,676,669,666,614,676,794,807
45,Units in Structure: 3-4,ME,Aroostook,2130,2019,2041,2108,2124,2336,2292,2340,2289,2503
46,Units in Structure: 5-9,ME,Aroostook,1518,1530,1529,1653,1595,1608,1458,1445,1477,1236
47,Units in Structure: 50+,ME,Aroostook,225,217,262,231,225,229,210,209,285,274
48,"Units in Structure: Boat,RV,Van,Etc.",ME,Aroostook,9,13,13,13,13,11,5,3,7,5
49,Units in Structure: Mobile Home,ME,Aroostook,4048,3952,3794,3779,3808,3886,3864,3923,3965,3876
40,Units in Structure: 1 ATTACHED,ME,Cumberland,6900,6823,6980,7100,7255,7115,7240,7098,6905,6814
41,Units in Structure: 1 DETACHED,ME,Cumberland,87157,88089,88605,89754,90019,90088,90831,93158,93417,94619
42,Units in Structure: 10-19,ME,Cumberland,3455,3434,3500,3546,3359,3454,3561,3339,3305,3347
43,Units in Structure: 2,ME,Cumberland,9243,8800,8771,8096,8144,7988,8196,8397,8799,8519
44,Units in Structure: 20-49,ME,Cumberland,3191,3479,3236,3469,3563,3561,3567,3643,3787,3786
45,Units in Structure: 3-4,ME,Cumberland,9625,9635,9720,9623,9903,10672,10448,10293,10509,10302
46,Units in Structure: 5-9,ME,Cumberland,6949,7023,6959,6555,6168,6148,6093,5780,6096,6332
