,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,ME,2.47,2.46,2.43,2.46,2.46,2.5,2.55,2.51,2.42,2.38
1,Avg household size of renter-occupied unit,ME,2.09,2.05,2.09,2.12,2.09,2.07,2.15,2.11,1.95,2.02
2,House Heating Fuel: Electric,ME,27813,24723,23260,28747,28040,35138,33543,36406,41759,48008
3,House Heating Fuel: Fuel Oil,ME,384021,379409,374110,351842,342185,336337,333900,331541,355904,344869
4,House Heating Fuel: Gas,ME,23135,27427,28621,31836,37608,37624,41879,41841,44328,44750
5,House Heating Fuel: Propane,ME,36617,42224,41477,45601,48027,50511,52621,61816,61194,69241
6,House Heating Fuel: Wood,ME,65520,68055,76225,76707,78214,70767,55290,54454,54843,53927
25,Median Number of Rooms,ME,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4
26,Number of Rooms: 1,ME,17791,18396,19255,19789,19445,20061,20179,24518,19621,19966
27,Number of Rooms: 2,ME,23702,26761,25469,27079,25871,28427,27218,27718,27447,27894
28,Number of Rooms: 3,ME,71103,66907,68655,73794,70961,66340,71655,71763,71216,64137
29,Number of Rooms: 4,ME,124905,127614,129005,129189,132432,123590,133497,122624,124903,127181
30,Number of Rooms: 5,ME,149050,150594,145604,143499,148578,150261,141217,153863,150360,149873
31,Number of Rooms: 6,ME,126670,125537,127963,127910,125431,129887,128317,126416,132422,136179
32,Number of Rooms: 7,ME,90466,84683,87072,82402,84017,86158,84800,87267,88910,89016
33,Number of Rooms: 8,ME,56566,59010,54406,54796,55072,55186,57460,59290,57318,58842
34,Number of Rooms: 9+,ME,61964,66148,66758,64682,65886,69482,66443,69185,74395,77876
35,Owner-Occupied,ME,980504,963187,961976,946298,964878,965917,974221,993690,982726,984971
36,Renter-Occupied,ME,311518,329456,331685,346402,329581,327614,321366,305937,319842,322035
37,Total Housing Units,ME,722217,725650,724187,723140,727693,729392,730786,742644,746592,750964
38,Total Population,ME,1327567,1328188,1329192,1328302,1330089,1329328,1331479,1335907,1338404,1344212
39,Units in Structure: 1 ATTACHED,ME,17271,16079,16831,15151,16283,16200,18560,18704,15915,15369
40,Units in Structure: 1 DETACHED,ME,504295,502022,502478,505095,505963,511699,515814,524137,515495,528983
41,Units in Structure: 10-19,ME,11617,13630,10702,13826,10981,12363,10687,11598,11449,10380
42,Units in Structure: 2,ME,38418,37433,38190,35791,39212,36038,36200,32540,37001,36937
43,Units in Structure: 20-49,ME,12351,13353,10161,13767,12352,12866,12736,13865,17777,17592
44,Units in Structure: 3-4,ME,36990,39521,40067,40558,42536,42060,38832,40354,43510,40410
45,Units in Structure: 5-9,ME,27264,26667,29410,26244,28851,25119,28149,26866,30459,28386
46,Units in Structure: 50+,ME,9437,9546,10636,10053,9838,11976,10294,12839,12701,10765
47,"Units in Structure: Boat,RV,Van,Etc.",ME,399,220,153,293,385,278,72,285,504,423
48,Units in Structure: Mobile Home,ME,64175,67179,65559,62362,61292,60793,59442,61456,61781,61719
49,Year Built: 1940-1949,ME,36784,33790,34652,35714,38060,35205,32809,34406,34879,35473
50,Year Built: 1950-1959,ME,52340,58900,54589,52478,55388,49906,52532,50080,57135,56811
51,Year Built: 1960-1969,ME,54253,52438,52738,53545,55084,55524,51683,51736,51658,48559
52,Year Built: 1970-1979,ME,101240,102454,101542,104594,102938,104255,97440,98797,109901,103261
53,Year Built: 1980-1989,ME,109178,110384,106362,105623,108820,106665,104656,101916,104290,112227
54,Year Built: 1990-1999,ME,89041,88911,88185,87931,89944,85817,91225,86994,92723,91374
55,Year Built: 2000-2009,ME,53783,56486,88904,91122,92955,91974,106570,107005,87372,87255
56,Year Built: 2010-2013,ME,30730,36809,5924,7520,10170,11495,16415,21621,18980,15917
57,Year Built: 2014 or later,ME,,,,,,1729.0,6893.0,11254.0,16543.0,20474.0
58,Year Built: before 1940,ME,194868,185478,191291,184613,174334,186822,170563,178835,173111,179613
