,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,ME,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4
26,Number of Rooms: 1,ME,17791,18396,19255,19789,19445,20061,20179,24518,19621,19966
27,Number of Rooms: 2,ME,23702,26761,25469,27079,25871,28427,27218,27718,27447,27894
28,Number of Rooms: 3,ME,71103,66907,68655,73794,70961,66340,71655,71763,71216,64137
29,Number of Rooms: 4,ME,124905,127614,129005,129189,132432,123590,133497,122624,124903,127181
30,Number of Rooms: 5,ME,149050,150594,145604,143499,148578,150261,141217,153863,150360,149873
31,Number of Rooms: 6,ME,126670,125537,127963,127910,125431,129887,128317,126416,132422,136179
32,Number of Rooms: 7,ME,90466,84683,87072,82402,84017,86158,84800,87267,88910,89016
33,Number of Rooms: 8,ME,56566,59010,54406,54796,55072,55186,57460,59290,57318,58842
34,Number of Rooms: 9+,ME,61964,66148,66758,64682,65886,69482,66443,69185,74395,77876
