,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,ME,17271,16079,16831,15151,16283,16200,18560,18704,15915,15369
40,Units in Structure: 1 DETACHED,ME,504295,502022,502478,505095,505963,511699,515814,524137,515495,528983
41,Units in Structure: 10-19,ME,11617,13630,10702,13826,10981,12363,10687,11598,11449,10380
42,Units in Structure: 2,ME,38418,37433,38190,35791,39212,36038,36200,32540,37001,36937
43,Units in Structure: 20-49,ME,12351,13353,10161,13767,12352,12866,12736,13865,17777,17592
44,Units in Structure: 3-4,ME,36990,39521,40067,40558,42536,42060,38832,40354,43510,40410
45,Units in Structure: 5-9,ME,27264,26667,29410,26244,28851,25119,28149,26866,30459,28386
46,Units in Structure: 50+,ME,9437,9546,10636,10053,9838,11976,10294,12839,12701,10765
47,"Units in Structure: Boat,RV,Van,Etc.",ME,399,220,153,293,385,278,72,285,504,423
48,Units in Structure: Mobile Home,ME,64175,67179,65559,62362,61292,60793,59442,61456,61781,61719
