,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MD,Allegany,2.45,2.45,2.43,2.43,2.44,2.42,2.4,2.4,2.34,2.35
1,Avg household size of renter-occupied unit,MD,Allegany,2.07,2.13,2.15,2.13,2.07,2.13,2.16,2.19,2.22,2.22
36,Owner-Occupied,MD,Allegany,49950,49061,48398,48265,48207,47054,46161,45935,44675,44299
37,Renter-Occupied,MD,Allegany,17411,18256,18495,18260,18022,18862,19255,18943,19374,18968
0,Avg household size of owner-occupied unit,MD,Anne Arundel,2.65,2.67,2.68,2.69,2.7,2.69,2.69,2.71,2.7,2.69
1,Avg household size of renter-occupied unit,MD,Anne Arundel,2.43,2.44,2.49,2.51,2.55,2.55,2.54,2.54,2.52,2.49
36,Owner-Occupied,MD,Anne Arundel,392733,394978,395753,399382,403125,404835,407646,414139,416883,419134
37,Renter-Occupied,MD,Anne Arundel,115399,121022,126713,129456,132119,135214,135999,134014,134026,135035
0,Avg household size of owner-occupied unit,MD,Baltimore,2.6,2.6,2.61,2.62,2.64,2.66,2.66,2.66,2.67,2.67
1,Avg household size of renter-occupied unit,MD,Baltimore,2.22,2.25,2.28,2.32,2.35,2.38,2.4,2.43,2.4,2.4
36,Owner-Occupied,MD,Baltimore,549412,548823,545960,548350,548675,551424,548374,548556,549266,552438
37,Renter-Occupied,MD,Baltimore,231051,234049,241183,243368,248296,250677,256494,259424,257942,255209
0,Avg household size of owner-occupied unit,MD,Calvert,2.97,2.97,2.95,2.95,2.93,2.92,2.88,2.87,2.87,2.88
1,Avg household size of renter-occupied unit,MD,Calvert,2.33,2.42,2.41,2.49,2.6,2.68,2.75,2.84,2.78,2.62
36,Owner-Occupied,MD,Calvert,76476,75900,74535,74301,73941,74151,74221,75332,75561,78044
37,Renter-Occupied,MD,Calvert,10608,11774,13576,14356,15172,15313,15656,14845,14895,12865
0,Avg household size of owner-occupied unit,MD,Caroline,2.7,2.73,2.76,2.76,2.7,2.72,2.68,2.68,2.69,2.74
1,Avg household size of renter-occupied unit,MD,Caroline,2.8,2.7,2.67,2.65,2.75,2.65,2.67,2.7,2.66,2.63
