,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,MD,Allegany,2426,2343,2375,2158,2289,2406,2658,2619,2660,2574
41,Units in Structure: 1 DETACHED,MD,Allegany,22927,23135,23412,23685,23481,23275,23185,23105,23040,23203
42,Units in Structure: 10-19,MD,Allegany,784,716,686,657,635,747,650,637,657,688
43,Units in Structure: 2,MD,Allegany,1903,1977,1992,1862,1642,1451,1327,1325,1393,1470
44,Units in Structure: 20-49,MD,Allegany,320,367,399,354,362,335,322,323,406,398
45,Units in Structure: 3-4,MD,Allegany,1203,1176,1275,1182,1381,1456,1432,1398,1417,1187
46,Units in Structure: 5-9,MD,Allegany,1511,1512,1283,1412,1573,1560,1666,1548,1487,1316
47,Units in Structure: 50+,MD,Allegany,979,881,819,843,830,862,863,869,629,771
48,"Units in Structure: Boat,RV,Van,Etc.",MD,Allegany,0,0,0,0,0,0,0,6,11,8
49,Units in Structure: Mobile Home,MD,Allegany,1203,1188,1063,1118,1093,1170,1108,1216,1262,1285
40,Units in Structure: 1 ATTACHED,MD,Anne Arundel,39349,40079,40106,39726,40625,41301,41631,42104,42729,43834
41,Units in Structure: 1 DETACHED,MD,Anne Arundel,129866,130569,131407,132564,133648,133578,133897,134701,136039,135933
42,Units in Structure: 10-19,MD,Anne Arundel,16897,17115,17385,17977,17697,17601,18217,17790,17441,17570
43,Units in Structure: 2,MD,Anne Arundel,1745,1537,1557,1537,1408,1598,1648,1698,1616,1634
44,Units in Structure: 20-49,MD,Anne Arundel,3080,3607,4027,4150,4282,4581,4276,4034,4006,4452
45,Units in Structure: 3-4,MD,Anne Arundel,2768,2422,2021,1970,2103,1939,2191,2219,2207,2106
46,Units in Structure: 5-9,MD,Anne Arundel,7728,7422,7718,7277,7266,7196,7319,7252,7184,7116
47,Units in Structure: 50+,MD,Anne Arundel,4126,4444,4598,4976,5165,5591,5917,6430,7213,7751
48,"Units in Structure: Boat,RV,Van,Etc.",MD,Anne Arundel,50,38,42,46,6,17,20,30,25,29
49,Units in Structure: Mobile Home,MD,Anne Arundel,4017,4144,3999,3968,3697,4143,4203,4383,4129,3953
40,Units in Structure: 1 ATTACHED,MD,Baltimore,79728,79671,80235,81057,82016,81428,81723,82134,82003,80982
41,Units in Structure: 1 DETACHED,MD,Baltimore,156130,157207,158052,157768,158074,159185,158891,157473,157283,157927
42,Units in Structure: 10-19,MD,Baltimore,38658,39598,40038,40119,39768,39858,39476,38943,39078,38903
43,Units in Structure: 2,MD,Baltimore,4403,4363,4276,4225,3716,3717,3753,3807,3720,3984
44,Units in Structure: 20-49,MD,Baltimore,5782,5593,5584,5384,5391,5098,5287,5447,5714,5595
45,Units in Structure: 3-4,MD,Baltimore,7017,6711,6409,6336,6517,6311,6433,6086,6189,6393
46,Units in Structure: 5-9,MD,Baltimore,22960,22240,21322,20891,21215,20565,20479,21311,20933,21101
47,Units in Structure: 50+,MD,Baltimore,15211,15824,16204,16670,16654,17512,17961,18177,18924,19464
48,"Units in Structure: Boat,RV,Van,Etc.",MD,Baltimore,55,133,161,160,145,153,99,94,95,99
49,Units in Structure: Mobile Home,MD,Baltimore,3231,3284,3007,3069,2785,2855,2929,2886,2615,2604
40,Units in Structure: 1 ATTACHED,MD,Calvert,1920,2025,1923,2074,2113,2063,2299,2421,2590,2876
41,Units in Structure: 1 DETACHED,MD,Calvert,28849,29211,29172,29293,29637,29943,29800,30312,30293,30089
42,Units in Structure: 10-19,MD,Calvert,557,616,571,583,626,567,548,487,476,397
43,Units in Structure: 2,MD,Calvert,335,304,514,461,373,282,367,129,107,149
44,Units in Structure: 20-49,MD,Calvert,251,261,255,275,267,285,258,264,241,261
45,Units in Structure: 3-4,MD,Calvert,97,81,196,192,157,172,216,88,137,195
46,Units in Structure: 5-9,MD,Calvert,151,140,128,188,147,166,144,145,149,202
47,Units in Structure: 50+,MD,Calvert,518,455,505,482,506,555,641,660,712,648
48,"Units in Structure: Boat,RV,Van,Etc.",MD,Calvert,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,MD,Calvert,542,468,529,448,369,351,340,279,298,338
40,Units in Structure: 1 ATTACHED,MD,Caroline,327,295,261,332,407,520,552,563,490,411
41,Units in Structure: 1 DETACHED,MD,Caroline,10499,10501,10686,10669,10704,10712,10755,10888,10983,10894
42,Units in Structure: 10-19,MD,Caroline,192,143,140,170,128,125,158,129,117,157
43,Units in Structure: 2,MD,Caroline,214,246,264,214,251,290,351,308,324,231
44,Units in Structure: 20-49,MD,Caroline,57,96,74,50,73,50,39,43,40,44
45,Units in Structure: 3-4,MD,Caroline,211,337,323,353,333,384,362,377,428,490
46,Units in Structure: 5-9,MD,Caroline,526,464,463,423,449,429,395,434,438,529
47,Units in Structure: 50+,MD,Caroline,67,72,70,100,84,42,56,49,23,28
48,"Units in Structure: Boat,RV,Van,Etc.",MD,Caroline,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,MD,Caroline,1334,1316,1208,1171,1085,973,857,773,738,804
40,Units in Structure: 1 ATTACHED,MD,Carroll,5878,5933,5890,6315,6419,6434,6618,6683,6513,6517
41,Units in Structure: 1 DETACHED,MD,Carroll,47903,48319,48587,48369,48869,48933,48760,48910,48880,48758
42,Units in Structure: 10-19,MD,Carroll,2646,2383,2216,2145,2057,2037,2101,2034,2039,2158
43,Units in Structure: 2,MD,Carroll,1388,1252,1292,1287,1182,1066,992,985,973,1024
44,Units in Structure: 20-49,MD,Carroll,444,470,538,539,545,716,608,555,503,501
45,Units in Structure: 3-4,MD,Carroll,1198,1191,1317,1226,1060,1183,1252,1142,1326,1407
46,Units in Structure: 5-9,MD,Carroll,914,968,905,956,963,959,1050,1123,1124,1083
47,Units in Structure: 50+,MD,Carroll,808,1011,1005,1049,1029,1083,1109,1048,1197,1220
48,"Units in Structure: Boat,RV,Van,Etc.",MD,Carroll,0,0,0,0,8,8,54,57,55,50
49,Units in Structure: Mobile Home,MD,Carroll,848,723,629,613,585,500,579,674,789,846
40,Units in Structure: 1 ATTACHED,MD,Cecil,3959,3852,3540,3407,3003,3264,3350,3210,3421,3693
41,Units in Structure: 1 DETACHED,MD,Cecil,28725,28758,29002,28984,28932,28769,29287,29223,29275,29746
