,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MD,2.75,2.76,2.75,2.77,2.77,2.76,2.75,2.76,2.78,2.74
1,Avg household size of renter-occupied unit,MD,2.47,2.48,2.49,2.5,2.54,2.56,2.53,2.51,2.43,2.46
2,House Heating Fuel: Electric,MD,832013,856488,860277,865922,858626,883862,907586,923094,944809,939646
3,House Heating Fuel: Fuel Oil,MD,240788,223651,219631,214092,207401,197050,196298,186636,176897,176841
4,House Heating Fuel: Gas,MD,947948,941650,964693,955665,973472,968764,964198,965820,956824,976786
5,House Heating Fuel: Propane,MD,63253,66964,66558,67436,71602,72692,74399,75324,80754,78176
6,House Heating Fuel: Wood,MD,26358,28097,28271,33464,31229,29110,25816,27746,26454,24667
25,Median Number of Rooms,MD,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
26,Number of Rooms: 1,MD,28529,28777,29251,28509,24633,38344,41194,39471,43051,45133
27,Number of Rooms: 2,MD,40692,35163,39267,41355,40519,46936,47154,51163,54226,55396
28,Number of Rooms: 3,MD,186726,183240,184884,186767,184619,171820,182020,181295,184818,192337
29,Number of Rooms: 4,MD,301903,322925,307962,301699,314394,322487,315861,322170,315981,321819
30,Number of Rooms: 5,MD,351790,348961,360750,350227,372098,354302,347834,334343,341409,341505
31,Number of Rooms: 6,MD,404345,411799,407470,415888,416853,409427,410379,404882,408183,398405
32,Number of Rooms: 7,MD,337169,340860,335667,337231,328089,332108,333828,351293,326145,324853
33,Number of Rooms: 8,MD,271861,268997,272034,269767,269039,274685,279693,267109,287529,278086
34,Number of Rooms: 9+,MD,457590,450786,458350,472734,472073,484356,489248,497397,497437,512773
35,Owner-Occupied,MD,3918121,3963309,3942625,3977420,3958099,3968442,3982324,4064807,4122063,4084603
36,Renter-Occupied,MD,1729486,1726593,1800473,1810435,1878494,1897703,1893588,1846709,1780208,1820578
37,Total Housing Units,MD,2380605,2391508,2395635,2404177,2422317,2434465,2447211,2449123,2458779,2470307
38,Total Population,MD,5785982,5828289,5884563,5928814,5976407,6006401,6016447,6052177,6042718,6045680
39,Units in Structure: 1 ATTACHED,MD,502203,508563,507817,516511,516405,519418,530167,527114,517969,517506
40,Units in Structure: 1 DETACHED,MD,1223207,1229850,1237115,1233806,1240633,1244383,1252355,1254425,1257981,1265441
41,Units in Structure: 10-19,MD,208594,202836,195345,207028,207733,208087,201188,192247,201584,201758
42,Units in Structure: 2,MD,41291,35135,40192,38481,38682,37531,37393,35560,35257,36577
43,Units in Structure: 20-49,MD,47499,55434,54290,52962,56010,50536,56729,53315,58276,55788
44,Units in Structure: 3-4,MD,54252,49618,54896,52097,58044,61783,53787,51684,52908,52225
45,Units in Structure: 5-9,MD,116327,120985,115500,118376,122665,117562,118632,130110,121967,120814
46,Units in Structure: 50+,MD,145616,146658,151194,146661,148026,159010,162019,167608,178771,184029
47,"Units in Structure: Boat,RV,Van,Etc.",MD,1102,773,946,563,637,874,1267,742,795,399
48,Units in Structure: Mobile Home,MD,40514,41656,38340,37692,33482,35281,33674,36318,33271,35770
49,Year Built: 1940-1949,MD,151156,147024,142245,131309,131699,131583,127816,128710,128649,129318
50,Year Built: 1950-1959,MD,280798,295080,283783,293889,284225,277378,279579,277861,282780,284617
51,Year Built: 1960-1969,MD,299955,278622,294299,280216,282689,291416,277433,283487,282532,289250
52,Year Built: 1970-1979,MD,359860,351877,351607,343749,342029,349899,357167,358422,332053,331998
53,Year Built: 1980-1989,MD,380942,384267,372712,378433,374202,378485,377081,371153,373335,377237
54,Year Built: 1990-1999,MD,330480,331167,334003,349782,361491,349206,344529,352201,351133,350028
55,Year Built: 2000-2009,MD,176126,176684,296290,295293,294872,293384,282541,269177,278926,269754
56,Year Built: 2010-2013,MD,114860,130120,20903,32938,49422,64301,69707,62329,64899,57669
57,Year Built: 2014 or later,MD,,,,,,11675.0,35141.0,51493.0,77684.0,103519.0
58,Year Built: before 1940,MD,286428,296667,299793,298568,301688,287138,296217,294290,286788,276917
