,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,MD,502203,508563,507817,516511,516405,519418,530167,527114,517969,517506
40,Units in Structure: 1 DETACHED,MD,1223207,1229850,1237115,1233806,1240633,1244383,1252355,1254425,1257981,1265441
41,Units in Structure: 10-19,MD,208594,202836,195345,207028,207733,208087,201188,192247,201584,201758
42,Units in Structure: 2,MD,41291,35135,40192,38481,38682,37531,37393,35560,35257,36577
43,Units in Structure: 20-49,MD,47499,55434,54290,52962,56010,50536,56729,53315,58276,55788
44,Units in Structure: 3-4,MD,54252,49618,54896,52097,58044,61783,53787,51684,52908,52225
45,Units in Structure: 5-9,MD,116327,120985,115500,118376,122665,117562,118632,130110,121967,120814
46,Units in Structure: 50+,MD,145616,146658,151194,146661,148026,159010,162019,167608,178771,184029
47,"Units in Structure: Boat,RV,Van,Etc.",MD,1102,773,946,563,637,874,1267,742,795,399
48,Units in Structure: Mobile Home,MD,40514,41656,38340,37692,33482,35281,33674,36318,33271,35770
