,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,MD,151156,147024,142245,131309,131699,131583,127816,128710,128649,129318
50,Year Built: 1950-1959,MD,280798,295080,283783,293889,284225,277378,279579,277861,282780,284617
51,Year Built: 1960-1969,MD,299955,278622,294299,280216,282689,291416,277433,283487,282532,289250
52,Year Built: 1970-1979,MD,359860,351877,351607,343749,342029,349899,357167,358422,332053,331998
53,Year Built: 1980-1989,MD,380942,384267,372712,378433,374202,378485,377081,371153,373335,377237
54,Year Built: 1990-1999,MD,330480,331167,334003,349782,361491,349206,344529,352201,351133,350028
55,Year Built: 2000-2009,MD,176126,176684,296290,295293,294872,293384,282541,269177,278926,269754
56,Year Built: 2010-2013,MD,114860,130120,20903,32938,49422,64301,69707,62329,64899,57669
57,Year Built: 2014 or later,MD,,,,,,11675.0,35141.0,51493.0,77684.0,103519.0
58,Year Built: before 1940,MD,286428,296667,299793,298568,301688,287138,296217,294290,286788,276917
