,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Maryland, Annual (Dollars per Thousand Cubic Feet)",5.36,6.78,4.94,6.87,7.77,9.99,10.62,9.24,10.23,8.02,6.49,6.26,5.67,5.37,6.36,5.01,4.18,4.73,5.03,4.82
"Maryland Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",9.78,11.66,9.61,11.01,12.39,14.8,16.36,15.17,16.07,13.73,12.44,12.1,12.17,11.67,12.21,12.03,11.53,12.97,11.79,12.55
"Maryland Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",8.08,10.15,6.9,8.12,9.33,11.97,13.28,12.3,13.12,10.87,9.87,10.29,10.0,10.06,10.52,9.8,8.94,10.27,9.57,10.14
"Electricity price in the residential sector, Maryland (Dollars per million Btu)",23.31,22.49,22.69,22.64,22.86,24.79,28.47,34.86,40.56,43.91,41.97,39.02,37.62,38.85,39.94,40.5,41.7,40.91,38.97,38.44
"Electricity price in the commercial sector, Maryland (Dollars per million Btu)",19.38,18.89,18.83,20.37,22.14,26.28,30.96,33.93,37.43,35.12,34.45,33.05,30.58,31.31,32.69,32.24,32.22,31.51,30.58,29.21
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),7.957977606392864,9.79048666418138,7.021442621492548,9.545304945652175,10.515297446376012,13.079391141360292,13.47024112166225,11.39282409908172,12.149972544064221,9.555785239903992,7.608301555421046,7.115269581145546,6.313766997987681,5.893302525842233,6.868821494201889,5.404264647555716,4.452530322284952,4.932929843025912,5.121164267907067,4.82
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),14.520339737037723,16.837326623061195,13.65912218472538,15.297497445652175,16.767636468545536,19.37687576497821,20.75076692564919,18.70445255228027,19.086027251526104,16.35921837205509,14.583554907463453,13.753156858124779,13.551771493035288,12.807232863422506,13.186841264812116,12.976707327364323,12.28174033874294,13.526448216500228,12.003683244259305,12.55
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),11.996354302174316,14.656849504637318,9.807278155526028,11.28207804347826,12.62647685645923,15.671702899107377,16.844143323509858,15.165772339686706,15.582369479777379,12.951544333884836,11.570714383976227,11.695866452074707,11.13539153084247,11.040339554929771,11.361635553302493,10.571216276655893,9.522875856752982,10.71061088538607,9.743447722439488,10.14
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),34.6082944039212,32.47611284328012,32.2503103404182,31.45643434782609,30.93689827852711,32.4562669063385,36.11090063406066,42.98201819199012,48.172325160043485,52.318519935683824,49.20191314037308,44.35108930611809,41.89134293902937,42.635903748411685,43.13533498088418,43.687169306588125,44.418783358680024,42.66515007995561,39.676296524918165,38.44
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),28.77343395744285,27.277624349024524,26.763919951964507,28.302454402173915,29.96250778156563,34.40704696646131,39.269177507218764,41.83533784435527,44.454884880188054,41.84528399319553,40.38613075258167,37.56544083975404,34.05202730131627,34.36113632851402,35.30531047884587,34.777144159121015,34.320700235411756,32.86186455681744,31.134235251013532,29.21
Inflation Adjustment Factor (2019),1.4846973146255342,1.4440245817376667,1.4213446602211635,1.3894184782608696,1.3533201346687276,1.3092483624985276,1.2683842864088748,1.2329896211127402,1.187680600592788,1.1914944189406473,1.1723114877382197,1.1366245337293206,1.1135391530842471,1.0974492599333767,1.0800033795914918,1.0786955384342747,1.0651986416949646,1.0429027152274655,1.018124108927846,1.0
