,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,MD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,88.485,5607.91,1074.26,544.08,210.65,32.61
2,MD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,21.021,13423.13,171.82,154.42,0.0,2.4299999999999997
3,MD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,68.828,30289.08,489.55,501.74,332.99,4.37
4,MD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,275.245,52444.62,1385.63,600.21,245.49,4.25
5,MD,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,338.376,80839.69,1059.25,765.33,0.0,2.26
6,MD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,743.004,8789.01,1364.42,496.4,1.97,21.19
7,MD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,711.246,22144.02,1489.93,639.15,100.76,10.07
8,MD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,676.836,32028.84,1461.93,674.29,6.71,6.69
9,MD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,2252.707,57614.3,1697.65,543.26,5.35,3.9
10,MD,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,3111.63,110591.77,1780.06,436.32,30.11,2.03
11,MD,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,27.702,1346.21,0.0,0.0,0.0,0.0
12,MD,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,18.79,23749.48,1121.79,1224.89,144.12,10.489999999999998
13,MD,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,11.885,24623.33,1222.9,1305.98,168.44,10.95
14,MD,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,43.548,34213.15,2503.26,219.69,811.39,10.33
15,MD,OWNER,1940-59,1 ATTACHED,OTHER,400%+,25.921,0.0,0.0,0.0,0.0,
