,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Maryland (Million cubic feet)",72921,73598,74795,72803,69719,69199,73423,65163,70048,69539,68080,70423,67500,64716,73012,68399,71896,70670,74918,75138,66428,69235,75122,76871,76688,76552,85533,77500,68057,74848,84082,70691,80122,90669,86382,85768,71345,83457,81180,82699,83830,77838,70346,83341,90542,82858,76047,75789,86397,81845,
"Natural gas consumed by (delivered to) the commercial sector, Maryland (Million cubic feet)",25895,28282,30325,29638,29725,25204,28169,27546,27402,31532,28576,32055,30871,30758,25299,24134,23816,25544,25879,26920,24051,38117,42464,43635,44136,46874,45842,49802,57370,58103,55669,59802,63999,70557,70195,69718,62868,70852,70411,69119,67555,67505,64146,71145,74843,70199,70500,72279,77310,76349,
"Natural gas consumed by the industrial sector, Maryland (Million cubic feet)",43885,47751,60674,60525,57397,43008,43509,37918,35751,58739,54414,64439,56201,46254,57267,54685,52571,58458,64195,66272,61849,47150,49720,48843,47692,48964,50025,65957,38533,37214,40067,27412,27183,21829,23360,23772,23015,20413,21153,23926,23371,21220,17626,13989,14734,14765,15400,15744,16227,18336,
"Natural gas consumed by the electric power sector, Maryland (Million cubic feet)",11436,9423,7043,8869,13513,451,231,317,519,9820,5230,5998,936,1800,1294,1372,2194,11757,5336,22903,20941,21201,15190,10084,15212,18882,11951,15524,21515,22842,28926,17520,22273,10995,12045,20478,21830,23079,19910,18039,30728,21136,49211,24556,20403,39770,49486,50724,97671,96274,
"Residential carbon dioxide emissions, natural gas, Maryland (million metric tons CO2)",,,,,,,,,,,3.68399,3.788564,3.64563,3.50556,3.974528,3.752698,3.950652,3.874463,4.100803,4.1129,3.620269,3.765219,4.093003,4.190681,4.191583,4.163357,4.669464,4.250794,3.743731,4.104729,4.607706,3.89107,4.405295,4.993481,4.751649,4.768733,3.924761,4.592426,4.459572,4.545205,4.562502,4.244162,3.873349,4.613436,5.060916,4.641132,4.24013,4.211426,4.786826,,
"Commercial carbon dioxide emissions, natural gas, Maryland (million metric tons CO2)",,,,,,,,,,,1.546337,1.724448,1.667306,1.666085,1.377192,1.324082,1.308696,1.400431,1.41656,1.473543,1.310765,2.072924,2.313642,2.378743,2.412381,2.54932,2.50263,2.731569,3.155811,3.186371,3.050652,3.291689,3.518771,3.885817,3.861252,3.87632,3.458446,3.898816,3.86799,3.798857,3.676721,3.680753,3.531929,3.93829,4.183412,3.93203,3.930862,4.01639,4.283371,,
"Industrial carbon dioxide emissions, natural gas, Maryland (million metric tons CO2)",,,,,,,,,,,2.944486,3.46667,3.035372,2.505495,3.117451,3.000301,2.888776,3.204941,3.51389,3.62759,3.370743,2.564176,2.708967,2.662649,2.606727,2.662967,2.731039,3.617669,2.119614,2.040825,2.195697,1.508879,1.494606,1.202211,1.284979,1.321695,1.266091,1.123263,1.162047,1.315009,1.271981,1.15706,0.970513,0.774362,0.823546,0.827047,0.858669,0.874851,0.896233,,
"Natural Gas Citygate Price in Maryland, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.57,4.26,3.83,3.18,3.15,3.2,3.16,3.05,3.2,3.53,3.38,2.87,4.02,4.02,4.12,3.45,5.36,6.78,4.94,6.87,7.77,9.99,10.62,9.24,10.23,8.02,6.49,6.26,5.67,5.37,6.36,5.01,4.18,4.73,5.03,4.82,
"Maryland Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.45,1.51,1.65,1.68,0.5,2.33,2.57,3.18,3.4,3.76,4.46,5.07,6.12,7.42,7.44,7.25,6.88,6.37,5.9,6.3,6.45,6.16,6.43,7.08,6.95,6.62,7.6,8.36,8.29,8.41,9.78,11.66,9.61,11.01,12.39,14.8,16.36,15.17,16.07,13.73,12.44,12.1,12.17,11.67,12.21,12.03,11.53,12.97,11.79,12.55,13.29
"Maryland Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.11,1.15,1.22,1.26,1.43,1.99,2.16,2.72,2.96,3.17,3.96,4.48,5.55,6.71,6.66,6.38,5.74,5.1,5.09,5.43,5.35,5.04,5.24,5.72,5.46,5.06,6.08,6.52,6.64,6.94,8.08,10.15,6.9,8.12,9.33,11.97,13.28,12.3,13.12,10.87,9.87,10.29,10.0,10.06,10.52,9.8,8.94,10.27,9.57,10.14,10.81
