,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,MA,Barnstable,6845,7252,7158,7074,7349,18514,18799,18237,18154,18078
51,Year Built: 1950-1959,MA,Barnstable,16831,16605,17667,17667,18044,21462,21516,21756,21633,21348
52,Year Built: 1960-1969,MA,Barnstable,20738,20819,20374,20571,20691,32233,31987,31618,31513,32421
53,Year Built: 1970-1979,MA,Barnstable,33499,33442,33106,32955,31863,32404,32997,33085,33763,33433
54,Year Built: 1980-1989,MA,Barnstable,34088,33798,34197,33415,33322,15294,15565,16145,16251,16350
55,Year Built: 1990-1999,MA,Barnstable,16716,15954,15611,15586,15419,13476,13130,13082,12372,12508
56,Year Built: 2000-2009,MA,Barnstable,8233,8833,11727,13183,13493,727,1077,1389,1751,2114
57,Year Built: 2010-2013,MA,Barnstable,1813,2490,140,257,400,63,235,605,927,1423
58,Year Built: before 1940,MA,Barnstable,20075,20498,20040,19778,20372,6987,6792,6558,6117,5655
50,Year Built: 1940-1949,MA,Berkshire,5435,5047,5354,5210,5218,8180,8038,7918,7716,7708
51,Year Built: 1950-1959,MA,Berkshire,8792,8943,8714,8528,8329,6178,6078,6263,6406,6374
52,Year Built: 1960-1969,MA,Berkshire,6865,6610,6570,6392,6382,7809,7441,7431,7550,7525
53,Year Built: 1970-1979,MA,Berkshire,7270,7646,7900,7742,8030,6550,6631,6664,6489,6560
54,Year Built: 1980-1989,MA,Berkshire,6866,6697,6802,6803,6744,4503,4341,4102,4366,4049
55,Year Built: 1990-1999,MA,Berkshire,3410,3769,3975,4181,4468,3907,4014,3859,3797,3586
56,Year Built: 2000-2009,MA,Berkshire,1996,2050,3174,3417,3605,226,279,492,564,732
57,Year Built: 2010-2013,MA,Berkshire,765,889,30,91,178,6,21,92,199,343
58,Year Built: before 1940,MA,Berkshire,26965,26764,25930,26020,25475,5418,5495,5202,5234,5170
50,Year Built: 1940-1949,MA,Bristol,14104,14336,14385,13969,13245,23436,23588,23791,23319,23972
51,Year Built: 1950-1959,MA,Bristol,21415,21738,21936,22533,22619,21688,21052,21895,22462,22666
52,Year Built: 1960-1969,MA,Bristol,22042,22377,22156,21755,21377,27709,27891,28103,28816,29140
53,Year Built: 1970-1979,MA,Bristol,28989,28744,28388,28046,28012,25009,25373,25412,24547,24950
54,Year Built: 1980-1989,MA,Bristol,25510,25186,24833,24595,24867,21150,20934,21439,21501,21294
55,Year Built: 1990-1999,MA,Bristol,20237,20614,20973,20621,21187,16025,15983,16108,15793,16009
56,Year Built: 2000-2009,MA,Bristol,9833,9791,15237,16177,16874,1649,2166,2605,2848,3078
57,Year Built: 2010-2013,MA,Bristol,4130,5239,305,616,1085,88,485,964,1700,2638
58,Year Built: before 1940,MA,Bristol,83012,82000,82056,81964,81465,13239,12949,12474,12874,13133
50,Year Built: 1940-1949,MA,Dukes,707,669,609,544,498,769,809,887,1023,1075
51,Year Built: 1950-1959,MA,Dukes,673,655,656,630,746,996,1046,808,745,838
52,Year Built: 1960-1969,MA,Dukes,989,936,1038,1089,1067,2676,2790,2773,2836,2750
53,Year Built: 1970-1979,MA,Dukes,2558,2632,2705,2645,2757,4315,4160,4150,4165,4014
54,Year Built: 1980-1989,MA,Dukes,4070,4101,4047,4125,4079,2672,2630,3076,3099,2901
55,Year Built: 1990-1999,MA,Dukes,3029,3074,2613,2494,2573,2296,2303,2301,2574,2637
56,Year Built: 2000-2009,MA,Dukes,745,1043,1654,1855,2189,62,134,194,273,294
57,Year Built: 2010-2013,MA,Dukes,129,200,35,36,27,0,9,12,16,78
58,Year Built: before 1940,MA,Dukes,3909,3701,3783,3846,3411,453,430,453,307,313
50,Year Built: 1940-1949,MA,Essex,16606,17129,16897,17084,16874,33520,32589,32648,32578,32940
51,Year Built: 1950-1959,MA,Essex,33754,34314,34622,34141,33882,29606,29956,29684,30118,30406
52,Year Built: 1960-1969,MA,Essex,32231,31643,31204,30831,30037,29621,30149,30463,31364,31453
