,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,MA,5.5,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5
26,Number of Rooms: 1,MA,62623,72485,60417,62174,75913,74478,73657,78578,79427,68818
27,Number of Rooms: 2,MA,80803,78996,87534,90002,87412,85045,92265,92892,101561,106345
28,Number of Rooms: 3,MA,287288,295662,277202,275995,289261,290069,285861,287506,294654,310853
29,Number of Rooms: 4,MA,454420,439375,444421,444392,446441,456967,452638,457207,466691,461025
30,Number of Rooms: 5,MA,516066,520737,503015,523346,518634,523532,517915,527949,511314,514017
31,Number of Rooms: 6,MA,491338,496266,499655,503556,488506,492728,497031,493289,504664,498977
32,Number of Rooms: 7,MA,340726,346694,344615,335426,346754,343861,347495,344342,355393,356435
33,Number of Rooms: 8,MA,261589,251465,269470,258519,253708,255605,260247,262397,262156,273394
34,Number of Rooms: 9+,MA,313874,317348,324065,320231,321963,323520,330978,350430,339183,338954
