,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Massachusetts (Million cubic feet)",82646,83434,86171,83988,85495,90226,95107,93214,86756,80839,94424,96679,97633,91788,96817,97803,102295,104847,108631,111661,106809,102955,119670,121228,119642,105795,114365,112308,102062,105709,114077,106636,109279,125879,112780,118617,103882,115199,132817,132883,125602,129217,115310,116867,126902,126662,112082,121181,130296,135116,
"Natural gas consumed by (delivered to) the commercial sector, Massachusetts (Million cubic feet)",35356,36994,36778,39288,37384,37812,37763,40598,45657,46701,53462,50131,61286,39640,41271,41382,43661,46522,48915,51508,50618,53188,64352,65429,84534,82270,96187,105813,90092,65136,63793,61677,64763,62590,56879,56665,52283,61504,72303,71546,72053,81068,73040,99781,105801,105171,104850,109470,118779,121518,
"Natural gas consumed by the industrial sector, Massachusetts (Million cubic feet)",22556,25673,28892,25722,24409,23986,20261,22995,26030,21382,28943,30198,19299,34958,37344,33157,23896,34149,31577,35588,44326,54750,70872,71087,65451,63526,61822,64821,63033,78074,74864,81184,85951,44128,43546,47774,43316,46334,44700,39400,44239,47590,43928,46677,45581,44554,45721,47004,47524,48770,
"Natural gas consumed by the electric power sector, Massachusetts (Million cubic feet)",5668,9695,7782,5969,7306,1437,2488,3049,1557,6886,5083,6892,15288,24396,32132,45161,14875,40183,19874,50423,60894,60774,75486,77781,100149,128212,102639,117259,101682,93126,88089,96294,128852,169252,157400,152429,168970,183231,154984,150161,185842,185903,179598,154217,134858,156795,156433,162964,133711,112746,
"Residential carbon dioxide emissions, natural gas, Massachusetts (million metric tons CO2)",,,,,,,,,,,5.092273,5.214728,5.293835,4.971091,5.26285,5.313042,5.56713,5.727786,5.937094,6.141044,5.866582,5.67892,6.598445,6.692939,6.501511,5.758134,6.225563,6.074246,5.497573,5.94622,6.32149,5.914439,6.000762,6.866594,6.153512,6.385688,5.565326,6.207471,7.138085,7.266217,6.887392,7.052929,6.325416,6.403144,6.894024,6.917157,6.1264,6.621578,7.124555,,
"Commercial carbon dioxide emissions, natural gas, Massachusetts (million metric tons CO2)",,,,,,,,,,,2.883205,2.70398,3.323045,2.146832,2.243448,2.248011,2.376143,2.541467,2.673366,2.832802,2.780222,2.933821,3.548271,3.61231,4.593699,4.477717,5.236056,5.722957,4.852828,3.663987,3.53506,3.420829,3.556282,3.414197,3.103497,3.050546,2.800968,3.314132,3.885817,3.912239,3.951024,4.424873,4.00668,5.467012,5.747735,5.743543,5.731128,5.981662,6.494773,,
"Industrial carbon dioxide emissions, natural gas, Massachusetts (million metric tons CO2)",,,,,,,,,,,1.560874,1.62884,1.046437,1.893274,2.029948,1.801221,1.300472,1.865579,1.725774,1.957207,2.434664,3.019985,3.907783,3.924708,3.556707,3.457544,3.365331,3.505878,3.395308,4.391766,4.148554,4.50276,4.719762,2.407181,2.375931,2.571922,2.320592,2.496688,2.402353,2.154419,2.425857,2.597548,2.409728,2.557437,2.476208,2.433126,2.499128,2.568367,2.598609,,
"Natural Gas Citygate Price in Massachusetts, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.15,4.17,3.59,2.96,3,3.2,3.34,3.37,3.52,3.98,3.98,3.53,3.98,3.85,4.01,3.74,5.43,6.64,4.96,7.36,8.2,10.64,11,9.34,10.29,8.29,7.74,7.04,6.03,6.2,6.96,5.72,4.49,5.28,6.37,5.53,
"Massachusetts Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.92,2.12,2.29,2.4,2.71,3.15,3.64,3.95,4.17,4.55,5.42,6.37,7.54,8.32,7.83,7.83,7.41,6.64,6.47,7.16,7.82,8.11,7.92,8.33,8.94,9.04,8.88,9.43,9.42,9.25,9.91,12.8,10.05,12.52,14.41,15.43,17.66,16.99,17.18,14.85,14.53,13.81,13.22,13.49,14.5,13.02,12.46,13.32,15.47,14.72,
"Massachusetts Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.42,1.6,1.71,1.81,2.15,2.65,3.08,3.43,3.54,3.84,4.72,5.73,6.42,7.42,7.18,7.04,6.65,5.92,6.11,5.87,6.35,6.17,5.86,6.04,6.82,6.59,6.74,7.34,7.32,7.63,8.61,11.41,8.81,10.96,12.48,14.29,15.74,15.08,15.25,12.85,12.0,11.68,10.68,11.25,12.48,10.81,9.48,10.16,12.84,11.32,11.03
