,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,MI,Alcona,All Sectors,Ammonia,CAP,1715.196432093849,TON
1,MI,Alcona,All Sectors,Carbon Monoxide,CAP,25041.001886278325,TON
2,MI,Alcona,All Sectors,Nitrogen Oxides,CAP,4840.883532188891,TON
3,MI,Alcona,All Sectors,PM10 Primary (Filt + Cond),CAP,2042.7273203979823,TON
4,MI,Alcona,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1485.5182495232812,TON
5,MI,Alcona,All Sectors,Sulfur Dioxide,CAP,36972.23406890616,TON
6,MI,Alcona,All Sectors,Volatile Organic Compounds,CAP,16244.961339501164,TON
7,MI,Alger,All Sectors,Ammonia,CAP,1715.196432093849,TON
8,MI,Alger,All Sectors,Carbon Monoxide,CAP,25041.001886278325,TON
9,MI,Alger,All Sectors,Nitrogen Oxides,CAP,4840.883532188891,TON
10,MI,Alger,All Sectors,PM10 Primary (Filt + Cond),CAP,2042.7273203979823,TON
11,MI,Alger,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1485.5182495232812,TON
12,MI,Alger,All Sectors,Sulfur Dioxide,CAP,36972.23406890616,TON
13,MI,Alger,All Sectors,Volatile Organic Compounds,CAP,16244.961339501164,TON
14,MI,Allegan,All Sectors,Ammonia,CAP,1715.196432093849,TON
15,MI,Allegan,All Sectors,Carbon Monoxide,CAP,25041.001886278325,TON
16,MI,Allegan,All Sectors,Nitrogen Oxides,CAP,4840.883532188891,TON
17,MI,Allegan,All Sectors,PM10 Primary (Filt + Cond),CAP,2042.7273203979823,TON
18,MI,Allegan,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1485.5182495232812,TON
19,MI,Allegan,All Sectors,Sulfur Dioxide,CAP,36972.23406890616,TON
20,MI,Allegan,All Sectors,Volatile Organic Compounds,CAP,16244.961339501164,TON
21,MI,Allegan,All Sectors,Carbon Dioxide,GHG,4837592.58721924,TON
22,MI,Allegan,All Sectors,Methane,GHG,29679.06883211553,TON
23,MI,Allegan,All Sectors,Nitrous Oxide,GHG,11.0365762012,TON
24,MI,Alpena,All Sectors,Ammonia,CAP,1715.196432093849,TON
25,MI,Alpena,All Sectors,Carbon Monoxide,CAP,25041.001886278325,TON
