,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,MI,Alcona,5.1,5.1,5.0,4.9,4.8,4.8,4.7,4.7,4.8,4.9
27,Number of Rooms: 1,MI,Alcona,138,203,227,281,330,283,251,332,327,347
28,Number of Rooms: 2,MI,Alcona,240,333,319,401,488,536,575,595,598,519
29,Number of Rooms: 3,MI,Alcona,896,1029,1165,1354,1465,1581,1688,1637,1521,1538
30,Number of Rooms: 4,MI,Alcona,2188,2022,1975,2118,2358,2351,2403,2451,2461,2243
31,Number of Rooms: 5,MI,Alcona,3543,3453,3419,3065,2749,2647,2515,2309,2422,2558
32,Number of Rooms: 6,MI,Alcona,2021,1983,1987,1873,1804,1755,1704,1625,1625,1615
33,Number of Rooms: 7,MI,Alcona,1052,1015,937,953,863,887,939,1098,1104,1185
34,Number of Rooms: 8,MI,Alcona,527,529,524,512,545,570,530,563,622,654
35,Number of Rooms: 9+,MI,Alcona,482,517,513,479,459,446,426,507,497,529
26,Median Number of Rooms,MI,Alger,5.3,5.1,5.1,5.0,4.9,4.8,4.7,4.7,4.7,4.7
27,Number of Rooms: 1,MI,Alger,43,81,89,103,148,174,158,189,206,224
28,Number of Rooms: 2,MI,Alger,154,175,176,188,247,246,203,277,330,309
29,Number of Rooms: 3,MI,Alger,613,639,746,820,831,897,931,913,971,979
30,Number of Rooms: 4,MI,Alger,1229,1339,1263,1392,1440,1566,1613,1708,1574,1543
31,Number of Rooms: 5,MI,Alger,1573,1595,1579,1536,1557,1571,1593,1588,1560,1593
32,Number of Rooms: 6,MI,Alger,1417,1286,1206,1102,1000,943,924,884,894,859
33,Number of Rooms: 7,MI,Alger,715,638,622,608,520,425,416,478,494,567
34,Number of Rooms: 8,MI,Alger,320,293,333,389,455,459,436,363,330,284
35,Number of Rooms: 9+,MI,Alger,474,489,545,436,382,300,324,252,312,333
26,Median Number of Rooms,MI,Allegan,6.0,6.0,6.1,6.1,6.0,6.0,6.1,6.0,6.1,6.1
27,Number of Rooms: 1,MI,Allegan,171,157,252,256,240,223,354,332,348,368
28,Number of Rooms: 2,MI,Allegan,637,575,318,328,401,560,667,708,694,638
29,Number of Rooms: 3,MI,Allegan,2785,2505,2443,2596,2483,2452,2457,2259,2187,2377
30,Number of Rooms: 4,MI,Allegan,6600,6505,6346,6333,6225,6322,6097,6245,6014,5893
31,Number of Rooms: 5,MI,Allegan,9545,9499,9223,9705,9902,9746,9825,10526,10143,10265
32,Number of Rooms: 6,MI,Allegan,10294,10452,10487,9937,10104,10129,9693,9872,10496,10552
33,Number of Rooms: 7,MI,Allegan,7806,7829,7967,7956,8002,7898,8180,8082,8122,8236
34,Number of Rooms: 8,MI,Allegan,4953,5177,5444,5175,5172,5339,5188,4889,5369,5416
35,Number of Rooms: 9+,MI,Allegan,6258,6551,6908,7093,7012,7023,7380,7523,7399,7432
26,Median Number of Rooms,MI,Alpena,5.5,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.6
27,Number of Rooms: 1,MI,Alpena,122,240,220,228,244,270,177,183,197,257
28,Number of Rooms: 2,MI,Alpena,573,467,467,583,466,453,462,414,354,408
29,Number of Rooms: 3,MI,Alpena,1515,1515,1424,1376,1357,1404,1486,1433,1407,1302
30,Number of Rooms: 4,MI,Alpena,2404,2315,2406,2441,2514,2486,2632,2498,2371,2260
31,Number of Rooms: 5,MI,Alpena,3419,3360,3161,3228,3357,3268,3207,3479,3585,3538
32,Number of Rooms: 6,MI,Alpena,3100,3088,3155,2947,3133,3054,3026,3078,3229,3135
33,Number of Rooms: 7,MI,Alpena,2274,2287,2393,2346,2131,2208,2111,2012,2048,2361
34,Number of Rooms: 8,MI,Alpena,1158,1218,1176,1222,1202,1256,1294,1272,1247,1266
35,Number of Rooms: 9+,MI,Alpena,1420,1526,1618,1617,1585,1584,1578,1662,1606,1529
