,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MI,2.61,2.63,2.6,2.6,2.6,2.6,2.58,2.57,2.56,2.56
1,Avg household size of renter-occupied unit,MI,2.34,2.37,2.34,2.35,2.34,2.31,2.29,2.26,2.24,2.21
2,House Heating Fuel: Electric,MI,284011,296289,321209,341965,342353,356677,368144,386300,407077,403782
3,House Heating Fuel: Fuel Oil,MI,61775,55621,54189,47991,47572,45398,43761,40755,40558,39166
4,House Heating Fuel: Gas,MI,2955744,2921386,2942881,2931318,2942704,2958300,2981789,3006588,3009520,3031018
5,House Heating Fuel: Propane,MI,331330,330972,320522,319698,314434,314724,318742,321684,332085,335186
6,House Heating Fuel: Wood,MI,128481,125518,134225,132347,129455,129857,116271,115077,110656,105400
25,Median Number of Rooms,MI,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8
26,Number of Rooms: 1,MI,54205,60027,59677,55581,54046,66096,70324,67208,71633,71760
27,Number of Rooms: 2,MI,77281,81732,81034,83120,82950,88312,89589,89682,93843,88648
28,Number of Rooms: 3,MI,322047,315051,327753,327904,336050,332312,342330,336889,334204,338070
29,Number of Rooms: 4,MI,660111,660773,654539,651522,645087,641517,627241,637031,643443,650659
30,Number of Rooms: 5,MI,973385,949316,955611,940956,949885,927030,933758,920585,927250,923471
31,Number of Rooms: 6,MI,909722,908811,917789,903499,905336,915316,898631,897647,901229,902895
32,Number of Rooms: 7,MI,603687,624937,598537,611729,602694,601248,593369,615820,598592,601081
33,Number of Rooms: 8,MI,418743,419679,416643,412055,415018,425563,428836,432199,435053,439968
34,Number of Rooms: 9+,MI,512050,505328,513498,538900,549022,552930,576086,598213,609305,613053
35,Owner-Occupied,MI,7224789,7117399,7066317,7017528,7009596,7058371,7053813,7191838,7211830,7274469
36,Renter-Occupied,MI,2423717,2529719,2590415,2651632,2673561,2637020,2644021,2540617,2557816,2488889
37,Total Housing Units,MI,4531231,4525654,4525081,4525266,4540088,4550324,4560164,4595274,4614552,4629605
38,Total Population,MI,9877574,9876187,9883360,9895622,9909877,9922576,9928300,9962311,9995915,9986857
39,Units in Structure: 1 ATTACHED,MI,205446,203734,218303,218340,207520,205695,225030,204451,207484,214550
40,Units in Structure: 1 DETACHED,MI,3244036,3249245,3245548,3254100,3270743,3289353,3278986,3331905,3312713,3322812
41,Units in Structure: 10-19,MI,169748,154922,163386,166915,165208,167103,160701,159995,166822,162923
42,Units in Structure: 2,MI,128863,118013,114813,111734,115604,109983,104381,107770,106495,111862
43,Units in Structure: 20-49,MI,91274,99862,100597,90774,91230,91882,98157,95644,100223,100243
44,Units in Structure: 3-4,MI,117919,117982,116450,112561,121538,120479,118783,118485,121591,122591
45,Units in Structure: 5-9,MI,189818,190285,195516,189561,194644,192459,187942,196420,198181,199926
46,Units in Structure: 50+,MI,134775,137620,122968,134127,130584,140189,144926,140570,148573,146026
47,"Units in Structure: Boat,RV,Van,Etc.",MI,737,743,819,1416,1243,957,798,1245,969,1405
48,Units in Structure: Mobile Home,MI,248615,253248,246681,245738,241774,232224,240460,238789,251501,247267
49,Year Built: 1940-1949,MI,380416,368881,366981,357459,368244,359895,347721,352585,354393,334358
50,Year Built: 1950-1959,MI,695361,708476,708429,684911,682451,692470,678668,697812,687005,680118
51,Year Built: 1960-1969,MI,556083,551778,550071,552588,547502,544607,544383,543548,545232,553159
52,Year Built: 1970-1979,MI,708069,691913,697190,709351,692301,691303,713124,713126,699698,710427
53,Year Built: 1980-1989,MI,458374,449484,447741,450020,440716,452511,461467,454596,452254,447907
54,Year Built: 1990-1999,MI,572594,580791,579306,584313,600854,594130,603573,598228,611665,603050
55,Year Built: 2000-2009,MI,319145,319961,476471,459850,457878,454174,456173,438573,447210,447095
56,Year Built: 2010-2013,MI,138664,168214,16807,25749,44816,58662,57257,54633,59413,56123
57,Year Built: 2014 or later,MI,,,,,,11160.0,31613.0,57380.0,84623.0,116642.0
58,Year Built: before 1940,MI,702525,686156,682085,701025,705326,691412,666185,684793,673059,680726
