,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,MN,All Sectors,Ammonia,CAP,4485.559867685893,TON
1,MN,All Sectors,Carbon Monoxide,CAP,97789.45355748541,TON
2,MN,All Sectors,Nitrogen Oxides,CAP,2678.461590910699,TON
3,MN,All Sectors,PM10 Primary (Filt + Cond),CAP,11245.241743686443,TON
4,MN,All Sectors,PM2.5 Primary (Filt + Cond),CAP,2868.377618651097,TON
5,MN,All Sectors,Sulfur Dioxide,CAP,815.845626609799,TON
6,MN,All Sectors,Volatile Organic Compounds,CAP,13512.158913250423,TON
7,MN,All Sectors,Carbon Dioxide,GHG,1180474.889895859,TON
8,MN,All Sectors,Methane,GHG,535.6298406421471,TON
9,MN,All Sectors,Nitrous Oxide,GHG,23.001916823760002,TON
10,MN,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,6760.17722981,TON
11,MN,Agriculture - Fertilizer Application,Ammonia,CAP,1528.0,TON
12,MN,Agriculture - Livestock Waste,Ammonia,CAP,2822.70982252,TON
13,MN,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,358.572908603,TON
14,MN,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,2180.259,TON
15,MN,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,1407.6746,TON
16,MN,Commercial Cooking,Carbon Monoxide,CAP,0.152460294,TON
17,MN,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,22.4283787,TON
18,MN,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,37.189245,TON
19,MN,Commercial Cooking,Volatile Organic Compounds,CAP,0.867887099,TON
20,MN,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,1.6399508000000005,TON
21,MN,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,99.08363,TON
22,MN,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,2311.8938,TON
23,MN,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,230.0881,TON
24,MN,Fires - Agricultural Field Burning,Ammonia,CAP,0.607,TON
25,MN,Fires - Agricultural Field Burning,Carbon Monoxide,CAP,35.28,TON
26,MN,Fires - Agricultural Field Burning,Nitrogen Oxides,CAP,0.627,TON
27,MN,Fires - Agricultural Field Burning,PM10 Primary (Filt + Cond),CAP,14.649999999999999,TON
28,MN,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,3.38,TON
29,MN,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.1629,TON
30,MN,Fires - Agricultural Field Burning,Volatile Organic Compounds,CAP,8.95,TON
31,MN,Fires - Prescribed Fires,Ammonia,CAP,43.5799559,TON
32,MN,Fires - Prescribed Fires,Carbon Monoxide,CAP,11668.156149,TON
33,MN,Fires - Prescribed Fires,Nitrogen Oxides,CAP,91.286801,TON
34,MN,Fires - Prescribed Fires,PM10 Primary (Filt + Cond),CAP,488.280693,TON
35,MN,Fires - Prescribed Fires,PM2.5 Primary (Filt + Cond),CAP,1049.375145,TON
36,MN,Fires - Prescribed Fires,Sulfur Dioxide,CAP,1.4694372,TON
37,MN,Fires - Prescribed Fires,Volatile Organic Compounds,CAP,519.39782,TON
