,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,MN,Aitkin,1195,1152,1195,1260,1276,1314,1271,1310,1218,1161
4,House Heating Fuel: Fuel Oil,MN,Aitkin,448,472,459,368,327,324,260,254,249,269
5,House Heating Fuel: Gas,MN,Aitkin,1044,1085,1086,1048,1054,1036,1130,1079,1150,1156
6,House Heating Fuel: Propane,MN,Aitkin,3710,3616,3547,3512,3557,3591,3600,3767,3832,3893
7,House Heating Fuel: Wood,MN,Aitkin,1382,1359,1332,1374,1249,1212,1249,1169,1175,1105
3,House Heating Fuel: Electric,MN,Anoka,10857,11490,11913,12170,12782,12703,12642,12914,12851,12954
4,House Heating Fuel: Fuel Oil,MN,Anoka,1223,998,967,839,750,619,642,588,527,469
5,House Heating Fuel: Gas,MN,Anoka,103104,103713,103976,104772,104835,106245,106917,107495,108393,109619
6,House Heating Fuel: Propane,MN,Anoka,2694,2560,2608,2729,2891,2756,2733,2797,2765,2970
7,House Heating Fuel: Wood,MN,Anoka,1036,948,969,891,818,787,886,768,694,712
3,House Heating Fuel: Electric,MN,Becker,3946,4084,4186,4164,4319,4424,4314,4230,4300,4061
4,House Heating Fuel: Fuel Oil,MN,Becker,1219,1083,963,864,792,769,651,648,583,566
5,House Heating Fuel: Gas,MN,Becker,3198,3260,3314,3363,3277,3278,3380,3398,3341,3496
6,House Heating Fuel: Propane,MN,Becker,3571,3541,3466,3487,3487,3455,3450,3515,3582,3829
7,House Heating Fuel: Wood,MN,Becker,1272,1337,1349,1350,1404,1325,1362,1354,1343,1307
3,House Heating Fuel: Electric,MN,Beltrami,4605,4909,5313,5177,5455,5351,5040,4797,5015,4824
4,House Heating Fuel: Fuel Oil,MN,Beltrami,896,827,601,658,719,695,636,646,572,496
5,House Heating Fuel: Gas,MN,Beltrami,5069,4899,4854,4931,4666,4644,5042,5316,5231,5467
6,House Heating Fuel: Propane,MN,Beltrami,4277,4118,4047,4184,4122,4125,4226,4399,4470,4577
7,House Heating Fuel: Wood,MN,Beltrami,1642,1646,1753,1734,1662,1670,1648,1534,1512,1537
3,House Heating Fuel: Electric,MN,Benton,3022,3173,3300,3498,3377,3442,3514,3898,3932,4188
4,House Heating Fuel: Fuel Oil,MN,Benton,748,704,607,474,446,412,340,313,310,305
5,House Heating Fuel: Gas,MN,Benton,8243,8423,8472,8347,8556,8721,8793,8753,8863,9005
6,House Heating Fuel: Propane,MN,Benton,1923,1834,1826,1846,1906,1898,1894,1894,1994,1935
7,House Heating Fuel: Wood,MN,Benton,575,611,689,694,708,671,661,633,601,521
3,House Heating Fuel: Electric,MN,Big Stone,585,619,592,587,565,539,571,598,707,683
4,House Heating Fuel: Fuel Oil,MN,Big Stone,324,294,275,263,238,178,121,134,129,121
5,House Heating Fuel: Gas,MN,Big Stone,533,537,571,639,642,655,648,596,549,623
6,House Heating Fuel: Propane,MN,Big Stone,761,798,739,732,732,785,756,818,779,761
7,House Heating Fuel: Wood,MN,Big Stone,81,59,54,33,38,32,42,39,38,38
3,House Heating Fuel: Electric,MN,Blue Earth,2674,2874,3076,3124,3094,3122,3343,3323,3560,3774
4,House Heating Fuel: Fuel Oil,MN,Blue Earth,458,432,366,334,330,265,201,222,227,204
5,House Heating Fuel: Gas,MN,Blue Earth,16730,16725,16842,17155,17370,17533,17565,17933,17896,17943
6,House Heating Fuel: Propane,MN,Blue Earth,3305,3262,3266,3165,3169,3200,3231,3313,3313,3445
7,House Heating Fuel: Wood,MN,Blue Earth,255,328,326,332,366,361,339,332,321,280
3,House Heating Fuel: Electric,MN,Brown,1033,1083,1292,1255,1319,1252,1172,1271,1522,1692
4,House Heating Fuel: Fuel Oil,MN,Brown,588,566,472,462,423,366,341,324,331,300
5,House Heating Fuel: Gas,MN,Brown,6749,6782,6656,6726,6725,6725,6758,6684,6554,6497
6,House Heating Fuel: Propane,MN,Brown,1773,1778,1833,1806,1801,1843,1884,1927,1838,1780
7,House Heating Fuel: Wood,MN,Brown,206,223,229,243,232,277,281,266,260,274
3,House Heating Fuel: Electric,MN,Carlton,2101,2273,2275,2223,2330,2200,2179,2261,2496,2386
4,House Heating Fuel: Fuel Oil,MN,Carlton,2220,2051,1817,1667,1359,1222,1120,1008,913,988
5,House Heating Fuel: Gas,MN,Carlton,4751,4930,5020,5111,5138,5167,4874,4938,4760,4728
6,House Heating Fuel: Propane,MN,Carlton,3417,3296,3325,3496,3468,3490,3727,3889,3957,4171
7,House Heating Fuel: Wood,MN,Carlton,1116,1135,1192,1134,1083,1153,1200,1146,1127,1086
3,House Heating Fuel: Electric,MN,Carver,2988,3617,3812,3989,4060,4523,4394,4523,4380,4698
4,House Heating Fuel: Fuel Oil,MN,Carver,853,723,637,543,551,497,459,403,418,369
5,House Heating Fuel: Gas,MN,Carver,25211,25313,25507,25873,26072,26181,26841,27125,27733,28419
6,House Heating Fuel: Propane,MN,Carver,2472,2477,2419,2407,2490,2611,2655,2646,2672,2664
7,House Heating Fuel: Wood,MN,Carver,345,321,349,381,372,339,320,277,256,230
3,House Heating Fuel: Electric,MN,Cass,3008,3072,3206,3513,3511,3464,3473,3395,3280,3278
4,House Heating Fuel: Fuel Oil,MN,Cass,787,699,654,559,533,500,447,438,447,418
5,House Heating Fuel: Gas,MN,Cass,1611,1582,1561,1603,1595,1748,1836,2054,2157,2284
6,House Heating Fuel: Propane,MN,Cass,5502,5517,5375,5065,5028,5120,4993,5047,5091,5205
7,House Heating Fuel: Wood,MN,Cass,1888,1943,1989,2028,2060,1853,1859,1789,1764,1726
3,House Heating Fuel: Electric,MN,Chippewa,1027,1013,1139,1131,1098,979,994,900,949,1034
4,House Heating Fuel: Fuel Oil,MN,Chippewa,658,629,512,482,397,387,426,354,338,292
5,House Heating Fuel: Gas,MN,Chippewa,2089,2127,2029,2020,2102,2240,2301,2585,2619,2589
6,House Heating Fuel: Propane,MN,Chippewa,1255,1253,1253,1200,1175,1094,966,932,937,1064
7,House Heating Fuel: Wood,MN,Chippewa,70,107,105,114,114,103,72,76,67,63
3,House Heating Fuel: Electric,MN,Chisago,1700,1705,1903,2119,1987,2085,2240,2206,2208,2159
4,House Heating Fuel: Fuel Oil,MN,Chisago,541,473,420,422,399,357,360,268,263,286
5,House Heating Fuel: Gas,MN,Chisago,12942,13169,13160,12786,12924,12999,12956,13151,13314,13520
