,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,MN,Aitkin,4.9,4.9,5.0,5.0,5.0,5.1,5.1,5.2,5.2,5.3
27,Number of Rooms: 1,MN,Aitkin,511,503,507,493,477,496,507,511,519,604
28,Number of Rooms: 2,MN,Aitkin,781,752,746,708,695,578,593,600,666,622
29,Number of Rooms: 3,MN,Aitkin,1955,2040,1975,1990,1930,1791,1670,1681,1587,1550
30,Number of Rooms: 4,MN,Aitkin,3386,3187,3141,3114,3044,3125,3106,3091,3005,2996
31,Number of Rooms: 5,MN,Aitkin,3562,3408,3439,3400,3499,3435,3498,3519,3458,3295
32,Number of Rooms: 6,MN,Aitkin,2173,2250,2306,2320,2320,2558,2652,2617,2659,2697
33,Number of Rooms: 7,MN,Aitkin,1328,1404,1452,1466,1541,1542,1668,1721,1904,1958
34,Number of Rooms: 8,MN,Aitkin,1099,1240,1271,1259,1295,1299,1231,1433,1400,1393
35,Number of Rooms: 9+,MN,Aitkin,1035,1125,1174,1241,1259,1288,1293,1305,1401,1628
26,Median Number of Rooms,MN,Anoka,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6
27,Number of Rooms: 1,MN,Anoka,595,659,784,771,766,1310,1254,1247,1317,1413
28,Number of Rooms: 2,MN,Anoka,1365,1465,1385,1371,1678,1768,1671,1719,1828,1806
29,Number of Rooms: 3,MN,Anoka,7179,7223,7057,7267,7658,7261,7301,7335,7231,7645
30,Number of Rooms: 4,MN,Anoka,14464,14806,14491,15060,15495,15653,15533,15226,15115,15268
31,Number of Rooms: 5,MN,Anoka,20108,20039,19979,19546,19913,19441,19152,19186,18815,18429
32,Number of Rooms: 6,MN,Anoka,19451,19299,19343,19419,18876,19576,19922,20220,20772,20479
33,Number of Rooms: 7,MN,Anoka,19933,19678,19870,19529,18935,18542,18772,18261,18802,19364
34,Number of Rooms: 8,MN,Anoka,17555,17299,17021,17328,17559,17963,18228,18738,18495,18981
35,Number of Rooms: 9+,MN,Anoka,24875,25788,26962,27174,27213,27266,27419,28318,28776,28752
26,Median Number of Rooms,MN,Becker,5.7,5.7,5.7,5.7,5.8,5.9,6.0,6.2,6.2,6.1
27,Number of Rooms: 1,MN,Becker,159,146,141,125,58,67,86,119,164,190
28,Number of Rooms: 2,MN,Becker,472,521,529,585,565,611,554,516,446,449
29,Number of Rooms: 3,MN,Becker,1490,1472,1523,1633,1523,1521,1514,1413,1370,1550
30,Number of Rooms: 4,MN,Becker,2845,2743,2833,2903,2907,2853,2817,2641,2628,2753
31,Number of Rooms: 5,MN,Becker,3889,3831,3597,3562,3553,3358,3229,3178,3209,3295
32,Number of Rooms: 6,MN,Becker,2789,2907,3156,2981,3018,2952,2796,2753,2859,2873
33,Number of Rooms: 7,MN,Becker,2366,2331,2251,2238,2337,2324,2439,2579,2492,2450
34,Number of Rooms: 8,MN,Becker,1692,1746,1752,1807,1804,2090,2124,2150,2145,1977
35,Number of Rooms: 9+,MN,Becker,2865,2992,3039,3046,3198,3284,3558,4047,4236,4167
26,Median Number of Rooms,MN,Beltrami,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.5,5.5
27,Number of Rooms: 1,MN,Beltrami,352,497,544,462,549,510,429,507,559,634
28,Number of Rooms: 2,MN,Beltrami,709,764,607,585,576,560,479,523,613,698
29,Number of Rooms: 3,MN,Beltrami,1818,1917,1982,1978,1823,1739,1844,1837,1688,1890
30,Number of Rooms: 4,MN,Beltrami,3481,3315,3628,3816,4003,4264,4012,3678,3724,3619
31,Number of Rooms: 5,MN,Beltrami,4456,4379,4341,4259,4289,4274,4459,4486,4315,4038
32,Number of Rooms: 6,MN,Beltrami,3023,3145,2936,2967,2958,3036,3212,3436,3558,3506
33,Number of Rooms: 7,MN,Beltrami,2236,2034,2061,1975,2172,2128,2153,2193,2391,2276
34,Number of Rooms: 8,MN,Beltrami,1744,1732,1693,1812,1694,1668,1782,1910,1853,2027
35,Number of Rooms: 9+,MN,Beltrami,2270,2531,2646,2652,2571,2546,2464,2615,2703,2907
26,Median Number of Rooms,MN,Benton,5.8,5.9,5.9,5.8,5.9,5.9,5.9,5.8,5.8,5.8
27,Number of Rooms: 1,MN,Benton,65,63,55,61,133,163,196,304,362,248
28,Number of Rooms: 2,MN,Benton,315,336,296,390,436,464,540,596,642,771
29,Number of Rooms: 3,MN,Benton,1530,1523,1575,1580,1529,1459,1489,1565,1647,1678
30,Number of Rooms: 4,MN,Benton,3000,2707,2695,2785,2701,2606,2612,2716,2761,2687
31,Number of Rooms: 5,MN,Benton,2375,2541,2443,2379,2422,2589,2395,2434,2364,2329
32,Number of Rooms: 6,MN,Benton,2370,2501,2583,2594,2529,2400,2625,2691,2591,2797
33,Number of Rooms: 7,MN,Benton,2459,2391,2249,2183,2444,2218,2122,2103,2049,2009
34,Number of Rooms: 8,MN,Benton,1703,1712,1784,1681,1567,1691,1681,1642,1787,1841
35,Number of Rooms: 9+,MN,Benton,2249,2359,2475,2541,2512,2785,2836,2682,2690,2733
26,Median Number of Rooms,MN,Big Stone,6.1,6.1,6.2,6.2,6.3,6.1,6.1,6.1,6.1,6.0
27,Number of Rooms: 1,MN,Big Stone,26,22,31,37,43,60,50,40,49,44
28,Number of Rooms: 2,MN,Big Stone,114,108,110,94,89,104,72,71,86,100
29,Number of Rooms: 3,MN,Big Stone,247,252,244,202,196,233,215,207,270,253
30,Number of Rooms: 4,MN,Big Stone,439,389,371,425,389,384,425,476,473,489
31,Number of Rooms: 5,MN,Big Stone,487,509,477,487,492,486,517,498,439,424
