,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MN,Aitkin,2.1,2.12,2.09,2.1,2.11,2.08,2.04,2.04,2.01,2.02
1,Avg household size of renter-occupied unit,MN,Aitkin,1.83,1.77,1.89,1.77,1.8,1.9,1.96,1.91,2.06,2.07
36,Owner-Occupied,MN,Aitkin,13437,13627,13389,13286,13323,13015,12856,13010,12757,12729
37,Renter-Occupied,MN,Aitkin,2739,2482,2555,2502,2382,2548,2596,2566,2817,2842
0,Avg household size of owner-occupied unit,MN,Anoka,2.76,2.76,2.75,2.75,2.76,2.76,2.77,2.78,2.78,2.78
1,Avg household size of renter-occupied unit,MN,Anoka,2.35,2.42,2.46,2.47,2.45,2.46,2.44,2.43,2.46,2.43
36,Owner-Occupied,MN,Anoka,274943,274295,274074,274287,275246,274266,276815,280915,282567,285284
37,Renter-Occupied,MN,Anoka,48267,51730,54230,56319,57845,61490,61486,60948,61866,61913
0,Avg household size of owner-occupied unit,MN,Becker,2.48,2.48,2.47,2.48,2.48,2.48,2.5,2.52,2.53,2.54
1,Avg household size of renter-occupied unit,MN,Becker,2.02,1.98,2.05,2.1,2.1,2.14,2.21,2.23,2.24,2.19
36,Owner-Occupied,MN,Becker,26190,26320,26548,26376,26569,26599,26645,26507,26899,27115
37,Renter-Occupied,MN,Becker,5619,5648,5586,5961,5936,6064,6262,6576,6396,6414
0,Avg household size of owner-occupied unit,MN,Beltrami,2.53,2.57,2.61,2.6,2.61,2.63,2.61,2.59,2.6,2.62
1,Avg household size of renter-occupied unit,MN,Beltrami,2.39,2.52,2.42,2.48,2.47,2.49,2.47,2.46,2.41,2.39
36,Owner-Occupied,MN,Beltrami,30753,30532,30842,30799,30687,30421,30372,30226,30222,30525
37,Renter-Occupied,MN,Beltrami,10952,11740,11821,12189,12444,12880,13016,13377,13666,13687
0,Avg household size of owner-occupied unit,MN,Benton,2.75,2.69,2.65,2.68,2.67,2.64,2.67,2.6,2.62,2.61
1,Avg household size of renter-occupied unit,MN,Benton,1.9,1.96,1.94,1.95,1.97,2.0,1.97,1.97,1.94,1.93
36,Owner-Occupied,MN,Benton,29065,29039,29037,28964,28806,29017,28953,28613,28441,28904
37,Renter-Occupied,MN,Benton,8384,8482,8660,8900,9244,9278,9603,9844,10444,10354
0,Avg household size of owner-occupied unit,MN,Big Stone,2.32,2.23,2.27,2.23,2.29,2.31,2.34,2.26,2.27,2.2
1,Avg household size of renter-occupied unit,MN,Big Stone,1.78,1.83,1.85,1.84,1.71,1.71,1.77,1.84,1.77,1.85
36,Owner-Occupied,MN,Big Stone,4405,4229,4223,4194,4224,4161,4103,3940,3778,3684
37,Renter-Occupied,MN,Big Stone,838,909,871,861,807,819,838,949,1082,1153
0,Avg household size of owner-occupied unit,MN,Blue Earth,2.57,2.57,2.56,2.59,2.59,2.56,2.55,2.53,2.51,2.49
1,Avg household size of renter-occupied unit,MN,Blue Earth,2.27,2.32,2.32,2.25,2.21,2.27,2.29,2.25,2.29,2.28
36,Owner-Occupied,MN,Blue Earth,41281,41288,41355,42108,42075,41105,40309,40161,40042,40354
37,Renter-Occupied,MN,Blue Earth,17793,18542,18848,18534,18720,19959,21298,21803,22461,22609
0,Avg household size of owner-occupied unit,MN,Brown,2.42,2.39,2.41,2.4,2.39,2.39,2.39,2.38,2.38,2.35
1,Avg household size of renter-occupied unit,MN,Brown,1.8,1.86,1.79,1.8,1.83,1.84,1.81,1.81,1.76,1.78
36,Owner-Occupied,MN,Brown,20801,20395,20440,20099,19965,19850,20080,19789,19846,20023
37,Renter-Occupied,MN,Brown,3943,4317,4153,4364,4374,4374,4073,4281,4197,3982
0,Avg household size of owner-occupied unit,MN,Carlton,2.56,2.53,2.56,2.52,2.56,2.6,2.63,2.59,2.59,2.54
1,Avg household size of renter-occupied unit,MN,Carlton,1.9,2.0,2.02,2.15,2.21,2.18,2.18,2.11,2.07,2.09
36,Owner-Occupied,MN,Carlton,28239,28038,27596,27189,27118,27382,27611,27675,27904,27575
37,Renter-Occupied,MN,Carlton,5099,5448,5988,6448,6537,6241,6105,5745,5477,5739
0,Avg household size of owner-occupied unit,MN,Carver,2.86,2.85,2.86,2.86,2.9,2.88,2.89,2.9,2.9,2.87
1,Avg household size of renter-occupied unit,MN,Carver,2.07,2.08,2.21,2.21,2.16,2.24,2.19,2.2,2.25,2.21
36,Owner-Occupied,MN,Carver,77015,77523,76953,78286,79611,79686,80756,83316,84635,86393
37,Renter-Occupied,MN,Carver,10949,11570,13465,13557,13696,15149,15495,14596,14906,14683
0,Avg household size of owner-occupied unit,MN,Cass,2.2,2.18,2.19,2.2,2.19,2.2,2.21,2.2,2.2,2.19
1,Avg household size of renter-occupied unit,MN,Cass,2.1,2.13,2.12,2.08,2.15,2.17,2.22,2.17,2.2,2.21
36,Owner-Occupied,MN,Cass,23769,23244,23065,22962,22826,22828,22804,23031,23409,23490
37,Renter-Occupied,MN,Cass,4519,4891,5050,5152,5322,5353,5484,5419,5232,5386
0,Avg household size of owner-occupied unit,MN,Chippewa,2.51,2.45,2.47,2.46,2.4,2.39,2.42,2.39,2.4,2.4
1,Avg household size of renter-occupied unit,MN,Chippewa,1.89,1.96,1.94,2.11,2.28,2.28,2.26,2.25,2.11,1.94
36,Owner-Occupied,MN,Chippewa,9699,9440,9292,8985,8799,8474,8605,8411,8230,8324
37,Renter-Occupied,MN,Chippewa,2518,2691,2772,3024,3167,3411,3252,3363,3511,3359
0,Avg household size of owner-occupied unit,MN,Chisago,2.68,2.7,2.7,2.75,2.72,2.71,2.72,2.72,2.71,2.72
1,Avg household size of renter-occupied unit,MN,Chisago,2.12,2.18,2.21,2.13,2.15,2.15,2.16,2.14,2.14,2.15
36,Owner-Occupied,MN,Chisago,44889,45338,45197,45543,45490,45598,45815,46228,46775,47477
37,Renter-Occupied,MN,Chisago,5501,6028,6460,6409,6544,6410,6391,6208,6074,5948
0,Avg household size of owner-occupied unit,MN,Clay,2.6,2.61,2.62,2.64,2.67,2.69,2.67,2.66,2.67,2.63
1,Avg household size of renter-occupied unit,MN,Clay,2.04,2.09,2.04,2.08,2.09,2.09,2.09,2.08,2.07,2.09
36,Owner-Occupied,MN,Clay,40169,40464,40986,41129,41732,42766,42900,42879,43524,43278
37,Renter-Occupied,MN,Clay,12731,13362,13762,14320,14383,14143,14541,15275,15530,16558
0,Avg household size of owner-occupied unit,MN,Clearwater,2.34,2.38,2.41,2.44,2.51,2.55,2.58,2.59,2.57,2.6
1,Avg household size of renter-occupied unit,MN,Clearwater,2.02,2.09,2.13,2.23,2.16,2.23,2.29,2.36,2.28,2.36
36,Owner-Occupied,MN,Clearwater,6706,6810,6810,6965,7089,6965,6973,7052,7086,7197
