,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,MN,114546,111288,113599,119621,111546,108783,109029,103026,110375,108685
50,Year Built: 1950-1959,MN,245927,242468,250732,245430,248320,240316,239645,243613,238757,239172
51,Year Built: 1960-1969,MN,233876,234677,226674,227859,237234,239908,224464,234538,233230,229900
52,Year Built: 1970-1979,MN,367722,370246,374107,368034,363096,363551,359075,360669,364482,368617
53,Year Built: 1980-1989,MN,305554,308703,298794,311284,312444,305664,311004,309000,318371,313530
54,Year Built: 1990-1999,MN,311918,316279,325378,325873,325737,333190,322361,320091,329075,336658
55,Year Built: 2000-2009,MN,221960,217016,349671,340949,342273,346114,360017,355254,329476,316236
56,Year Built: 2010-2013,MN,122501,140419,14962,27058,40715,50521,56522,65415,59096,57849
57,Year Built: 2014 or later,MN,,,,,,10029.0,34616.0,56360.0,78074.0,107018.0
58,Year Built: before 1940,MN,424238,412979,407157,402646,403896,399005,392968,389760,394701,399850
