,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MS,Adams,2.54,2.56,2.49,2.53,2.51,2.53,2.56,2.55,2.64,2.66
1,Avg household size of renter-occupied unit,MS,Adams,2.75,2.73,2.66,2.57,2.48,2.44,2.48,2.5,2.41,2.38
36,Owner-Occupied,MS,Adams,21028,21334,20764,20776,20004,19535,18845,18345,18486,18645
37,Renter-Occupied,MS,Adams,11184,10209,10373,9945,10208,10070,10472,10782,10454,10068
0,Avg household size of owner-occupied unit,MS,Alcorn,2.72,2.63,2.62,2.54,2.54,2.53,2.53,2.51,2.52,2.48
1,Avg household size of renter-occupied unit,MS,Alcorn,2.48,2.58,2.48,2.4,2.44,2.4,2.41,2.48,2.53,2.51
36,Owner-Occupied,MS,Alcorn,27305,26483,25968,26503,26238,25751,25460,25884,25931,24913
37,Renter-Occupied,MS,Alcorn,9060,9858,10551,10176,10572,11101,11371,10847,10635,11498
0,Avg household size of owner-occupied unit,MS,Amite,2.6,2.58,2.44,2.44,2.49,2.49,2.43,2.49,2.43,2.34
1,Avg household size of renter-occupied unit,MS,Amite,2.95,2.89,2.93,2.79,2.75,2.87,3.13,2.53,2.68,2.46
36,Owner-Occupied,MS,Amite,10577,10813,10552,10844,10629,10475,10242,10678,10359,10366
37,Renter-Occupied,MS,Amite,2741,2352,2521,2136,2230,2252,2343,1792,2001,1938
0,Avg household size of owner-occupied unit,MS,Attala,2.66,2.66,2.65,2.6,2.56,2.41,2.48,2.52,2.56,2.63
1,Avg household size of renter-occupied unit,MS,Attala,2.62,2.53,2.57,2.79,2.63,2.82,2.84,2.65,2.55,2.54
36,Owner-Occupied,MS,Attala,14616,14299,14353,13728,13310,12971,13067,12763,12903,13227
37,Renter-Occupied,MS,Attala,4693,4892,4742,5296,5630,5842,5657,5607,5317,4851
0,Avg household size of owner-occupied unit,MS,Benton,2.59,2.74,2.76,2.77,2.82,2.78,2.61,2.73,2.67,2.57
1,Avg household size of renter-occupied unit,MS,Benton,2.75,2.57,2.38,2.36,2.68,3.19,2.88,3.01,2.83,2.69
36,Owner-Occupied,MS,Benton,6752,6822,7213,7225,7111,7193,6846,6696,6745,6514
37,Renter-Occupied,MS,Benton,1900,1810,1435,1381,1383,1196,1454,1538,1428,1642
0,Avg household size of owner-occupied unit,MS,Bolivar,2.66,2.6,2.54,2.54,2.46,2.5,2.46,2.48,2.46,2.49
1,Avg household size of renter-occupied unit,MS,Bolivar,2.73,2.74,2.74,2.78,2.8,2.71,2.64,2.7,2.66,2.54
36,Owner-Occupied,MS,Bolivar,18934,18302,17081,17624,17149,17319,16505,16831,16201,16157
37,Renter-Occupied,MS,Bolivar,15188,14627,15535,14884,15186,14824,15506,14739,14849,14278
0,Avg household size of owner-occupied unit,MS,Calhoun,2.57,2.52,2.51,2.52,2.51,2.44,2.44,2.41,2.4,2.32
1,Avg household size of renter-occupied unit,MS,Calhoun,2.37,2.31,2.28,2.32,2.38,2.5,2.62,2.58,2.66,2.78
36,Owner-Occupied,MS,Calhoun,10313,10603,10580,10575,10570,10474,10264,10030,9988,10112
37,Renter-Occupied,MS,Calhoun,4319,4100,4097,4071,4037,4083,4229,4348,4338,4139
0,Avg household size of owner-occupied unit,MS,Carroll,2.64,2.62,2.75,2.73,2.69,2.75,2.75,2.86,2.87,2.68
1,Avg household size of renter-occupied unit,MS,Carroll,2.16,2.34,2.32,2.68,2.65,2.72,2.8,2.55,2.11,2.11
36,Owner-Occupied,MS,Carroll,8583,8707,8781,8531,8625,8560,8414,8365,8477,8328
37,Renter-Occupied,MS,Carroll,1608,1498,1454,1690,1551,1590,1729,1697,1486,1518
0,Avg household size of owner-occupied unit,MS,Chickasaw,2.59,2.61,2.62,2.66,2.69,2.7,2.73,2.76,2.74,2.68
1,Avg household size of renter-occupied unit,MS,Chickasaw,2.55,2.5,2.43,2.37,2.34,2.44,2.47,2.33,2.35,2.36
36,Owner-Occupied,MS,Chickasaw,12562,12564,12551,12867,13105,12894,12908,12611,12534,12090
37,Renter-Occupied,MS,Chickasaw,4890,4657,4573,4202,3944,4180,4130,4392,4363,4637
0,Avg household size of owner-occupied unit,MS,Choctaw,2.5,2.54,2.49,2.46,2.42,2.47,2.58,2.57,2.61,2.49
1,Avg household size of renter-occupied unit,MS,Choctaw,2.03,2.14,2.32,2.36,2.37,2.52,2.55,2.57,2.48,2.59
36,Owner-Occupied,MS,Choctaw,6915,6731,6245,5937,5936,5874,6040,6275,6312,6323
37,Renter-Occupied,MS,Choctaw,1683,1576,2015,2284,2273,2337,2136,1935,1851,1795
0,Avg household size of owner-occupied unit,MS,Claiborne,2.64,2.72,2.91,2.97,2.94,2.92,2.87,2.71,2.83,2.9
1,Avg household size of renter-occupied unit,MS,Claiborne,3.18,2.86,2.44,2.35,2.35,2.34,2.47,2.55,2.71,2.77
36,Owner-Occupied,MS,Claiborne,6894,6941,7334,7571,7119,6507,6199,5936,5818,5863
37,Renter-Occupied,MS,Claiborne,2209,2134,1789,1502,1746,2248,2414,2542,2575,2463
0,Avg household size of owner-occupied unit,MS,Clarke,2.45,2.53,2.54,2.6,2.51,2.5,2.43,2.49,2.54,2.55
1,Avg household size of renter-occupied unit,MS,Clarke,2.53,2.62,2.69,2.73,2.72,2.56,2.51,2.65,2.51,2.38
36,Owner-Occupied,MS,Clarke,12959,13030,13482,13769,13609,13360,13216,13170,12964,13237
37,Renter-Occupied,MS,Clarke,3775,3581,3081,2746,2824,2946,2932,2865,2912,2477
0,Avg household size of owner-occupied unit,MS,Clay,2.56,2.58,2.56,2.53,2.47,2.44,2.43,2.47,2.43,2.49
1,Avg household size of renter-occupied unit,MS,Clay,2.66,2.59,2.63,2.81,2.88,2.86,2.83,2.84,2.74,2.68
36,Owner-Occupied,MS,Clay,14394,14802,14245,13987,13484,13264,12986,13596,13411,13527
37,Renter-Occupied,MS,Clay,5975,5610,6076,6259,6648,6746,6913,6149,6132,5839
0,Avg household size of owner-occupied unit,MS,Coahoma,2.88,2.8,2.82,2.65,2.62,2.66,2.61,2.56,2.59,2.51
1,Avg household size of renter-occupied unit,MS,Coahoma,2.7,2.69,2.66,2.67,2.7,2.58,2.69,2.69,2.68,2.62
36,Owner-Occupied,MS,Coahoma,15367,14221,14132,13392,13162,12981,12477,11768,11781,11140
37,Renter-Occupied,MS,Coahoma,10862,11540,11332,11780,11672,11540,11594,11783,11271,11372
0,Avg household size of owner-occupied unit,MS,Copiah,2.8,2.88,2.86,2.86,2.81,2.78,2.76,2.75,2.77,2.82
1,Avg household size of renter-occupied unit,MS,Copiah,2.61,2.6,2.69,2.73,2.7,2.96,2.99,3.1,3.27,3.32
36,Owner-Occupied,MS,Copiah,22511,22343,21489,21624,21449,21126,20968,20989,20969,20477
37,Renter-Occupied,MS,Copiah,5842,5964,6693,6415,6383,6602,6699,6694,6719,7105
0,Avg household size of owner-occupied unit,MS,Covington,2.66,2.75,2.86,2.77,2.81,2.81,2.81,2.76,2.83,2.83
1,Avg household size of renter-occupied unit,MS,Covington,2.71,2.68,2.66,2.55,2.56,2.53,2.61,2.63,2.56,2.55
36,Owner-Occupied,MS,Covington,16158,16376,16400,16174,16022,15781,16017,15594,15444,14975
37,Renter-Occupied,MS,Covington,3213,2884,2866,3055,3201,3445,3242,3337,3401,3761
0,Avg household size of owner-occupied unit,MS,DeSoto,2.77,2.79,2.77,2.8,2.78,2.79,2.79,2.8,2.8,2.82
1,Avg household size of renter-occupied unit,MS,DeSoto,2.74,2.76,2.88,2.87,2.87,2.82,2.85,2.89,2.89,2.87
36,Owner-Occupied,MS,DeSoto,119560,121666,121729,121900,121524,122783,123437,125102,128185,131240
37,Renter-Occupied,MS,DeSoto,34345,36124,39083,41332,43980,45026,46677,47413,47186,46932
0,Avg household size of owner-occupied unit,MS,Forrest,2.62,2.58,2.61,2.63,2.66,2.62,2.6,2.63,2.66,2.64
1,Avg household size of renter-occupied unit,MS,Forrest,2.37,2.39,2.44,2.51,2.54,2.54,2.57,2.48,2.42,2.43
36,Owner-Occupied,MS,Forrest,42963,42326,41674,41358,41013,40166,39714,40703,40803,40454
37,Renter-Occupied,MS,Forrest,27882,27819,29254,30428,31094,32163,32660,31263,30768,31048
0,Avg household size of owner-occupied unit,MS,Franklin,2.69,2.52,2.47,2.35,2.3,2.35,2.42,2.38,2.46,2.55
1,Avg household size of renter-occupied unit,MS,Franklin,2.81,2.53,2.3,2.57,2.51,2.38,2.72,2.79,2.87,2.8
36,Owner-Occupied,MS,Franklin,6923,6522,6655,6192,6116,5846,5616,5645,5818,5749
37,Renter-Occupied,MS,Franklin,1197,1504,1312,1733,1735,1914,2103,2029,1840,1894
0,Avg household size of owner-occupied unit,MS,George,2.72,2.7,2.68,2.74,2.84,2.95,3.06,3.22,3.2,3.16
1,Avg household size of renter-occupied unit,MS,George,2.73,2.67,2.99,3.28,3.67,3.45,3.19,3.02,2.89,2.72
36,Owner-Occupied,MS,George,17769,17761,17852,18121,18536,18846,19485,19834,19700,19599
37,Renter-Occupied,MS,George,3641,3952,4118,4055,3871,3749,3335,3217,3503,3763
0,Avg household size of owner-occupied unit,MS,Greene,2.66,2.68,2.74,2.7,2.61,2.61,2.63,2.54,2.49,2.6
1,Avg household size of renter-occupied unit,MS,Greene,2.6,2.88,2.84,3.05,2.56,2.48,2.15,2.3,2.19,1.97
36,Owner-Occupied,MS,Greene,9923,9703,9323,9700,9495,8851,9120,9286,8821,8462
37,Renter-Occupied,MS,Greene,1166,1747,2078,1586,1592,1969,1502,1196,1387,1333
0,Avg household size of owner-occupied unit,MS,Grenada,2.34,2.42,2.55,2.68,2.76,2.77,2.72,2.6,2.43,2.41
1,Avg household size of renter-occupied unit,MS,Grenada,2.48,2.56,2.49,2.72,2.97,3.13,3.07,2.81,2.76,2.58
36,Owner-Occupied,MS,Grenada,13727,14733,15335,15644,15726,15097,14483,14007,13337,12940
