,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,MS,Adams,1101,992,888,779,814,1667,1774,1999,1963,2087
51,Year Built: 1950-1959,MS,Adams,2045,1968,1927,1837,1792,3458,3291,3230,3115,3188
52,Year Built: 1960-1969,MS,Adams,2259,2799,3076,3437,3491,4544,4390,3974,3526,3213
53,Year Built: 1970-1979,MS,Adams,3309,3562,3706,4146,4373,1327,1464,1388,1727,2017
54,Year Built: 1980-1989,MS,Adams,2179,1946,1942,1565,1419,1174,1017,1123,1186,1146
55,Year Built: 1990-1999,MS,Adams,1282,1274,1337,1317,1263,632,788,813,939,846
56,Year Built: 2000-2009,MS,Adams,459,450,725,618,587,81,110,102,170,183
57,Year Built: 2010-2013,MS,Adams,206,272,21,18,51,0,15,61,102,108
58,Year Built: before 1940,MS,Adams,1931,1433,1073,918,850,770,774,873,804,769
50,Year Built: 1940-1949,MS,Alcorn,935,889,927,858,1058,1485,1382,1335,1403,1518
51,Year Built: 1950-1959,MS,Alcorn,1818,1871,1857,1789,1503,2492,2445,2362,2147,2229
52,Year Built: 1960-1969,MS,Alcorn,2703,2482,2249,2311,2334,3569,3609,3290,2952,2936
53,Year Built: 1970-1979,MS,Alcorn,3093,3255,3527,3636,3821,2720,2723,2896,3267,3284
54,Year Built: 1980-1989,MS,Alcorn,2999,2864,2784,2719,2626,2686,2824,2798,2543,2568
55,Year Built: 1990-1999,MS,Alcorn,2643,2767,2712,2596,2575,1769,1894,2039,2020,2051
56,Year Built: 2000-2009,MS,Alcorn,825,872,1554,1739,1754,234,256,354,361,435
57,Year Built: 2010-2013,MS,Alcorn,503,630,44,129,256,5,32,118,282,327
58,Year Built: before 1940,MS,Alcorn,1394,1384,1385,1282,1170,904,781,780,984,838
50,Year Built: 1940-1949,MS,Amite,559,510,492,309,188,380,412,467,449,382
51,Year Built: 1950-1959,MS,Amite,390,307,264,238,353,928,1034,916,902,828
52,Year Built: 1960-1969,MS,Amite,990,835,949,962,815,1091,1118,1239,1342,1521
53,Year Built: 1970-1979,MS,Amite,1256,1191,1305,1244,1206,1146,1135,1231,1107,1132
54,Year Built: 1980-1989,MS,Amite,1164,1333,1145,1298,1383,1072,850,850,823,856
55,Year Built: 1990-1999,MS,Amite,827,965,1048,1030,1142,850,901,869,929,1064
56,Year Built: 2000-2009,MS,Amite,507,562,673,695,705,100,129,147,203,191
57,Year Built: 2010-2013,MS,Amite,68,71,37,70,106,11,22,36,87,95
58,Year Built: before 1940,MS,Amite,877,868,725,772,732,286,338,295,358,315
50,Year Built: 1940-1949,MS,Attala,763,797,641,677,613,767,729,716,717,710
51,Year Built: 1950-1959,MS,Attala,747,770,744,682,760,773,853,864,933,926
52,Year Built: 1960-1969,MS,Attala,1390,1227,1194,1090,961,1824,1850,1892,1744,1789
53,Year Built: 1970-1979,MS,Attala,1780,1856,1804,1808,1845,1495,1484,1395,1457,1423
54,Year Built: 1980-1989,MS,Attala,1104,1265,1282,1195,1255,1318,1287,1506,1558,1559
55,Year Built: 1990-1999,MS,Attala,1551,1319,1354,1455,1391,1214,1234,1154,1190,1211
56,Year Built: 2000-2009,MS,Attala,502,501,1057,1053,1190,75,84,110,109,139
57,Year Built: 2010-2013,MS,Attala,242,423,26,24,55,11,74,96,114,122
58,Year Built: before 1940,MS,Attala,1010,954,1020,1124,1061,515,437,486,405,410
50,Year Built: 1940-1949,MS,Benton,269,309,296,217,159,354,334,330,207,240
51,Year Built: 1950-1959,MS,Benton,369,318,207,301,323,762,648,557,495,423
52,Year Built: 1960-1969,MS,Benton,756,939,812,800,776,768,848,862,868,868
53,Year Built: 1970-1979,MS,Benton,710,681,729,667,663,695,717,745,900,1071
54,Year Built: 1980-1989,MS,Benton,616,537,624,657,666,614,578,825,784,658
55,Year Built: 1990-1999,MS,Benton,611,604,498,613,608,706,780,544,553,508
56,Year Built: 2000-2009,MS,Benton,285,333,637,593,724,2,8,56,121,117
57,Year Built: 2010-2013,MS,Benton,86,116,0,0,3,0,12,26,24,37
58,Year Built: before 1940,MS,Benton,371,298,355,329,265,97,81,121,132,120
50,Year Built: 1940-1949,MS,Bolivar,648,779,856,856,740,1536,1501,1751,1722,1700
51,Year Built: 1950-1959,MS,Bolivar,1516,1661,1485,1320,1408,2107,2071,2029,1947,2003
52,Year Built: 1960-1969,MS,Bolivar,2476,2439,2400,2470,2365,3492,3460,3241,2999,3037
53,Year Built: 1970-1979,MS,Bolivar,3035,3019,3161,3234,3507,2428,2378,2504,2700,2440
