,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,MS,2.67,2.67,2.65,2.64,2.66,2.61,2.67,2.65,2.62,2.67
1,Avg household size of renter-occupied unit,MS,2.65,2.68,2.66,2.68,2.62,2.65,2.63,2.63,2.57,2.52
2,House Heating Fuel: Electric,MS,564029,591471,600806,602503,603699,614013,610496,620169,634392,638273
3,House Heating Fuel: Fuel Oil,MS,1863,1796,1565,1319,1067,2122,2470,3032,3171,1503
4,House Heating Fuel: Gas,MS,347171,330395,331549,338085,339414,338181,343978,330678,329840,317472
5,House Heating Fuel: Propane,MS,146694,136201,135562,128930,129561,130201,114510,122558,123545,125039
6,House Heating Fuel: Wood,MS,17256,17645,16701,14648,17236,14941,14521,10490,12482,13671
25,Median Number of Rooms,MS,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.6,5.6
26,Number of Rooms: 1,MS,13444,15213,16252,14088,20058,18363,18839,20003,19460,23302
27,Number of Rooms: 2,MS,20312,18674,20538,21027,22346,20807,21745,21945,17893,16357
28,Number of Rooms: 3,MS,79668,76584,80307,82735,80776,81703,80134,74927,75502,77686
29,Number of Rooms: 4,MS,213264,198953,208861,211773,211347,201699,209459,205493,205830,201444
30,Number of Rooms: 5,MS,337868,353629,337150,336179,337400,343186,334275,337227,334383,324499
31,Number of Rooms: 6,MS,267301,259683,261494,272200,270019,271747,267510,269526,264898,277958
32,Number of Rooms: 7,MS,162460,168488,165544,156548,160540,163135,166303,180934,182383,180096
33,Number of Rooms: 8,MS,88657,94842,99161,88941,93377,97506,101748,102071,112511,115127
34,Number of Rooms: 9+,MS,93467,95694,94590,99701,98875,102786,107479,111628,119771,122578
35,Owner-Occupied,MS,2013606,2012547,1969847,1937247,1968762,1943136,1958013,1985532,1984280,1977353
36,Renter-Occupied,MS,864466,874002,922471,959500,928983,955218,937653,905624,904190,905414
37,Total Housing Units,MS,1276441,1281760,1283897,1283192,1294738,1300932,1307492,1323754,1332631,1339047
38,Total Population,MS,2970036,2978512,2984926,2991207,2994079,2992333,2988726,2984100,2986530,2976149
39,Units in Structure: 1 ATTACHED,MS,15153,15759,16629,17346,13779,15502,15492,12867,16272,14605
40,Units in Structure: 1 DETACHED,MS,881568,891315,884693,888554,898063,903335,906923,908556,914062,920763
41,Units in Structure: 10-19,MS,24730,28955,30709,32431,28458,33226,32501,34988,32100,31199
42,Units in Structure: 2,MS,31682,28506,33142,29227,30449,30274,30928,32196,34725,33719
43,Units in Structure: 20-49,MS,12707,14722,11958,12336,12892,12264,13797,16243,17471,17991
44,Units in Structure: 3-4,MS,37763,38847,37771,42412,37557,37281,41693,39698,39112,41298
45,Units in Structure: 5-9,MS,59295,53721,61529,60523,62638,63776,55091,52464,59711,65085
46,Units in Structure: 50+,MS,12235,12610,11287,14190,17573,14596,12704,15817,14901,16054
47,"Units in Structure: Boat,RV,Van,Etc.",MS,2059,920,1556,896,1751,1543,958,1652,1610,2082
48,Units in Structure: Mobile Home,MS,199249,196405,194623,185277,191578,189135,197405,209273,202667,196251
49,Year Built: 1940-1949,MS,48135,46184,52827,49377,45381,43442,46928,43804,44299,39697
50,Year Built: 1950-1959,MS,100898,101926,93871,93107,101556,94565,104160,98148,90905,98051
51,Year Built: 1960-1969,MS,162308,156150,153879,155969,159300,156932,145440,153746,152433,154780
52,Year Built: 1970-1979,MS,238987,242672,245674,240845,234048,246956,246572,246159,238567,240990
53,Year Built: 1980-1989,MS,203384,198494,194838,191911,191245,193166,195037,185888,203012,197071
54,Year Built: 1990-1999,MS,228619,224818,224006,236151,232746,228088,224102,228604,232389,232591
55,Year Built: 2000-2009,MS,130329,125250,237205,229366,232410,230663,223604,229498,222560,214095
56,Year Built: 2010-2013,MS,102758,121878,19663,24576,37668,39652,44728,45808,46625,41008
57,Year Built: 2014 or later,MS,,,,,,5037.0,18710.0,34878.0,41954.0,57022.0
58,Year Built: before 1940,MS,61023,64388,61934,61890,60384,62431,58211,57221,59887,63742
