,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Mississippi, Annual (Dollars per Thousand Cubic Feet)",4.66,6.0,4.22,6.19,6.44,8.85,9.13,8.47,9.91,6.56,5.73,5.29,3.97,4.44,5.29,3.86,3.78,4.39,4.21,3.77
"Mississippi Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",7.49,10.32,7.76,9.74,10.56,13.31,14.65,13.04,13.96,11.25,10.19,9.47,9.6,9.0,9.51,9.7,10.06,11.83,10.44,10.77
"Mississippi Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",6.51,8.16,6.45,7.74,8.84,12.03,12.25,11.12,12.48,9.48,8.75,7.99,7.37,7.61,8.36,7.87,7.8,8.82,8.5,8.48
"Electricity price in the residential sector, Mississippi (Dollars per million Btu)",20.31,21.61,21.34,22.27,24.07,25.53,28.3,27.43,30.46,29.96,28.93,29.8,30.08,31.58,33.17,33.04,30.67,32.47,32.58,33.02
"Electricity price in the commercial sector, Mississippi (Dollars per million Btu)",19.16,20.72,20.38,21.26,23.42,24.87,27.46,26.15,29.36,27.84,27.3,27.78,27.33,29.6,31.54,30.91,28.06,29.8,30.57,30.83
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.1386868919981383,4.155053920744134,2.9690194912635484,4.45510125052317,4.758667099545087,6.7596036424372095,7.19813395500933,6.869481993170432,8.343994163964437,5.505690916985132,4.887779451052794,4.654131459439162,3.5652091702424777,4.045745131095665,4.898132820659253,3.578396185454503,3.548633890468721,4.209405092058375,4.135055798289088,3.77
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),5.044799317825334,7.14669274367991,5.459618780143397,7.010127008093002,7.8030317657136825,10.166138359416866,11.55012732101716,10.57592032950914,11.75400186972185,9.44192420976871,8.692229076130536,8.33168713060281,8.621160713936469,8.200834725193916,8.805528000844896,8.992342745831264,9.444247867226279,11.343339917779177,10.254152620935407,10.77
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),4.384732117362206,5.650873332212022,4.537956331433623,5.570675877067744,6.532083409934559,9.188478171584139,9.657956292318103,9.01872960614583,10.507875597000622,7.9563948007651,7.463886596284808,7.029586079568791,6.618536923094977,6.934261362080633,7.740716518092884,7.295849217494026,7.3225778692211705,8.45716467242708,8.348687478730936,8.48
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),13.679555960618494,14.965119204546788,15.013951645394343,16.028288343966235,17.78588774628109,19.49973796513243,22.311850046743047,22.246740386383106,25.646625856140943,25.14489327330405,24.677741626345085,26.21798062217146,27.01297023700094,28.775817846847094,30.712866854681934,30.629588074460305,28.792751698591452,31.13425588590785,32.00002800671222,33.02
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),12.904987307013805,14.348786206303075,14.338534889087942,15.301365522798482,17.30558749555061,18.995631930781176,21.649590186698376,21.208613237474232,24.720450923713003,23.365615111107633,23.287326180408602,24.440788647111518,24.543366907487886,26.971634207304433,29.203612318259516,28.654980852953027,26.342504488505902,28.574093791193533,30.025808967624084,30.83
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
