,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",MS,95296,88715,91903,93827,81221,76535,87136,74766,71010,72195
8,"Household Income: $100,000 to $124,999",MS,55251,53866,58247,59797,65541,69573,68367,72090,67746,72151
9,"Household Income: $125,000 to $149,999",MS,24366,26280,28304,28219,33005,33958,37809,38013,41019,47726
10,"Household Income: $15,000 to $19,999",MS,83142,83907,85545,79283,80520,81279,71206,67881,71976,74167
11,"Household Income: $150,000 to $199,999",MS,20460,24260,24910,27471,27306,27290,34786,34602,40305,44171
12,"Household Income: $20,000 to $24,999",MS,82134,75374,78407,71589,69795,76302,70160,71416,68810,63780
13,"Household Income: $200,000 or more",MS,18131,20222,22504,20783,22852,23271,28565,28725,33546,35581
14,"Household Income: $25,000 to $29,999",MS,64372,67515,62452,69462,68950,65864,59619,58955,62732,64942
15,"Household Income: $30,000 to $34,999",MS,65853,67027,66976,61563,66237,62610,62688,59856,59787,58033
16,"Household Income: $35,000 to $39,999",MS,58953,62271,58907,55088,58881,54741,55973,54016,52261,55748
17,"Household Income: $40,000 to $44,999",MS,57348,52351,55329,54598,56207,55265,57215,53330,53030,51897
18,"Household Income: $45,000 to $49,999",MS,45011,46502,44986,47554,43788,48167,41870,46298,49011,43423
19,"Household Income: $50,000 to $59,999",MS,81648,81701,85191,89865,86231,80726,86198,87993,78607,86214
20,"Household Income: $60,000 to $74,999",MS,98300,97213,97962,98755,98137,102716,98865,101643,110274,105304
21,"Household Income: $75,000 to $99,999",MS,106652,102581,95987,102334,111672,119535,117664,123694,131216,122825
22,"Household Income: Less than $10,000",MS,123082,131206,132911,130814,125480,126539,113124,118702,117300,102072
23,Household Income: Total:,MS,1079999,1080991,1090521,1091002,1095823,1104371,1091245,1091980,1108630,1100229
24,Median Household Income,MS,36851.0,36919.0,37095.0,37963.0,39680.0,40593.0,41754.0,43529.0,44717.0,45792.0
