State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MS,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,247713,174374,100356,169796,248205,159558,296001,187134,657280,825457,979957,2805731,2416160,3061649,1768716,1376625,1992759,1803044
MS,Residential Total Volume (Mcf),27625796,24847154,24561819,27033283,27920376,26456822,26588628,24135950,24463862,21481455,22227018,23843231,23433173,27152071,24302956,19571641,25184657,28261025,23248343,20184653,18445679,24426424,22118228
MS,Residential Sales Volume (Mcf),27625796,24847154,24561819,27033283,27920376,26456822,26588628,24135950,24463862,21481455,22227018,23843231,23433173,27152071,24169615,19470791,25059459,28261025,23248343,20184653,18445679,24426424,22118228
MS,Residential Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,133341,100850,125198,0,0,0,0,0,0
MS,Residential Sales Price (Dollars),6.81,6.52,6.93,7.66,10.72,9.44,9.78,10.85,13.22,15.31,14.61,15.16,14.0,13.08,12.61,12.72,12.13,12.76,12.73,12.01,13.6,12.59,12.92
MS,Residential Transported Price (Dollars),,,,,,,,,,,,,,,11.31,10.06,12.21,,,,,,
MS,Residential Sales Revenue (Dollars),175306728,150974225,147044974,202543249,288077345,205393381,258889087,254905007,325605831,314670351,289809053,332890806,263548322,276809556,228863631,186879665,225516290,268624595,225462974,202997458,218158789,254906469,238120072
MS,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508652,1014868,1529258,0,0,0,0,0,0
MS,Residential Total Customers,423397,415673,426352,434501,438069,435146,438861,445212,445856,437669,445043,443025,437715,436840,442479,442840,445589,440252,439450,439770,464330,464826,465891
MS,Residential Sales Customers,423397,415673,426352,434501,438069,435146,438861,445212,445856,437669,445043,443025,437715,436840,439511,440171,442974,440252,439450,439770,464330,464826,465891
MS,Residential Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2968,2669,2615,0,0,0,0,0,0
