Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,MS,4863,3388,4609,4263,5222,5399,4132,4569,4905,3649,2980
,Statewide Total,Cooperative,MS,0,0,0,0,0,2,0,7,14,0,0
,Statewide Total,Privately Owned,MS,50,93,40,38,39,25,16,8,12,21,30
,Statewide Total,Investor Owned,MS,3502,2038,3246,3065,3656,4334,3147,3693,4090,2888,2149
,Statewide Total,Municipal Owned,MS,1311,1257,1323,1160,1527,1038,969,861,789,740,801
39406,MISSISSIPPI NATURAL INC.,Privately Owned,MS,0,0,0,0,0,6,2,4,2,7,13
38940,SOUTHEAST UTILITIES LLC,Privately Owned,MS,0,0,7,7,3,3,3,0,0,8,8
38011,KEESLER AIR FORCE BASE,Municipal Owned,MS,0,0,0,0,23,7,9,4,15,7,12
32196,OAKLAND YALOBUSHA NATURAL GAS DISTRICT,Municipal Owned,MS,0,3,1,0,3,1,0,1,2,1,1
32180,SEBASTOPOL NATURAL GAS DISTRICT,Investor Owned,MS,1,0,0,0,4,2,0,1,2,0,1
32065,"TREMONT, CITY OF",Municipal Owned,MS,0,0,0,0,0,0,0,0,0,0,4
31794,MISSISSIPPI RIVER GAS LLC,Privately Owned,MS,50,93,33,31,36,16,11,4,9,6,9
31525,CITY OF RIENZI MUNICIPAL GAS,Municipal Owned,MS,3,4,2,0,1,0,3,3,3,5,0
31473,NORTHEAST MS NATURAL GAS DISTRICT,Cooperative,MS,0,0,0,0,0,2,0,7,14,0,0
30878,KILMICHAEL NATURAL GAS,Municipal Owned,MS,0,0,0,0,0,0,0,0,0,0,0
30565,WEST LINCOLN NATURAL GAS DISTRICT,Municipal Owned,MS,2,2,11,0,2,0,0,0,0,0,0
22882,"WOODVILLE, TOWN OF",Municipal Owned,MS,88,22,98,25,35,34,6,47,21,26,21
22658,SPIRE MISSISSIPPI INC,Investor Owned,MS,418,481,335,329,193,311,210,137,188,158,186
22343,"WEIR NATURAL GAS SYSTEM, TOWN OF",Municipal Owned,MS,0,0,0,0,0,2,2,3,0,0,0
22259,"WAVELAND WATER & GAS DEPT, CITY OF",Municipal Owned,MS,7,12,6,3,3,6,5,0,0,0,0
